Category: All categories

Week,Lebron Taco Tuesday: (United States),Lebron James Taco Tuesday: (United States),Taco Tuesday: (United States)
2016-09-18,0,0,12
2016-09-25,0,0,15
2016-10-02,0,0,33
2016-10-09,0,0,16
2016-10-16,0,0,13
2016-10-23,0,0,11
2016-10-30,0,0,13
2016-11-06,0,0,12
2016-11-13,0,0,11
2016-11-20,0,0,10
2016-11-27,0,0,10
2016-12-04,0,0,11
2016-12-11,0,0,11
2016-12-18,0,0,13
2016-12-25,0,0,11
2017-01-01,0,0,11
2017-01-08,<1,0,11
2017-01-15,0,0,13
2017-01-22,0,0,17
2017-01-29,0,0,16
2017-02-05,0,0,14
2017-02-12,0,0,19
2017-02-19,0,0,16
2017-02-26,0,0,14
2017-03-05,0,0,17
2017-03-12,0,0,13
2017-03-19,0,0,17
2017-03-26,0,0,17
2017-04-02,0,0,15
2017-04-09,0,0,17
2017-04-16,0,0,17
2017-04-23,0,0,20
2017-04-30,0,0,15
2017-05-07,0,0,14
2017-05-14,0,0,17
2017-05-21,0,0,15
2017-05-28,0,0,19
2017-06-04,0,0,18
2017-06-11,0,0,23
2017-06-18,0,0,22
2017-06-25,0,0,18
2017-07-02,0,0,5
2017-07-09,0,0,19
2017-07-16,0,0,20
2017-07-23,0,0,22
2017-07-30,0,0,21
2017-08-06,0,0,21
2017-08-13,0,0,19
2017-08-20,0,0,19
2017-08-27,0,0,17
2017-09-03,0,0,14
2017-09-10,0,0,15
2017-09-17,0,0,15
2017-09-24,0,0,15
2017-10-01,0,0,16
2017-10-08,0,0,13
2017-10-15,0,0,13
2017-10-22,0,0,18
2017-10-29,0,0,9
2017-11-05,0,0,18
2017-11-12,0,0,16
2017-11-19,0,0,12
2017-11-26,0,0,14
2017-12-03,0,0,12
2017-12-10,0,0,15
2017-12-17,0,0,13
2017-12-24,0,0,8
2017-12-31,0,0,10
2018-01-07,0,0,13
2018-01-14,0,0,11
2018-01-21,0,0,14
2018-01-28,0,0,14
2018-02-04,0,0,15
2018-02-11,0,0,11
2018-02-18,0,0,13
2018-02-25,0,0,14
2018-03-04,0,0,15
2018-03-11,0,0,14
2018-03-18,0,0,14
2018-03-25,0,0,22
2018-04-01,0,0,15
2018-04-08,0,0,16
2018-04-15,0,0,20
2018-04-22,0,0,18
2018-04-29,0,0,17
2018-05-06,0,0,16
2018-05-13,0,0,14
2018-05-20,0,0,18
2018-05-27,0,0,16
2018-06-03,0,0,16
2018-06-10,0,0,22
2018-06-17,0,0,19
2018-06-24,0,0,20
2018-07-01,0,0,18
2018-07-08,0,0,22
2018-07-15,0,0,20
2018-07-22,<1,0,23
2018-07-29,0,0,19
2018-08-05,0,0,20
2018-08-12,0,0,19
2018-08-19,0,0,20
2018-08-26,0,0,19
2018-09-02,0,0,17
2018-09-09,0,0,17
2018-09-16,0,0,16
2018-09-23,0,0,18
2018-09-30,0,0,22
2018-10-07,0,0,15
2018-10-14,0,0,13
2018-10-21,<1,<1,14
2018-10-28,0,0,12
2018-11-04,0,0,18
2018-11-11,0,0,11
2018-11-18,0,0,11
2018-11-25,0,0,15
2018-12-02,0,0,14
2018-12-09,0,0,13
2018-12-16,0,0,14
2018-12-23,0,0,3
2018-12-30,0,0,7
2019-01-06,<1,<1,15
2019-01-13,0,0,18
2019-01-20,0,0,14
2019-01-27,0,0,15
2019-02-03,0,0,20
2019-02-10,0,0,14
2019-02-17,0,0,18
2019-02-24,0,0,16
2019-03-03,0,0,16
2019-03-10,0,0,19
2019-03-17,0,0,18
2019-03-24,0,0,18
2019-03-31,<1,<1,18
2019-04-07,0,0,17
2019-04-14,0,0,17
2019-04-21,0,0,19
2019-04-28,0,0,19
2019-05-05,0,0,17
2019-05-12,0,0,17
2019-05-19,0,0,20
2019-05-26,1,<1,17
2019-06-02,2,<1,22
2019-06-09,1,1,20
2019-06-16,2,1,24
2019-06-23,1,<1,22
2019-06-30,<1,0,21
2019-07-07,<1,<1,25
2019-07-14,3,<1,28
2019-07-21,5,2,34
2019-07-28,8,4,27
2019-08-04,8,3,39
2019-08-11,6,3,31
2019-08-18,4,1,27
2019-08-25,3,2,27
2019-09-01,7,3,30
2019-09-08,7,3,31
2019-09-15,3,1,24
2019-09-22,2,1,20
2019-09-29,2,<1,23
2019-10-06,2,0,22
2019-10-13,2,1,22
2019-10-20,2,<1,22
2019-10-27,3,1,22
2019-11-03,2,1,19
2019-11-10,1,<1,14
2019-11-17,<1,<1,17
2019-11-24,2,1,16
2019-12-01,2,1,16
2019-12-08,1,<1,16
2019-12-15,1,1,13
2019-12-22,1,0,5
2019-12-29,<1,<1,5
2020-01-05,<1,<1,17
2020-01-12,<1,0,19
2020-01-19,1,<1,17
2020-01-26,1,<1,20
2020-02-02,<1,0,16
2020-02-09,<1,<1,15
2020-02-16,1,<1,17
2020-02-23,<1,<1,20
2020-03-01,<1,<1,20
2020-03-08,1,<1,16
2020-03-15,<1,0,7
2020-03-22,1,<1,8
2020-03-29,0,0,13
2020-04-05,<1,0,10
2020-04-12,<1,<1,13
