Category: All categories

Region,Taco Fall: (12/09/2016 - 12/09/2021),Tacko Fall: (12/09/2016 - 12/09/2021),Taco Tuesday: (12/09/2016 - 12/09/2021)
Arizona,2%,20%,78%
Massachusetts,11%,73%,16%
California,2%,19%,79%
Maine,8%,75%,17%
Nevada,2%,28%,70%
Florida,4%,31%,65%
Nebraska,4%,28%,68%
New Hampshire,9%,72%,19%
Kansas,3%,28%,69%
Vermont,2%,76%,22%
Hawaii,3%,23%,74%
Missouri,5%,27%,68%
Rhode Island,14%,64%,22%
New Mexico,3%,26%,71%
Colorado,4%,32%,64%
Utah,4%,38%,58%
Louisiana,4%,31%,65%
Connecticut,7%,64%,29%
South Dakota,3%,54%,43%
Texas,5%,33%,62%
Kentucky,9%,61%,30%
Delaware,6%,44%,50%
Illinois,6%,40%,54%
North Carolina,7%,42%,51%
Ohio,7%,45%,48%
Georgia,5%,42%,53%
District of Columbia,6%,33%,61%
Wisconsin,6%,48%,46%
Iowa,6%,49%,45%
Washington,5%,38%,57%
Michigan,7%,43%,50%
Virginia,6%,45%,49%
Indiana,9%,50%,41%
Montana,6%,49%,45%
Oklahoma,6%,43%,51%
Tennessee,8%,51%,41%
Arkansas,5%,50%,45%
North Dakota,4%,50%,46%
New York,6%,53%,41%
Alabama,5%,43%,52%
Minnesota,4%,47%,49%
Pennsylvania,8%,53%,39%
Idaho,13%,33%,54%
New Jersey,8%,52%,40%
Oregon,7%,43%,50%
Maryland,5%,50%,45%
South Carolina,7%,47%,46%
Alaska,15%,38%,47%
Mississippi,6%,44%,50%
West Virginia,15%,51%,34%
Wyoming,6%,41%,53%
