index,Name,Current club,Date of Birth,Apps,Goals,Assists,Yellow cards,Two yellows,Red cards
1,Xiang Ji,Jiangsu FC,1990-03-01,296,28,39,41,0,1
2,Yun Zhou,Jiangsu FC,1990-12-31,293,2,14,33,1,0
3,Xi Wu,Jiangsu FC,1989-02-19,262,41,22,33,0,0
4,Jianye Liu,Jiangsu Suning Reserves,1987-06-17,219,5,5,53,0,0
5,Ang Li,Jiangsu FC,1993-09-15,211,17,9,45,1,1
6,Hang Ren,Hebei FC,1989-02-23,171,9,5,33,1,1
7,Ke Sun,Shenzhen FC,1989-08-26,161,22,23,15,1,0
8,Eleílson,Retired,1985-04-02,160,13,4,33,1,1
9,Alex Teixeira,Without Club,1990-01-06,153,73,43,18,1,1
10,Xiaotian Yang,Jiangsu Suning Reserves,1990-03-26,143,2,9,16,1,0
11,Chao Gu,Jiangsu FC,1989-08-20,134,0,0,9,0,0
12,Xiaobin Zhang,Jiangsu FC,1993-10-23,132,3,4,10,0,0
13,Pengfei Xie,Jiangsu FC,1993-06-29,132,17,18,6,1,1
14,Xiaofei Deng,Chongqing Dangdai Lifan,1983-05-31,128,1,0,13,0,0
15,Bofei Lu,Retired,1979-08-02,123,13,15,14,0,1
16,Aleksandar Jevtic,Retired,1985-03-30,82,24,11,9,0,0
17,Kamoliddin Tadzhiev,Metallurg Bekabad,1983-05-03,77,1,1,11,0,0
18,Cristian Danalache,Progresul 2005 Bukarest,1982-07-15,76,37,7,5,0,0
19,Yinong Tian,Jiangsu FC,1991-02-18,76,0,4,19,0,1
20,Ramires,Without Club,1987-03-24,73,17,13,14,1,1
21,Boyu Yang,Wuhan FC,1989-06-24,71,1,0,15,0,1
22,Tianyi Gao,Beijing Sinobo Guoan,1998-07-01,68,1,7,11,0,0
23,Song Wang,Sichuan Jiuniu,1983-10-12,66,8,15,5,0,1
24,Éder,Jiangsu FC,1986-11-15,62,32,18,11,0,0
25,Yuan Tao,Jiangsu Suning Reserves,1993-01-18,61,2,3,13,1,0
