Source,Date,Title,Headline
Fox News,2021-09-09,Space station fire alarm goes off amid smoke burning smell in Russian section,Smoke alarms sounded Thursday aboard the International Space Station ISS prompting an air cleanse of the Russian segment before crews returned to normal operations
Fox News,2021-09-18,More than a third of shark species threatened with extinction,More than a third of the world s sharks and rays are threatened with extinction according to the International Union for the Conservation of Nature IUCN
Fox News,2021-09-28,NASA At least fireballs reported over US,There were reports of at least five fireballs over the U S last week
Fox News,2021-09-09,Elder says racial epithets were yelled during egg attack calls out silence,Elder says racial epithets were yelled during egg attack calls out silence First column th story link Related stories Kamala rallies for Newsom at critical time LA Gang Intervention Worker Killed
Fox News,2021-09-13,LIVE UPDATES MTV VMAs Fox News,ol li LIVE UPDATES MTV VMAs Fox News li li Olivia Rodrigo Performs good u VMAs MTV MTV li li Madison Beer Reveals Why She Is Keeping Her Relationship With Nick Austin Private Access li li How Lil Nas X and Billie Eilish Roc
Fox News,2021-09-10,New York City shooting Gunman pretends to work on car shoots man in the head multiple times in ambush attack Fox News,The NYPD released grisly surveillance video on Thursday that shows a suspect pretending to work on his car on a Queens street before ambushing a man and killing him with multiple shots to the head
Fox News,2021-09-11,Remembering years later LIVE UPDATES Fox News,ol li Remembering years later LIVE UPDATES Fox News li li U S marks th anniversary of attacks Yahoo News li li World Trade Centre twin towers US remember attacks in tears See fotos BBC News li li With Bowed Heads Ame
Fox News,2021-09-20,A Gabby Petito Investigation with Nancy Grace What exactly happened to the van life girl Fox News,ol li A Gabby Petito Investigation with Nancy Grace What exactly happened to the van life girl Fox News li li Search resumes for Brian Laundrie person of interest in Gabby Petito case FOX Tampa Bay li li Congress returns Gabby Petito case
Fox News,2021-09-19,Fox News Poll Majorities favor mask and vaccine mandates as pandemic worries increase Fox News,Majorities support mask and vaccine mandates advocated by the Biden administration as the coronavirus pandemic remains a top concern according to the latest Fox News poll
Fox News,2021-10-02,Brian Laundrie search intensifies questions about sister surface LIVE UPDATES Fox News,ol li Brian Laundrie search intensifies questions about sister surface LIVE UPDATES Fox News li li Brian Laundrie stopped by his sister s home on the day he returned to Florida without Gabby Petito the family s lawyer says Yahoo Voices li li
Fox News,2021-09-29,Border counties to sue Biden for failure to enforce the laws Fox News,ol li Border counties to sue Biden for failure to enforce the laws Fox News li li Haitian migrants get help from Texas group rallying thousands of donations Yahoo Voices li li New York Times latest outlet to issue correction on whips border s
Fox News,2021-09-30,Infrastructure bill Manchin says he can t support trillions in spending LIVE UPDATES Fox News,ol li Infrastructure bill Manchin says he can t support trillions in spending LIVE UPDATES Fox News li li Government Shutdown Looming After Republicans Block Spending Bill News On KOTV li li Senator Kyrsten Sinema Emerges As Main Obstacle To
Fox News,2021-09-12,Taliban raises flag over presidential palace in Kabul years after LIVE UPDATES Fox News,ol li Taliban raises flag over presidential palace in Kabul years after LIVE UPDATES Fox News li li The Taliban want to lay down the law Far outside Kabul rural Afghans just want to get paid CNN li li Incredible scenes of women s mini s
Fox News,2021-09-16,Former tech CEO Bombshell Facebook report proves policies procedures just a ruse to dupe the public Fox News,Former tech CEO Vivek Ramaswamy blasted Facebook for setting up an elaborate ruse to dupe the public on the heels of a bombshell report that the tech giant claims everyone is treated equally but actually allows celebrities and other elite users to break the
Fox News,2021-10-03,Pelosi extends infrastructure bill deadline after progressives sink vote LIVE UPDATES Fox News,The vote on the bipartisan infrastructure bill was delayed in the House on Friday after the progressive wing of the Democratic caucus refused to back it until the separate reconciliation bill packed with left wing agenda items on issues like the social saf
Fox News,2021-09-20,Gabby Petito Body found likely missing woman search for Brian Laundrie intensifies LIVE UPDATES Fox News,ol li Gabby Petito Body found likely missing woman search for Brian Laundrie intensifies LIVE UPDATES Fox News li li Body consistent with description of Gabby Petito found in Bridger Teton National Forest Yahoo Voices li li Police Search fo
Fox News,2021-10-07,Democrats Republicans near compromise on debt ceiling LIVE UPDATES Fox News,Both Senate Democrats and Republicans are trading paper on a potential agreement on the debt ceiling while debate continues over infrastructure and reconciliation
Fox News,2021-09-09,Kylie Jenner unveils growing baby bump during NYC fashion week outing Fox News,ol li Kylie Jenner unveils growing baby bump during NYC fashion week outing Fox News li li Kylie Jenner s First Maternity Look Includes a Plunging Minidress and Sky High Stilettos Yahoo Lifestyle li li Kylie Jenner Shows Off Baby Bump In Mini Dres
Fox News,2021-09-09,White House more worried Taliban cabinet is full of men than full of terrorists Tom Cotton Fox News,ol li White House more worried Taliban cabinet is full of men than full of terrorists Tom Cotton Fox News li li Inside an Abandoned Mansion That Taliban Now Call Home Afghanistan News The New York Times li li Pol Blinken must explain why
