Source,Date,Title,Headline
ESPN,2021-09-02,What if Skills that could change the games of four NBA stars,What if Luka was automatic from the stripe What if Giannis had a knockdown jumper Our NBA insiders dive into the skills that could unlock a new level for four NBA stars
ESPN,2021-09-02,NBA eyes strict rules for unvaccinated players,Unvaccinated NBA players will have lockers as far away as possible from their vaccinated teammates and will have to eat fly and ride buses in different sections as part of the league s anticipated health and safety protocols
ESPN,2021-09-21,Redick to retire after seasons in NBA,JJ Redick who played for the Pelicans and Mavericks last season announced his retirement from the NBA after seasons in the league
ESPN,2021-08-25,Lapchick NBA sets high bar for health policies athlete activism racial and gender hiring,The NBA has played a leading role in men s professional sports during the pandemic and in the pursuit of racial and social justice
ESPN,2021-09-24,Sources Ginobili returning to Spurs as advisor,Four time NBA champion Manu Ginobili one of the greatest international players in basketball history is returning to the San Antonio Spurs as a special advisor to basketball operations sources told ESPN s Adrian Wojnarowski
ESPN,2021-09-01,Embiid denies rift Love playing with Simmons,Joel Embiid has denied a reported rift with ers teammate Ben Simmons writing in a series of tweets that he loves playing with the embattled star in Philadelphia
ESPN,2021-08-30,Sources Rondo to rejoin Lakers on year deal,Once he clears waivers veteran point guard Rajon Rondo plans to sign a one year million contract to rejoin the Lakers sources tell ESPN s Adrian Wojnarowski
ESPN,2021-09-03,Sources Nets send D Jordan to Pistons in trade,The Nets are trading center DeAndre Jordan four second round picks and million to the Pistons for Jahlil Okafor and Sekou Doumbouya sources told ESPN The Pistons plan to work on a buyout for Jordan sources said
ESPN,2021-09-22,The real top players in WNBA history according to the stats,Kevin Pelton s statistical model offers a much different order of the league s all time best than our panel selected
ESPN,2021-08-26,There s no way to prepare for that show Ultimate Fighter finalists reflect on journey,The Ultimate Fighter s th season finalists share their experiences and expectations ahead of their final fight on Saturday
ESPN,2021-09-22,NBArank These stars just missed a spot in the league s upper tier,Risers fallers and the return of Klay Thompson mark the highlights as our annual NBA player rankings continue
ESPN,2021-09-01,NBA memo NYC S F vaccine rules apply to all,In a memo obtained by ESPN the NBA said vaccine requirement laws in New York City and San Francisco will be enforced including for players for members of the Knicks Nets and Warriors unless there is an approved medical or religious exemption
