Source,Date,Title,Headline
Polygon,2021-09-09,Punch this Lego Mario question mark block to open new worlds,Lego added a new Mario themed set to its collection on Thursday a question mark block based on Super Mario It s a cool hunk of plastic but players can open the block to display four mini sets based on levels in Mario
Polygon,2021-09-11,movies to stream while you re mentally preparing for The Matrix,If The Matrix Resurrections trailer got you hype for a new Matrix movie watch the Matrix sequels on HBO Max then stream Wachowskis Bound The Animatrix Dark City John Wick and great action movies on Netflix Here s where to watch them
Polygon,2021-09-12,Which Cinderella movie is the Cinderellest,Amazon Prime s Cinderella staring Camila Cabello changes the story We evaluate some favorite Cinderella movies Ever After A Cinderella Story the Brandy Cinderella the animated Cinderella and The Slipper and the Rose against the original Cinderella
Polygon,2021-09-13,Jet Set Radio style meets badminton in this stylish sports game,This week in Cool WIP we have a badminton game that looks inspired by Jet Set Radio a game flooded with marbles a platformer that was entirely embroidered by hand a new game coming to the Game Boy Advance and a D fighting game inspired by anime fight sc
Polygon,2021-09-09,Gran Turismo launching this spring,Gran Turismo launches for PlayStation in on March Sony Interactive Studios and Polyphony Digital said on Thursday during PlayStation Showcase It s the first GT game since s Gran Turismo Sport and first numbered Gran Turismo in almost
Polygon,2021-09-09,Marvel s Spider Man coming to PS in bringing Venom with it,Insomniac Games and PlayStation Studios teased a sequel to s Marvel s Spider Man at the end of PlayStation Showcase on Sept Details are sparse but the game will be coming to PlayStation
Polygon,2021-09-09,Crafting Shang Chi s subtitles was a big learning experience says director,Marvel s Shang Chi and the Legend of the Ten Rings director Destin Daniel Cretton talks about writing scenes in English and Mandarin Chinese languages and how the Marvel Cinematic Universe blockbuster s lines were translated for subtitles
Polygon,2021-09-15,Battlefield delayed to November,DICE and EA Games have announced that Battlefield has been delayed Battlefield s release date is now Nov just a few weeks after it was initially supposed to come out
Polygon,2021-09-13,Magic The Gathering s most popular Commander has been banned,Golos Tireless Pilgrim has been banned from Magic The Gathering s popular Commander format of play by the Commander Rules Committee
Polygon,2021-09-18,Movie musicals are finally getting over their fear of singing,Amazon s new movie musical joins HBO Max s Into the Heights and Annette as musicals where characters break into song With West Side Story and Netflix s Tick Tick Boom on the way we may be in a new era of great movie musicals
Polygon,2021-09-20,I May Destroy You s Michaela Coel delivered the best speech of the Emmys,Michaela Coel won the Emmy for Best Writing in a Television Limited Series for her HBO Max series I May Destroy You Her touching speech was the best speech of the Emmys Read and watch it here
Polygon,2021-09-17,Destroy All Humans remake probing PC PS and Xbox Series X,THQ Nordic s Destroy All Humans Reprobed is a full remake of the PS and Xbox game for PlayStation Windows PC and Xbox Series X
Polygon,2021-09-15,PlayStation s official wireless headset now comes in black,The PlayStation Pulse D wireless headset will soon come in Midnight Black Sony announced The headset will ship on Oct
Polygon,2021-09-17,Debating Y The Last Man s girlboss world with The Bechdel Cast s Jamie Loftus,Y The Last Man adapts Brian K Vaughn s comic with a cast of characters adjusted for modern day politics But what does the FX Hulu show have to say about feminism The Bechdel Cast host Jamie Loftus joins Dave Schilling and Jonah Ray s podcast Galaxy Brains
Polygon,2021-09-24,Destiny Xur location and items Sept,Where is Xur this week Head to the EDZ for some Exotic items from your favorite merchant This week s Xur inventory includes Merciless Shinobu s Vow Wormgod Caress and Apotheosis Veil
Polygon,2021-10-05,The Squid Game games ranked by how utterly terrifying they are,We ranked all seven of the games featured in the hit Korean survival drama Squid Game from least to most terrifying From Red Light Green and Honeycomb candy eating to Tug of War and the Glass Stepping Stone bride here are the deadliest challenge the players
