player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Jayson Tatum,1628369,BOS,NA,1627759,1628369,1628400,1629750,202684,NA,1628381,1628989,1629027,1629629,203991,2021-02-17,1,419,15-7 Average,-4,-103,31,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/55/0e8d85fa-395c-57dc-a4af-c21cbd9c7a6a_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1628369,1629057,1629684,1630174,1630202,NA,1628981,1630219,201568,203503,203524,2021-02-17,1,60,15-7 Average,0,130,79,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/145/4172dadd-9e66-ca2b-bd3e-cf900eb01ee9_960x540.mp4
Tristan Thompson,202684,BOS,NA,1627759,1628369,1628400,1629750,202684,NA,1628381,1628989,1629027,1629629,203991,2021-02-17,3,651,15-7 Average,-9,-42,14,ShortMidRange,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/326/0166e228-b8f5-9876-1dd2-0a339894e39d_960x540.mp4
Tristan Thompson,202684,BOS,Jaylen Brown,1627759,1628369,1629750,201952,202684,NA,1628989,1629027,201568,203503,203991,2021-02-17,3,387,15-7 Average,-7,1,-2,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/385/0f2d692c-2e19-b428-af3d-8d9894e979ef_960x540.mp4
Jaylen Brown,1627759,BOS,NA,1627759,1628369,1629750,201952,202684,NA,1629027,1629629,201568,203503,203991,2021-02-17,3,305,22-18 Very Early,-5,-6,242,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/405/f2a8c7ed-612b-5241-2a7f-7296aee2be06_960x540.mp4
Jaylen Brown,1627759,BOS,NA,1627759,1629057,1629684,1630174,1630202,NA,1628381,1629629,1630219,201568,203503,2021-02-17,3,37,22-18 Very Early,-6,-123,216,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/464/d958c704-c9df-5127-00da-0958e6c3007f_960x540.mp4
Kemba Walker,202689,BOS,Jaylen Brown,1627759,1628369,1628464,202684,202689,NA,1628381,1628989,1629027,1629629,203991,2021-02-19,1,656,22-18 Very Early,2,20,14,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/15/7c5d7fa3-e123-fb14-dcb7-3f86c90e0fe6_960x540.mp4
Kemba Walker,202689,BOS,Jayson Tatum,1627759,1628369,1628464,202684,202689,NA,1628381,1628989,1629027,1629629,203991,2021-02-19,1,519,22-18 Very Early,1,11,42,ShortMidRange,TRUE,FALSE,NA,Touch < 2 Seconds,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/36/3c910911-d463-03bb-3260-c6a24434bfd0_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1627759,1628369,1628464,202684,202689,Clint Capela,1628381,1628989,1629027,1629629,203991,2021-02-19,1,377,15-7 Average,5,48,23,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/68/cc1474ba-8553-71ca-5c2e-c3df899fb53a_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1627759,1628369,1628464,202684,202689,NA,1628381,1628989,1629027,1629629,203991,2021-02-19,1,353,15-7 Average,5,69,38,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/73/7c57fbaf-aff1-ebec-a58a-ab889453c272_960x540.mp4
Robert Williams III,1629057,BOS,Kemba Walker,1627759,1628400,1629057,1630174,202689,NA,1628381,1629027,201568,203503,203524,2021-02-19,1,260,15-7 Average,8,-8,42,ShortMidRange,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/102/bc16d6c3-c0f4-1d05-8f1b-406573292389_960x540.mp4
Robert Williams III,1629057,BOS,Jaylen Brown,1627759,1628400,1629057,1630174,202689,NA,1628381,1629027,201568,203503,203524,2021-02-19,1,237,15-7 Average,10,-30,15,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/106/0f6382c6-e900-7a1a-3441-88f1a980348e_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1628369,1628464,1629057,1630174,202689,NA,1628381,1628989,1629027,1629629,203991,2021-02-19,2,483,15-7 Average,7,-109,252,Arc3,FALSE,FALSE,2-4 Feet - Tight,NA,3-6 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/223/e1fda535-34b0-f4df-1b9e-be1f652d359d_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1627759,1628369,1628400,1628464,202689,NA,1629027,1629629,201568,203524,203991,2021-02-19,2,36,15-7 Average,21,188,188,Arc3,FALSE,FALSE,2-4 Feet - Tight,NA,3-6 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/327/9f67c410-a093-5bdc-78d6-54cdaafcfa46_960x540.mp4
Jaylen Brown,1627759,BOS,Jayson Tatum,1627759,1628369,1628464,201952,202684,NA,1628381,1628989,1629027,203503,203991,2021-02-24,1,664,15-7 Average,0,-2,6,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/24/0022000490/13/357246da-633d-8a8d-b76d-3ac2c2608859_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1627759,1628369,1628464,201952,202684,NA,1628381,1628989,1629027,203503,203991,2021-02-24,1,640,15-7 Average,0,-12,49,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/24/0022000490/19/54ce44c7-7e5c-8241-6ff5-e74c073f5f2c_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1627759,1628369,1628464,201952,202684,NA,1628381,1628989,1629027,203503,203991,2021-02-24,1,605,18-15 Early,0,133,-15,ShortMidRange,FALSE,FALSE,6+ Feet - Wide Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/24/0022000490/24/6b97c41e-8d4c-619a-0894-9d3ca6522651_960x540.mp4
Jayson Tatum,1628369,BOS,Jeff Teague,1627759,1628369,1628464,201952,202684,NA,1628381,1628989,1629027,203503,203991,2021-02-24,1,502,18-15 Early,-4,-139,52,LongMidRange,TRUE,FALSE,6+ Feet - Wide Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/24/0022000490/39/b5f74b32-4df4-2f51-4490-d1678242e29b_960x540.mp4
Jaylen Brown,1627759,BOS,Jeff Teague,1627759,1628369,1628464,201952,202684,NA,1628989,1629027,201568,203503,203991,2021-02-24,1,388,15-7 Average,-2,41,172,LongMidRange,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/24/0022000490/62/a9be02ed-1dcc-9874-60c2-9655d8c62d01_960x540.mp4
Jayson Tatum,1628369,BOS,NA,1627759,1628369,1628464,201952,202684,NA,1628989,1629027,201568,203503,203991,2021-02-24,1,348,15-7 Average,-3,42,70,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/24/0022000490/67/af081f3d-be45-bbcf-83f6-70d3bd5b23c2_960x540.mp4
