player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Clint Capela,203991,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1627789,201142,201599,202681,203925,2021-01-01,1,420,15-7 Average,5,-16,43,ShortMidRange,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/65/034fa4f7-833e-4a66-5ec4-1737de77845f_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1629027,1629629,1629631,203524,203991,NA,1627789,1628386,201142,202681,203925,2021-01-01,1,367,15-7 Average,5,6,-4,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/80/f7ee8033-4994-abb1-0b5c-1f0cd427fbb7_960x540.mp4
Solomon Hill,203524,ATL,NA,1629027,1629629,1629631,203524,203991,NA,1627789,1628386,201142,202681,203925,2021-01-01,1,345,22-18 Very Early,7,111,232,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/84/6d0ca95d-ea33-1d90-b769-49983e711f7f_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629027,203524,203992,NA,1627747,1627752,1628386,1629013,202681,2021-01-01,1,239,15-7 Average,3,84,101,ShortMidRange,FALSE,FALSE,NA,NA,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/114/1dbaca9c-423b-e0ab-125f-df4c6a7392e3_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629027,203524,203992,NA,1627747,1627752,1628386,1629013,202681,2021-01-01,1,207,15-7 Average,5,60,89,ShortMidRange,FALSE,FALSE,NA,NA,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/118/5d396b60-2de9-c31a-8796-372fdcce10d0_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,203524,203992,NA,1627747,1627752,1628386,1629013,201142,2021-01-01,1,161,15-7 Average,7,-109,216,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/133/25cc8538-6032-c4d6-9866-80c74cb48b56_960x540.mp4
Solomon Hill,203524,ATL,NA,1628981,1628989,1629164,203524,203992,NA,1627747,1627752,1628386,1629013,201142,2021-01-01,1,121,4-0 Very Late,5,-26,27,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/137/66ea6761-92c2-8482-beda-608b9f28e3ba_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629164,203524,203992,NA,1627747,1627752,1628386,1629013,201142,2021-01-01,1,90,15-7 Average,5,-231,-10,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/143/c7ffb344-843b-0932-1962-70b00f503cc4_960x540.mp4
Solomon Hill,203524,ATL,NA,1628381,1628989,1629164,203524,203992,NA,1627747,1627752,1628386,1629013,201142,2021-01-01,1,72,22-18 Very Early,5,9,253,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/147/9bce2c1c-bc6c-f667-69c1-767b3feaeb76_960x540.mp4
Solomon Hill,203524,ATL,NA,1628989,1629027,203524,203991,203992,Taurean Prince,1627747,1627752,1628386,1629013,201142,2021-01-01,1,6,4-0 Very Late,4,-2,8,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000072/162/25f98161-37cc-901f-9b9c-77d303cf1cf3_960x540.mp4
