player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627759,1628369,1628400,1629750,202684,2021-02-17,3,594,18-15 Early,5,-27,78,ShortMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/339/798cc51b-4acd-d1e6-8bf2-3d2aeb87f5f7_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,201568,203503,203991,NA,1627759,1628369,1628400,1629750,202684,2021-02-17,3,495,18-15 Early,5,123,195,LongMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/370/b6a305fe-1654-ca8c-a0fe-79012317979d_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,201568,203503,203991,NA,1627759,1628369,1628400,1629750,202684,2021-02-17,3,433,18-15 Early,7,11,23,AtRim,FALSE,FALSE,NA,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/376/0c11bea0-0945-9724-7f74-7feb45b8cc61_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1630219,201568,203524,NA,1628369,1629057,1629684,1630174,1630202,2021-02-17,4,703,15-7 Average,9,-110,269,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/480/da07e5ee-150f-c1e0-5e31-38803980636c_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,1629629,203524,203991,NA,1627759,1628369,1629057,1629684,201952,2021-02-17,4,456,15-7 Average,6,222,17,Corner3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/540/939561ed-4e67-4d0b-486b-c93c16f778ab_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,1629629,203524,203991,NA,1627759,1628369,1628400,1629750,202684,2021-02-17,4,169,15-7 Average,8,85,264,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/598/806e906c-ad05-11d8-75f4-a9f12eba6621_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,203991,Kemba Walker,1627759,1628369,1628464,202684,202689,2021-02-19,1,590,15-7 Average,1,-21,61,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/24/83d9c5ed-e38f-615e-c9f0-f365c3351d55_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,203991,Tristan Thompson,1627759,1628369,1628464,202684,202689,2021-02-19,1,502,15-7 Average,-4,29,27,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/42/4f1b1065-b945-f54e-fa7c-541cbff9f382_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627759,1628369,1628464,1629057,202689,2021-02-19,2,432,15-7 Average,-12,78,136,LongMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,NA
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627759,1628369,1628464,1629057,202689,2021-02-19,2,424,15-7 Average,-12,54,168,LongMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/235/df6daf77-0f36-4b08-1482-ca375563812e_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629629,203991,Robert Williams III,1627759,1628464,1629057,1630174,202689,2021-02-19,2,297,15-7 Average,-13,35,35,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/259/5684fe0d-4300-2ec1-2517-fa71f201d87a_960x540.mp4
Tony Snell,203503,ATL,Solomon Hill,1629164,201568,203503,203524,203991,NA,1628369,1628400,1629057,1629750,1630202,2021-02-19,4,661,15-7 Average,-22,228,38,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/522/29a5bf03-4ee8-5827-d274-f86b88fd383c_960x540.mp4
Tony Snell,203503,ATL,NA,1629164,201568,203503,203524,203991,NA,1628369,1628400,1629057,1629750,1630202,2021-02-19,4,601,15-7 Average,-17,-219,148,Arc3,FALSE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000451/534/a8817082-a4fb-dc9d-5b5a-a9cd6a4b9345_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627759,1628369,1628400,1629750,202684,2021-02-17,1,697,NA,0,-86,66,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/7/f74c5ce4-a74b-49fc-6f61-bc9a049ec13f_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627759,1628369,1628400,1629750,202684,2021-02-17,1,479,NA,2,-141,202,Arc3,NA,FALSE,NA,NA,3-6 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000438/41/999ab66a-4461-af0c-771f-eb07d1a75809_960x540.mp4
