player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,1629631,203991,Bismack Biyombo,1626179,1628984,1629023,202330,202687,2021-01-06,3,546,15-7 Average,-17,-3,8,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000110/382/51264455-a057-e0ba-51a9-88f6949cf7a3_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203524,NA,1626179,1628984,1629023,202330,202687,2021-01-06,3,395,15-7 Average,-15,-19,110,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000110/409/e2bbdc56-def3-102f-65b8-8deab6479cb4_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629631,203991,203992,P.J. Washington,1626179,1628984,1629023,202330,202687,2021-01-09,1,475,22-18 Very Early,1,-2,3,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/48/0bea52e4-798a-17f5-fbe0-97dc4ec82797_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629631,203991,203992,NA,1626179,1628984,1629023,202330,202687,2021-01-09,1,436,22-18 Very Early,3,-10,21,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/62/e73fd8c5-7281-99fe-63e7-492c7bc47d41_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,1629631,NA,1626179,1628970,1629023,1630163,202330,2021-01-09,1,120,22-18 Very Early,3,-4,6,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/114/8997145c-8119-87b4-7abf-7f168035f4aa_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628989,1629164,1629629,203524,203991,NA,1628984,1628997,1628998,1629023,1630163,2021-01-09,2,702,15-7 Average,1,39,264,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/149/daa856ab-512f-2307-e6fc-72fa2cb7a015_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,1629631,NA,1626179,1628970,1629023,1630163,202330,2021-01-09,2,261,15-7 Average,1,-217,125,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/260/3c74bce0-d8da-d7fa-ee08-e74950a098c1_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,1629631,NA,1626179,1628970,1629023,1630163,202330,2021-01-09,2,219,15-7 Average,-3,2,311,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/271/58bbb8c9-3046-8e60-6ee4-18bc84cb0e44_960x540.mp4
Cam Reddish,1629629,ATL,NA,1629027,1629629,1629631,203524,203991,NA,1626179,1628984,1629023,1630163,202330,2021-01-09,2,103,15-7 Average,-9,179,185,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/300/c2c71802-8fa0-b292-e919-4da446b827a0_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629629,1629631,203524,203991,NA,1626179,1628984,1629023,1630163,202330,2021-01-09,2,98,15-7 Average,-9,-134,216,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/302/877da20e-b451-6697-1cf5-f038e2bf88fd_960x540.mp4
Cam Reddish,1629629,ATL,Trae Young,1628381,1629027,1629629,1629631,203991,NA,1626179,1628984,1629023,202330,202687,2021-01-09,3,660,22-18 Very Early,-11,247,-25,Corner3,TRUE,FALSE,6+ Feet - Wide Open,NA,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/347/0f01d3bb-e0df-12b9-d004-30b8fec01e5a_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,1629631,203991,Bismack Biyombo,1626179,1628984,1629023,202330,202687,2021-01-09,3,626,22-18 Very Early,-8,9,22,AtRim,NA,FALSE,4-6 Feet - Open,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/353/ec8f83fc-349c-42c9-8cf3-932985645474_960x540.mp4
Cam Reddish,1629629,ATL,Trae Young,1628381,1629027,1629629,1629631,203991,NA,1626179,1628984,1629023,202330,202687,2021-01-09,3,610,22-18 Very Early,-8,-127,222,Arc3,TRUE,FALSE,6+ Feet - Wide Open,NA,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/361/49bf7bfe-e1b2-c255-9a81-6cb25c03c57f_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1629629,1629631,203991,NA,1626179,1628970,1629023,1630163,202330,2021-01-09,3,261,22-18 Very Early,-5,-38,89,ShortMidRange,NA,FALSE,4-6 Feet - Open,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/428/a8e1c292-922b-7344-da7c-476dc4231575_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628989,1629027,1629629,1629631,203991,NA,1626179,1628984,1629023,1630163,202330,2021-01-09,4,119,22-18 Very Early,-12,122,226,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/642/e4aee561-5647-613e-1ee2-c9ebf27f41fb_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,1629631,NA,1626179,1628970,1628984,1629023,202330,2021-01-09,4,55,22-18 Very Early,-12,-11,259,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/658/bffdbed7-8869-2cdc-a60c-4a4b68f78497_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,1629631,NA,1626179,1628970,1628984,1630163,202330,2021-01-09,4,21,22-18 Very Early,-10,244,-8,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/09/0022000134/669/d37de60c-a92a-aafa-d9df-4c66139122e9_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Clint Capela,101150,1629164,203524,203991,203992,NA,1626179,1628970,1628997,1629023,1629667,2021-04-11,2,473,15-7 Average,5,230,16,Corner3,TRUE,FALSE,4-6 Feet - Open,NA,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/11/0022000805/205/88cfdf23-ae87-4369-dfbf-1b9e92dd3578_960x540.mp4
