player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629027,201568,203524,203992,NA,1627853,1628976,1629632,1630172,203490,2020-12-23,1,277,15-7 Average,11,-120,233,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/111/5ce4d596-1105-d852-cea8-46326e048847_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628981,1628989,1629631,203524,203992,NA,1627853,1628374,1628990,1629690,203490,2020-12-23,1,39,15-7 Average,13,79,253,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/163/f7d52d27-125a-9e5a-e99b-3b54666ac257_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,203524,203992,NA,1628374,1629632,1629655,1629690,1630172,2020-12-23,3,331,15-7 Average,34,236,92,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/467/4adb3177-83b9-c34b-fe91-0416f65b2b66_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,203524,203992,NA,1628374,1628990,1629655,203490,203897,2020-12-23,3,75,15-7 Average,35,89,243,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/526/1d8b2910-8583-5c7b-7e27-c4b1a795e1d9_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1629027,201568,203503,203991,203992,NA,1628374,1629632,1630172,202696,203107,2021-04-09,1,279,15-7 Average,-5,-108,19,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/81/48b2e116-702c-3f45-ae76-3ce3e956cdff_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1629027,1630168,201568,203503,NA,1628374,1628972,1629632,202696,203107,2021-04-09,1,162,15-7 Average,-4,12,52,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/110/7a8d88be-b3be-bd16-7bc7-9877f062a145_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1628989,1630168,201568,203503,NA,1628374,1628464,1628972,1629632,203897,2021-04-09,1,30,15-7 Average,-8,-190,71,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/138/fc1803db-3fac-fdde-072a-a4f9cca8cd2c_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,203524,203991,203992,NA,1630172,201152,202696,203107,203897,2021-04-09,2,342,15-7 Average,-9,14,50,ShortMidRange,NA,FALSE,0-2 Feet - Very Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/236/2e637480-aa8e-6b44-43ed-eadc8278389f_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,203524,203991,203992,NA,1628972,201152,202696,203107,203897,2021-04-09,2,95,15-7 Average,-11,-2,6,AtRim,NA,FALSE,0-2 Feet - Very Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/279/c9124700-a623-a586-c4b9-7c8987e445c1_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,203524,203991,203992,NA,1630172,201152,202696,203107,203897,2021-04-09,3,703,15-7 Average,-13,-44,100,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/302/771f4c79-52bb-5e14-c1f1-52bdcd7c6a58_960x540.mp4
Kevin Huerter,1628989,ATL,Solomon Hill,1628989,1629027,203524,203991,203992,NA,1630172,201152,202696,203107,203897,2021-04-09,3,552,15-7 Average,-9,53,60,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/320/25150fcf-cc6b-12ae-751e-7f2e1aa37dc9_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Trae Young,1629027,203503,203524,203991,203992,NA,1629632,1630172,201152,202696,203897,2021-04-09,3,404,15-7 Average,-6,37,186,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/346/fce3efde-56f4-807b-e49c-4318548778c2_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1629027,203503,203524,203991,203992,NA,1629632,1630172,201152,202696,203897,2021-04-09,3,375,15-7 Average,-4,168,8,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/349/c6ffdd44-fcd2-93fb-a386-a32958b40d99_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1629027,201568,203503,203991,203992,NA,1628374,1629632,202696,203107,203897,2021-04-09,3,277,15-7 Average,-4,4,6,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/09/0022000791/378/11bfb61a-6811-fced-ffcb-aebb5be7620d_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1629027,203503,203991,203992,NA,1627756,1627853,1629632,1630172,201152,2021-05-01,2,435,22-18 Very Early,-5,231,32,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/237/19714e6d-65e7-0d7c-e20c-4e7e95b3ff93_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Trae Young,1628381,1628989,1629027,203991,203992,NA,1628464,1629632,1630172,201152,202066,2021-05-01,2,195,15-7 Average,-6,-112,231,Arc3,TRUE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/280/8cc0ad15-a67e-9bfe-69f6-47f9c243b4cc_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1628464,1629632,1630172,201152,202066,2021-05-01,2,145,15-7 Average,-5,-183,183,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/287/d373efa2-d450-9313-83e8-08cbf915f903_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,1630168,203992,NA,1628464,1629632,1630172,201152,202066,2021-05-01,2,111,15-7 Average,-3,114,222,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/297/4c6bd335-8e15-3081-2588-d0c5bf8d7e39_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1628989,1629027,1630168,203992,NA,1628464,1629632,1630172,201152,202066,2021-05-01,2,50,22-18 Very Early,-3,-183,172,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/308/95f66b69-228a-cb74-2e53-44acf353ecbb_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,1630168,203992,NA,1628464,1629632,1630172,201152,202066,2021-05-01,2,43,15-7 Average,-3,232,21,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/310/9f6f8c5e-0231-a95f-6b27-9c78a3abe1b2_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1629027,203503,203991,203992,NA,1628464,1629632,1630172,201152,202066,2021-05-01,3,556,15-7 Average,-1,-116,221,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/363/d3db1b03-db43-64c3-3194-2e0e8d1d5be6_960x540.mp4
John Collins,1628381,ATL,Bogdan Bogdanovic,1628381,1629027,203503,203991,203992,NA,1628374,1629632,1630172,201152,202066,2021-05-01,3,421,15-7 Average,2,-225,-22,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/01/0022000959/385/3a67c504-919b-4685-1204-07431f47a315_960x540.mp4
Cam Reddish,1629629,ATL,John Collins,1628381,1629027,1629629,1629631,201568,NA,1628374,1628976,1629632,1630172,203897,2020-12-23,1,689,NA,-3,0,46,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/9/f0dfc5af-42ad-69c8-1731-131d2da0a2f7_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1629027,1629629,1629631,201568,NA,1628374,1628976,1629632,1630172,203897,2020-12-23,1,574,NA,3,-6,0,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/29/3c125322-1c99-5512-e23c-1f8d65609f86_960x540.mp4
Cam Reddish,1629629,ATL,Danilo Gallinari,1628381,1629027,1629629,1629631,201568,NA,1628374,1628976,1629632,1630172,203897,2020-12-23,1,429,NA,10,14,2,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/65/f4ac41b0-817b-74f6-f2ce-236b01e2c594_960x540.mp4
Kevin Huerter,1628989,ATL,Bruno Fernando,1628981,1628989,1629027,203524,203992,NA,1627853,1628990,1629655,1630172,203490,2020-12-23,1,223,NA,8,-2,158,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/132/be630970-5f1d-7264-62f0-51af0532aa77_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629631,203524,203992,NA,1627853,1628374,1628990,1629690,203490,2020-12-23,1,61,NA,14,4,46,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/160/d863158e-2318-571d-8193-59a19c97e94d_960x540.mp4
