player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Trae Young,1629027,ATL,NA,1628981,1628989,1629027,203524,203992,NA,1626204,1626224,1628422,1629636,201580,2021-01-02,1,199,15-7 Average,7,3,10,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/02/0022000083/119/355d346d-0dcc-f73d-8ac0-634dca0a0aef_960x540.mp4
Trae Young,1629027,ATL,Bogdan Bogdanovic,1628981,1628989,1629027,203524,203992,NA,1626204,1626224,1628422,1629636,201580,2021-01-02,1,169,15-7 Average,9,3,11,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/02/0022000083/122/a43de1cf-b68c-6e2a-c691-d304714d5a34_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628981,1628989,1629027,203524,203992,NA,1626204,1626224,1628422,1629636,201580,2021-01-02,1,148,22-18 Very Early,11,79,243,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/02/0022000083/126/978cc789-27c9-6e95-4e4f-438bb6b48174_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628981,1628989,1629164,203524,203992,NA,1626204,1626224,1628422,1629636,201580,2021-01-02,1,119,22-18 Very Early,11,217,115,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/02/0022000083/135/2c5ac47c-f1bb-e378-60f9-852302d53480_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628386,1629012,1629636,1629731,1630171,2021-02-23,1,592,15-7 Average,1,12,8,AtRim,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/23/0022000480/28/f3dced3f-b2e8-b7c8-997a-420eaa96c064_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628386,1629012,1629636,1629731,1630171,2021-02-23,1,448,15-7 Average,5,131,151,LongMidRange,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/23/0022000480/60/47760a08-292c-ab52-2f95-26d61158708f_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,201568,203524,203991,NA,1628386,1629012,1629636,1629731,1630171,2021-02-23,1,291,15-7 Average,4,3,308,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/23/0022000480/99/abac9d85-232f-7c44-53fe-5e9359843c19_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,201568,203524,203991,NA,1628386,1629012,1629636,1629731,1630171,2021-02-23,1,230,15-7 Average,4,-232,42,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/23/0022000480/109/aee78dbd-bd8f-0e41-c2d8-17f5ff9d7b5b_960x540.mp4
Clint Capela,203991,ATL,Tony Snell,1628381,1628989,1629027,203503,203991,NA,1628386,1629012,1629636,1629731,1630171,2021-02-23,2,290,18-15 Early,-9,-8,11,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/23/0022000480/277/fa8e6af5-a569-49f9-cecf-f6d69a748667_960x540.mp4
Clint Capela,203991,ATL,John Collins,1628381,1628989,1629027,203503,203991,NA,1628386,1629012,1629636,1629731,1630171,2021-02-23,2,266,18-15 Early,-7,54,66,ShortMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/23/0022000480/281/5aacc040-8c1f-d3c5-28f0-eb4caa5c5766_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,201568,203503,NA,1626204,1628386,1629012,1629636,1630171,2021-03-14,1,556,15-7 Average,1,26,22,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/14/0022000597/39/d64354c2-f61e-7c71-0297-9ecde18598ef_960x540.mp4
