player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,1629629,203524,NA,1626196,1627827,1629029,203501,204001,2021-02-03,2,266,15-7 Average,1,-109,88,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/03/0022000330/270/a6279d64-06d4-7de6-0640-4752761edadd_960x540.mp4
Kevin Huerter,1628989,ATL,Clint Capela,1628989,1629027,1629629,201568,203991,NA,1626161,1626196,1628467,1629029,203501,2021-02-03,2,94,15-7 Average,2,-157,44,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/03/0022000330/315/9d821515-2358-407e-eb8b-d97c2f6974dc_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629629,203991,Josh Richardson,1626196,1627827,1628467,1629029,204001,2021-02-03,3,654,15-7 Average,6,13,64,ShortMidRange,NA,FALSE,NA,NA,1 Dribble,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/03/0022000330/359/0cedeb60-7519-05be-dce7-29b8e6b4ce00_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1629027,201568,203503,203524,NA,1627827,1628973,1629029,203501,204001,2021-02-03,3,189,15-7 Average,-2,0,9,AtRim,NA,FALSE,NA,NA,1 Dribble,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/03/0022000330/476/8e5cc3d8-6fe2-d851-daf1-48cc97f06165_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,203503,203991,NA,1626196,1627827,1628467,1629029,204001,2021-02-10,2,243,15-7 Average,0,-11,-1,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/10/0022000384/305/02e1145b-0d70-7890-7fc2-5ff0ed5be399_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,201568,203503,NA,1626196,1627827,1628467,1629029,203501,2021-02-10,2,173,15-7 Average,3,-4,26,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/10/0022000384/329/4b3bf2b0-6205-2275-7ab0-534b8eccc4ab_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626196,1627827,1628467,1629029,204001,2021-02-10,3,665,15-7 Average,10,68,258,Arc3,NA,FALSE,4-6 Feet - Open,Touch 6+ Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/10/0022000384/383/712b36e2-88c5-4ea9-7dde-0efbb5f2cb9e_960x540.mp4
Kevin Huerter,1628989,ATL,Danilo Gallinari,1628381,1628989,1629027,1629629,201568,NA,1626196,1627827,1628467,1629029,204001,2021-02-10,3,582,7-4 Late,10,-99,107,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/10/0022000384/398/91de36dc-d687-ce16-b66e-93c351caba4c_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1626161,1626196,1627827,1628467,1629029,2021-02-10,3,547,7-4 Late,10,-5,0,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/10/0022000384/410/8f539b31-f10a-2648-95cc-39b80dc948f6_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1626161,1626196,1627827,1628467,1629029,2021-02-10,3,293,15-7 Average,13,68,286,Arc3,NA,FALSE,4-6 Feet - Open,Touch 6+ Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/10/0022000384/445/44f36924-f339-7a72-8b28-cbe4b9192d5c_960x540.mp4
