player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Clint Capela,203991,ATL,De'Andre Hunter,1628381,1629027,1629629,1629631,203991,NA,1628367,1630165,1630180,203486,203924,2020-12-28,3,686,15-7 Average,7,1,13,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/335/5d1a4af5-ca95-2722-9bfe-0f7b960b6636_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1629027,1629629,1629631,203991,NA,1628367,1630165,1630180,203486,203924,2020-12-28,3,545,15-7 Average,8,-5,1,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/353/54f125d2-2e67-5dc8-f150-22d51d25ac56_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,1629629,1629631,203991,NA,1628367,1630165,1630180,203486,203924,2020-12-28,4,377,15-7 Average,18,68,6,ShortMidRange,NA,TRUE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/582/5e779a85-8a18-7a09-e766-13df16d526f5_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,1629629,1629631,203991,NA,1628367,1630165,1630180,203486,203924,2020-12-28,4,312,15-7 Average,15,17,29,AtRim,NA,TRUE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/591/ee2e2a0a-5035-1165-fb4d-d487f1754054_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203524,203991,NA,1626153,201933,201961,203486,203924,2021-01-20,1,692,15-7 Average,0,-3,12,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/20/0022000219/9/ccb98db5-1043-486f-0340-5bf0f3e16fac_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203524,203991,NA,1626153,201933,201961,203486,203924,2021-01-20,1,361,15-7 Average,4,0,0,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/20/0022000219/66/fc67b7eb-f1d1-85ce-681a-b46d6ed80ef7_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203524,203991,NA,201565,201933,201961,203486,203924,2021-01-20,4,194,15-7 Average,-9,5,5,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/20/0022000219/619/43fd953c-a3f3-a672-bea9-890cb8296e28_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203524,203991,NA,201565,201933,201961,203486,203924,2021-01-20,4,153,15-7 Average,-7,43,24,ShortMidRange,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/20/0022000219/623/8540f298-5084-6fe4-0eb3-5ab18ff1e758_960x540.mp4
Danilo Gallinari,201568,ATL,Bogdan Bogdanovic,1628381,1630219,201568,203524,203992,NA,1630180,201961,202709,203486,203924,2021-04-26,2,59,7-4 Late,-14,103,61,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/26/0022000916/300/2f8b6406-8fa3-a657-09ad-c35865c5e203_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1628381,1630219,201568,203524,203992,NA,1630180,201961,202709,203486,203924,2021-04-26,2,16,7-4 Late,-12,-122,105,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/26/0022000916/305/6fd0f45c-f547-9aad-d57c-c813ab08cc3e_960x540.mp4
