player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Danilo Gallinari,201568,ATL,NA,1628989,1630219,201568,203524,203991,NA,1626162,1626172,1627814,1629673,1630185,2021-03-26,2,574,15-7 Average,6,45,105,ShortMidRange,FALSE,FALSE,NA,NA,2 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/188/1282242a-10db-5d4f-0505-e0e5a72c29bd_960x540.mp4
Danilo Gallinari,201568,ATL,Trae Young,1628381,1628989,1629027,201568,203503,NA,1626162,1627814,1629308,1629673,203952,2021-03-26,2,32,15-7 Average,19,-16,31,AtRim,TRUE,FALSE,NA,NA,2 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/322/22e7dec2-6bf8-7617-773c-d7adbdf26dfd_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Kevin Huerter,1628989,1629027,203524,203991,203992,NA,1626162,1630164,201939,203110,203952,2021-04-04,3,679,15-7 Average,-4,199,153,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/363/49e7695b-a9f8-6edd-5fe8-d0c29185c9f1_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,203524,203991,203992,NA,1626162,1630164,201939,203110,203952,2021-04-04,3,644,15-7 Average,-1,6,8,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/367/ece94ef8-905a-b2bf-29ad-0d6aeb062ad6_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Solomon Hill,1628989,1629027,203524,203991,203992,NA,1626162,1630164,201939,203110,203952,2021-04-04,3,615,15-7 Average,-1,-141,214,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/373/8d19e5cb-a63e-73f2-92e4-874faf8b2a0d_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,203524,203991,203992,NA,1626162,1630164,201939,203110,203952,2021-04-04,3,542,15-7 Average,0,-49,110,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/385/fcaf760d-2251-4409-e3b3-55f17e5d4e86_960x540.mp4
Lou Williams,101150,ATL,NA,101150,1628989,1630168,201568,203503,NA,1626162,1626172,1627814,1629308,1629673,2021-04-04,4,619,15-7 Average,-1,-106,45,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/553/291a1980-6dd5-ed64-e382-7733323ab74b_960x540.mp4
Lou Williams,101150,ATL,NA,101150,201568,203503,203991,203992,NA,1626162,1627814,201939,203110,203952,2021-04-04,4,360,15-7 Average,5,-185,20,LongMidRange,FALSE,FALSE,4-6 Feet - Open,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/612/e072048f-ebca-9542-8893-d433bd7bc014_960x540.mp4
Lou Williams,101150,ATL,NA,101150,201568,203503,203991,203992,NA,1626162,1627814,201939,203110,203952,2021-04-04,4,141,15-7 Average,2,-75,96,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/649/10019368-c03b-3435-87a8-2b7f6554663a_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1629027,203503,203991,203992,NA,1626162,1629673,1630164,203110,203952,2021-03-26,1,696,NA,0,79,253,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/7/f9268300-ce7f-b0e3-2a14-b18f8fe4cf5b_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1629027,203503,203991,203992,NA,1626162,1629673,1630164,203110,203952,2021-03-26,1,616,NA,0,0,0,AtRim,FALSE,TRUE,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/19/6e58b263-3e34-da57-1038-81bd2e84cf78_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1629027,203503,203991,203992,NA,1626162,1629673,1630164,203110,203952,2021-03-26,1,474,NA,4,213,126,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/42/d69ef92c-aa8a-7fa3-b95b-5314b4aeaa88_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,203503,203991,NA,1629673,1630164,203110,203145,203952,2021-03-26,1,346,NA,4,-29,21,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/79/9cc8992e-5859-effa-8b33-f285d61b99f7_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1630219,203524,203991,NA,1629673,1630164,1630185,203110,203952,2021-03-26,2,478,NA,8,16,15,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/217/166df3e0-a395-f8ca-5659-679dd2514ab8_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1629027,203503,203991,203992,NA,1628539,1629673,1630164,203110,203952,2021-03-26,2,397,NA,9,1,3,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/243/1fbc0e27-8ecc-9750-f23a-b7e0291d2309_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1629027,203503,203991,203992,NA,1628539,1629673,1630164,203110,203952,2021-03-26,2,310,NA,10,8,5,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/253/7718f5bf-b1ef-103c-3373-967b48006067_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,203503,203991,NA,1626162,1628539,1630164,203110,203952,2021-03-26,2,269,NA,9,-16,129,ShortMidRange,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/266/c70a9cef-e751-c7b6-98d7-e80023331359_960x540.mp4
John Collins,1628381,ATL,Tony Snell,1628381,1628989,1629027,203503,203991,NA,1626162,1628539,1630164,203110,203952,2021-03-26,2,221,NA,11,201,163,Arc3,TRUE,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/272/63be29a5-e868-d21b-f977-ec32b5d59ce7_960x540.mp4
Clint Capela,203991,ATL,John Collins,1628381,1628989,1629027,203503,203991,NA,1626162,1628539,1630164,203110,203952,2021-03-26,2,205,NA,14,-2,21,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/276/9b8dcb04-e1b3-70fc-b737-d7cdbcb73a44_960x540.mp4
John Collins,1628381,ATL,Tony Snell,1628381,1628989,1629027,203503,203991,NA,1626162,1628539,1630164,203110,203952,2021-03-26,2,144,NA,16,229,111,Arc3,TRUE,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/26/0022000692/283/26a5f8bd-5332-ee2a-2640-9276b5d1a568_960x540.mp4
