player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1628383,1628425,1629645,1630256,203506,2021-03-16,1,632,22-18 Very Early,0,1,34,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/22/08ef0b18-7e54-85b0-d9d6-c9ea53dcab65_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1628383,1628425,1629645,1630256,203506,2021-03-16,1,527,15-7 Average,-5,8,157,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/35/83a70de4-7bac-75b6-0723-e95c69d4187d_960x540.mp4
Kevin Huerter,1628989,ATL,Trae Young,1628381,1628989,1629027,203503,203524,NA,1628383,1628425,1629645,1630256,203506,2021-03-16,1,309,22-18 Very Early,0,-6,11,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/68/b1159fb2-c8a7-8ed5-3cb6-2406d9b58cc0_960x540.mp4
Danilo Gallinari,201568,ATL,Rajon Rondo,1630233,200765,201568,203524,203992,NA,1629645,1630222,1630231,1630237,1630256,2021-03-16,1,122,15-7 Average,5,191,87,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/122/1b51824e-6023-9d97-58d8-1b53f9f7ff97_960x540.mp4
Danilo Gallinari,201568,ATL,Rajon Rondo,1630233,200765,201568,203524,203992,NA,1629645,1630222,1630231,1630237,1630256,2021-03-16,1,76,15-7 Average,9,-192,190,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/134/3e913ea5-af9b-f8f9-d416-08fad4cd092e_960x540.mp4
Danilo Gallinari,201568,ATL,Rajon Rondo,1630233,200765,201568,203524,203992,NA,1629645,1630222,1630231,1630237,1630256,2021-03-16,1,40,15-7 Average,10,-124,227,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/137/45453487-3ebf-7ddc-a388-7060505b481e_960x540.mp4
Nathan Knight,1630233,ATL,Bogdan Bogdanovic,1630233,200765,201568,203524,203992,NA,1628383,1630222,1630231,1630256,203506,2021-03-16,2,528,15-7 Average,21,0,29,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/180/1a3c6856-a5b6-c64f-3678-ae1831ec05dd_960x540.mp4
Tony Snell,203503,ATL,Trae Young,1628381,1628989,1629027,203503,203524,NA,1628425,1629645,1630231,1630237,203506,2021-03-16,2,318,15-7 Average,15,137,218,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/259/0bf8e4f2-307a-05f2-e543-28740454a621_960x540.mp4
Nathan Knight,1630233,ATL,Trae Young,1628381,1628989,1629027,1630233,203503,NA,1628425,1629645,1630231,1630237,203506,2021-03-16,2,272,15-7 Average,16,-15,8,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/272/30eb780c-bee7-c353-fd26-6c7f341952de_960x540.mp4
Nathan Knight,1630233,ATL,Trae Young,1628381,1628989,1629027,1630233,203503,NA,1628425,1629645,1630231,1630256,203506,2021-03-16,2,126,15-7 Average,20,1,9,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/300/40bc7a3d-c324-8843-da61-93d758af838e_960x540.mp4
Tony Snell,203503,ATL,Trae Young,1628381,1628989,1629027,1630233,203503,NA,1628425,1629645,1630231,1630256,203506,2021-03-16,2,99,15-7 Average,20,229,10,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/306/9e6997dd-1174-b2f6-37ca-2386d31dac6d_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1629027,1630233,201568,203503,203992,NA,1628383,1628425,1629645,1630256,203506,2021-03-16,3,393,7-4 Late,11,6,79,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/16/0022000613/395/632d7f36-b23d-1ca6-4d85-ba5822c107e8_960x540.mp4
