player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Danilo Gallinari,201568,ATL,NA,1628981,1628989,1630219,201568,203524,Malcolm Brogdon,1626167,1627763,203087,203200,204456,2021-02-13,1,113,15-7 Average,-1,-105,137,LongMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/125/1bd66c25-8ce7-a0a0-2c2f-e149e616ae6e_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1628981,1628989,1630219,201568,203524,NA,1626167,1628988,203087,203200,204456,2021-02-13,1,28,15-7 Average,-3,-110,95,LongMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/144/7bbf3815-67b8-035e-81fc-4b9f70bc6e76_960x540.mp4
Kevin Huerter,1628989,ATL,Bruno Fernando,1628981,1628989,1629164,201568,203524,NA,1627734,1628988,203087,203926,204456,2021-02-13,2,690,15-7 Average,-3,11,6,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/167/142e9999-1b32-97d3-6cc2-f4f1daf4ac3f_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,201568,203524,NA,1627734,1628988,203087,203926,204456,2021-02-13,2,571,15-7 Average,-3,5,5,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/182/7412d47b-dee1-7ec9-f658-35c1361c9c1d_960x540.mp4
Danilo Gallinari,201568,ATL,Brandon Goodwin,1629027,1629164,201568,203524,203991,NA,1627734,1628988,203087,203926,204456,2021-02-13,2,543,15-7 Average,-4,-41,94,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/193/8850d1ef-17a8-03bc-d1b1-a4e4eed48b5d_960x540.mp4
Danilo Gallinari,201568,ATL,Kevin Huerter,1628381,1628989,1629027,1629164,201568,NA,1626167,1627763,203200,203926,204456,2021-02-13,2,102,15-7 Average,-8,-17,16,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/303/4d7d5e27-fa2b-99b0-3073-6d34b2a5cf44_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626167,1627734,1627763,203200,203926,2021-02-13,3,522,18-15 Early,-1,-24,80,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/376/19f5b91e-d386-bc79-d423-7067da0b69a8_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626167,1627734,1627763,203200,203926,2021-02-13,3,490,18-15 Early,-1,11,116,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/386/ff69dd2a-7edb-e929-74ba-32ddaca66055_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626167,1627763,1628988,203926,204456,2021-02-13,4,350,15-7 Average,0,-178,187,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/578/da89f72f-ea9a-a6ef-79b6-dad26e7f6216_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,201568,NA,1626167,1627763,1628988,203926,204456,2021-02-13,4,124,15-7 Average,-9,228,93,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/13/0022000407/633/4e8810e0-d453-21d6-8bbb-bd9de5a15321_960x540.mp4
