player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1628379,1629611,201586,201587,202704,2021-01-26,1,548,15-7 Average,-1,-46,141,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/35/2b18deb7-4d31-5e95-886f-56f81eeb0777_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1628379,1629611,201586,201587,202704,2021-01-26,1,494,15-7 Average,-3,5,53,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/43/4f7fe674-9715-1c9a-d24d-e4e6bea21494_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1628379,1629611,201586,201587,202704,2021-01-26,1,381,15-7 Average,-3,78,102,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/58/6f19ab4b-49bb-998a-75d0-d9c96f6014b9_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629027,1629631,203524,NA,1628379,1629611,201586,201587,202704,2021-01-26,1,373,15-7 Average,-3,93,42,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/66/6ca8be39-edbd-3036-09c0-48928338e01c_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1629164,1629631,200765,203991,NA,101150,1627826,1629599,202694,202704,2021-01-26,2,592,7-4 Late,-1,-123,26,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/173/4e9e0ae8-7f2a-9a72-d347-b7b3af897151_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1629164,1629631,200765,203991,NA,101150,1627826,1629599,202694,202704,2021-01-26,2,558,7-4 Late,-1,14,78,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/177/a8fe02cb-fc60-9cf7-45e6-b06dbc0f8701_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629164,1629631,203524,NA,101150,1627826,1629599,202694,202704,2021-01-26,4,517,15-7 Average,5,-157,197,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/526/866128b1-317f-9a0c-66d0-601382e6d3fd_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628989,1629027,1629631,203524,203991,NA,1628379,1629611,201586,202694,202704,2021-01-26,4,279,15-7 Average,5,87,245,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/26/0022000268/576/b1e149a2-5c94-f445-eff3-e51ee88877b8_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1627826,202331,202694,202695,202704,2021-03-22,1,675,15-7 Average,-3,12,136,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/22/0022000660/11/23158810-41f2-0ab6-6eae-61d878f96ced_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1627826,202331,202694,202695,202704,2021-03-22,1,640,15-7 Average,-3,-5,84,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/22/0022000660/16/270cebf6-c1da-7975-126b-c73f9aa4d84b_960x540.mp4
