player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1627745,202693,203471,203484,2544,2021-03-20,1,687,15-7 Average,-2,13,22,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/9/53ca6542-155f-0213-c43f-e3c6203d5145_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1627745,202693,203471,203484,2544,2021-03-20,1,612,15-7 Average,0,33,29,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/20/7c58ce4d-094a-24ea-f816-f2af8455134c_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,1630233,203503,NA,1627745,202693,203471,203484,2544,2021-03-20,1,468,15-7 Average,-2,191,214,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/54/b583673d-39a4-dd07-0e93-3abe25d1e728_960x540.mp4
Kevin Huerter,1628989,ATL,Trae Young,1628381,1628989,1629027,1630233,203503,NA,1627745,202693,203471,203484,2544,2021-03-20,1,439,15-7 Average,1,-236,94,Arc3,TRUE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/57/885727d7-f131-ea13-b623-2973745ec574_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1628381,1629027,201568,203524,203992,NA,1626149,1627936,1628398,203471,203484,2021-03-20,1,293,15-7 Average,5,-31,32,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/99/790fc07d-7434-fba9-6073-731bf123aad0_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1630168,200765,201568,203524,203992,NA,1626149,1627936,1628398,202083,203471,2021-03-20,1,122,15-7 Average,4,161,47,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/143/16446765-3402-f52f-20e9-f6ee6059d184_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,201568,203992,NA,1626149,1627936,1628398,1629659,202693,2021-03-20,2,401,15-7 Average,0,13,31,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/227/9133eec4-b5ab-bf32-1b16-8efd63e42d92_960x540.mp4
John Collins,1628381,ATL,Danilo Gallinari,1628381,1628989,1629027,201568,203503,NA,1627745,1628035,1629659,202693,203471,2021-03-20,2,274,15-7 Average,-3,3,8,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/265/1f8ac768-6dfe-53ee-6da0-7925373bddfa_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1627745,1628035,1628398,202693,203471,2021-03-20,2,215,18-15 Early,-2,-6,83,ShortMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/285/cfcdc9ee-da73-3992-ec43-8e3716f7c140_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1627745,1628035,1628398,202693,203471,2021-03-20,2,168,15-7 Average,-2,0,0,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,0 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/03/20/0022000640/289/ffc6a898-6ace-e123-dc08-8d0a7839ef7e_960x540.mp4
