player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Cam Reddish,1629629,ATL,NA,1628381,1629027,1629629,1629631,203992,NA,1628415,1628960,1629630,202685,203937,2020-12-26,1,682,15-7 Average,0,185,54,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/11/da4adede-9fab-46cf-9455-7dd30fe74d26_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628981,1628989,1629027,1629629,203524,NA,1626145,1629630,1630217,202685,203937,2020-12-26,1,278,15-7 Average,-8,-185,64,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/94/a5b58ded-4318-6e85-dac8-bfa652ebe47f_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629629,1630233,203524,203992,NA,1626145,1628415,1628960,202685,203937,2020-12-26,2,532,15-7 Average,7,20,5,AtRim,NA,FALSE,NA,NA,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/210/6960b60b-e605-f63d-2810-eb62cf6c3aab_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,1629631,NA,1629630,1629723,1630217,203476,203937,2020-12-26,2,292,15-7 Average,1,0,20,AtRim,NA,FALSE,NA,NA,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/289/cd6d9239-3e6d-9270-ac02-454d77e8b40f_960x540.mp4
Solomon Hill,203524,ATL,NA,1628989,1629164,1630233,203524,203992,NA,1626145,1628415,1629634,1629723,1630217,2020-12-26,3,119,4-0 Very Late,2,3,69,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/503/57988faa-2496-120c-04ce-0ad078410be9_960x540.mp4
Solomon Hill,203524,ATL,NA,1628989,1629164,1630233,203524,203992,NA,1626145,1628415,1629634,1629723,1630217,2020-12-26,3,116,4-0 Very Late,2,0,0,AtRim,NA,TRUE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/505/6f7cd6bb-f470-cb5c-f005-160db58d4c15_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1626145,1628415,1629723,202685,203937,2020-12-26,4,638,15-7 Average,4,8,288,Arc3,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/562/99dbab4b-e5e7-416c-96d6-00057d3bced3_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1628415,1628960,1629630,1629634,202685,2020-12-26,4,190,15-7 Average,6,61,266,Arc3,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/671/038a7497-9199-cf3b-8014-cf109763f9fe_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,1,684,15-7 Average,0,73,85,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/9/c36914a4-80ef-cbac-f482-eb9924624142_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,1,642,18-15 Early,3,-71,151,LongMidRange,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/17/a9bc77d1-95a0-f9ef-04a2-2dd1e3050b3d_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,1630168,203524,203992,Kyle Anderson,1628415,1628960,1629630,202685,203937,2021-04-07,1,498,15-7 Average,5,14,14,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/38/e0fe6a78-72e9-3ed9-92b7-684adab6cbe8_960x540.mp4
Solomon Hill,203524,ATL,Trae Young,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,1,481,15-7 Average,3,-3,4,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/43/070a47c9-ca85-79da-fb76-198048add0c5_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,1,384,15-7 Average,9,-10,166,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/63/11cd4612-8ba9-3b0b-8f4b-7fa2276ce17b_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,1,336,18-15 Early,9,-3,4,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/70/5e97c979-e2dd-ed75-2c84-9d43427edd8b_960x540.mp4
Solomon Hill,203524,ATL,Bogdan Bogdanovic,1629027,1630233,203503,203524,203992,NA,1628415,1629630,1630214,1630217,203937,2021-04-07,1,201,15-7 Average,11,-3,4,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/100/88e1ff89-193c-7ed8-7617-8b1cdf05cc1f_960x540.mp4
Lou Williams,101150,ATL,NA,101150,1629164,1630168,203503,203992,NA,1626145,1628960,1629681,1629723,202685,2021-04-07,2,497,18-15 Early,2,-48,84,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/197/8a88d829-08eb-4fa6-5b1d-eddb353ca0ea_960x540.mp4
Onyeka Okongwu,1630168,ATL,Trae Young,101150,1629027,1630168,203524,203992,NA,1628960,1629630,1629723,202685,203937,2021-04-07,2,351,15-7 Average,0,3,8,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/230/76316584-8f9d-a14c-d285-b9f05ec12689_960x540.mp4
Lou Williams,101150,ATL,NA,101150,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,2,290,18-15 Early,-2,-9,163,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/242/d3ff8984-27fe-f5c0-2f19-f5e853e4e0d5_960x540.mp4
Onyeka Okongwu,1630168,ATL,Solomon Hill,1628989,1629027,1630168,203524,203992,NA,1628960,1629630,1630217,202685,203937,2021-04-07,2,72,15-7 Average,-4,6,10,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/288/179e147b-4bb5-4922-36ab-7defcc962dfa_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,3,494,15-7 Average,-10,-225,115,Arc3,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/361/ec9124ea-b2ec-f48a-bbbf-22df1d9c684b_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,3,334,15-7 Average,-14,-161,191,Arc3,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/385/e20c69a0-f40a-eac8-3225-653b73dd8de8_960x540.mp4
Nathan Knight,1630233,ATL,Trae Young,1629027,1630233,203503,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,3,280,15-7 Average,-21,6,6,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/404/363e41a7-acbe-8f0b-c650-dd65b140f42e_960x540.mp4
Nathan Knight,1630233,ATL,Tony Snell,101150,1628989,1629027,1630233,203503,NA,1628960,1629630,1629723,1630214,1630217,2021-04-07,3,41,15-7 Average,-25,0,7,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/452/fd96fac5-9c4d-3f00-2dcb-64cc25f975b0_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,1629631,203992,NA,1628415,1628960,1629630,202685,203937,2020-12-26,1,714,NA,0,-147,231,Arc3,NA,FALSE,NA,Touch 2-6 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/7/331908b6-b780-c89c-8e3f-db4b2fd2dd21_960x540.mp4
Trae Young,1629027,ATL,NA,1628981,1628989,1629027,1629629,203992,NA,1628415,1629630,1630217,202685,203937,2020-12-26,1,333,NA,-6,-93,247,Arc3,NA,FALSE,NA,Touch 2-6 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/82/39c17c5a-57d4-da69-18ce-c3045a8707b3_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629027,1629629,203524,NA,1626145,1629630,1630217,202685,203937,2020-12-26,1,267,NA,-8,0,10,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/98/0c29897a-7d5c-fb5d-8d4f-2239a3429f91_960x540.mp4
Kevin Huerter,1628989,ATL,Bruno Fernando,1628981,1628989,1629027,1629629,203524,NA,1626145,1629634,1629723,1630217,203476,2020-12-26,1,235,NA,-8,31,101,ShortMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/108/3a0cc703-e214-9994-3fd4-60c77a8ac40d_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,1629631,203524,NA,1626145,1629634,1629723,1630217,203476,2020-12-26,1,142,NA,-5,58,109,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/126/e0665147-74b1-dcc9-5fee-8f537fcdc055_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628981,1629027,1629629,1629631,203992,NA,1628415,1629630,1630217,202685,203937,2020-12-26,2,394,NA,3,8,4,AtRim,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/259/2a5f7cd1-2b38-b230-d009-d1b30a8559b8_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1629164,1629629,1629631,203992,NA,1629630,1629634,1629723,1630217,203937,2020-12-26,2,143,NA,-1,174,18,LongMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/325/607255ce-1a73-b35b-acd0-a414f81ad576_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1626145,1628415,1629723,202685,203937,2020-12-26,4,611,NA,4,-68,242,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/567/42c36d1f-318e-432c-cb3d-92d24d98c29b_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1626145,1628415,1629723,202685,203937,2020-12-26,4,578,NA,4,-43,95,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/574/83a5ee6c-2cf4-2850-a299-9eea1bac862a_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1626145,1628415,1628960,202685,203937,2020-12-26,4,512,NA,5,-85,231,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/589/65144036-4b17-4ac1-c0f4-8a4e75c63cb7_960x540.mp4
Trae Young,1629027,ATL,NA,1628981,1628989,1629027,1629629,1629631,NA,1628960,1629630,1630217,202685,203937,2020-12-26,4,449,NA,2,-195,26,LongMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/615/1c42002a-6969-ffe4-cada-3ffb495530ab_960x540.mp4
Trae Young,1629027,ATL,NA,1628981,1628989,1629027,1629629,1629631,NA,1628960,1629630,1629634,1630217,203937,2020-12-26,4,414,NA,3,57,84,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/625/33dde49c-c9cc-0ff8-89e7-04bdf75f9836_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1628415,1628960,1629630,202685,203937,2020-12-26,4,113,NA,5,9,62,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/695/9dcace81-e291-a157-aa8e-4946ba42a780_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1628415,1628960,1629630,202685,203937,2020-12-26,4,88,NA,3,5,15,AtRim,FALSE,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/701/4f3cede0-62f2-311a-a1be-cd8e9108ad89_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203992,NA,1628415,1628960,1629630,202685,203937,2020-12-26,4,56,NA,6,-4,6,AtRim,FALSE,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/706/f853ef83-72eb-87a0-26d3-b563593e3e93_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,101150,1629164,1630168,203503,203992,NA,1626145,1628960,1629681,1629723,202685,2021-04-07,2,436,NA,2,-22,119,ShortMidRange,NA,FALSE,NA,NA,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/205/9ecd6ddf-3544-b280-c3d8-609ee6a91afc_960x540.mp4
Trae Young,1629027,ATL,NA,101150,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,2,236,NA,-3,82,48,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/249/5e7a9dbc-4609-c097-3b7b-d41e7e9f9e5f_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628415,1628960,1629630,202685,203937,2021-04-07,2,146,NA,0,94,20,ShortMidRange,NA,FALSE,NA,NA,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/269/fd05477b-296e-d3a8-ac5a-32f3030dec7f_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1630168,203524,203992,NA,1628960,1629630,1630217,202685,203937,2021-04-07,2,50,NA,-2,-75,127,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/292/9e13e4ad-94df-ec4d-2c3c-a848870f7d05_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Kevin Huerter,101150,1628989,1630233,203503,203992,NA,1626145,1629681,1629723,1630214,1630217,2021-04-07,4,550,NA,-25,-12,34,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/499/4ec0e266-1098-0142-8598-718fc190916f_960x540.mp4
Onyeka Okongwu,1630168,ATL,NA,101150,1629027,1630168,203524,203992,NA,1628960,1629630,1630217,202685,203937,2021-04-07,4,433,NA,-19,8,6,AtRim,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/07/0022000780/537/5e90e646-a2a2-976e-b1b1-3298ddeaf424_960x540.mp4
