player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
John Collins,1628381,ATL,NA,1628381,1628989,1629027,203503,203991,Bam Adebayo,1628389,1629130,1629134,201609,203482,2021-02-28,1,625,15-7 Average,-2,-44,22,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/21/8ed3d65d-3444-8151-af95-31c84880be27_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,203503,203991,Kendrick Nunn,1628389,1629130,1629134,201609,203482,2021-02-28,1,249,15-7 Average,0,-29,44,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/87/ad7cdcc4-740c-2653-20ff-1d259614d9e5_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1628989,1630168,200765,201568,203524,NA,1629134,1629216,1629639,1629644,1630173,2021-02-28,1,186,7-4 Late,-1,-55,241,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/117/2d29601a-b151-5d69-5149-2678130a5797_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1630168,1630219,200765,201568,203524,NA,1629130,1629216,1629639,1630173,2738,2021-02-28,1,4,7-4 Late,-8,237,25,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/159/e21da2d1-6e62-065b-9b69-1342ceb1c016_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,201568,203524,203991,Bam Adebayo,1628389,1629130,1629216,1629639,2738,2021-02-28,2,552,4-0 Very Late,-10,-18,31,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/197/b39d0223-d007-8dd2-3b66-09981a0ad8df_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1629130,1629134,1630173,201609,203482,2021-02-28,2,277,4-0 Very Late,-13,21,58,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/260/e845247e-8d08-062c-9073-10b971142031_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628389,1629130,1629216,1629639,2738,2021-02-28,4,493,15-7 Average,-7,29,27,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/547/7be50cbb-b1e8-c011-d57c-8f267cc9f0f1_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,203503,203991,Bam Adebayo,1628389,1629130,1629216,1629639,2738,2021-02-28,4,407,15-7 Average,-7,126,10,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/561/af15da5e-7e02-ff99-cf42-97970a7a89ad_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628389,1629134,1629639,201609,2738,2021-02-28,4,56,15-7 Average,-10,-19,119,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/28/0022000522/634/509de1b4-8dad-dcef-e5f0-99ba327f9aff_960x540.mp4
Solomon Hill,203524,ATL,NA,1628989,1630168,200765,201568,203524,NA,1628389,1629130,1629216,1629639,2738,2021-03-02,2,694,4-0 Very Late,6,-235,-3,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/02/0022000538/156/956d9138-2165-e616-bef9-7cdc474bc744_960x540.mp4
