player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
De'Andre Hunter,1629631,ATL,Brandon Goodwin,1629164,1629629,1629631,201568,203503,NA,1626171,1626192,1628978,201571,203507,2021-01-24,2,706,15-7 Average,-17,-139,57,LongMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/148/4857cb75-ec42-dab8-7773-ac37fde8ae8f_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1629164,1629629,1629631,201568,203503,NA,1626171,1626192,1628978,201571,203507,2021-01-24,2,658,15-7 Average,-18,-127,73,LongMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/154/a2925b6b-98bb-fb07-3dc3-6e4a87ad895f_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629631,1630168,200765,NA,1627854,1628470,201572,201950,203507,2021-01-24,2,448,15-7 Average,-20,79,174,LongMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/218/77a0ec7e-de64-792e-5893-482fe50d31f5_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629629,1629631,1630168,NA,1626171,1628470,201572,201950,203114,2021-01-24,2,182,15-7 Average,-24,43,79,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/280/80d18b08-ed62-7e60-d8d4-49617d05457c_960x540.mp4
De'Andre Hunter,1629631,ATL,John Collins,1628381,1628989,1629629,1629631,1630168,NA,1626171,1627854,201950,203114,203507,2021-01-24,2,40,15-7 Average,-21,168,95,LongMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/315/c755a7e2-959f-4896-cdcf-8885d3c7246e_960x540.mp4
John Collins,1628381,ATL,Danilo Gallinari,1628381,1628989,1629631,200765,201568,NA,1628978,201572,201950,203114,203507,2021-01-24,3,697,7-4 Late,-19,156,204,Arc3,TRUE,FALSE,6+ Feet - Wide Open,NA,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/336/5760373d-dbd8-3ce5-eb7e-fe4744af5b7f_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629631,200765,201568,NA,1628978,201572,201950,203114,203507,2021-01-24,3,666,15-7 Average,-18,-137,131,LongMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/341/ba65fc5b-61c0-acf3-4300-57d68a008362_960x540.mp4
John Collins,1628381,ATL,De'Andre Hunter,1628381,1628989,1629631,200765,201568,NA,1628978,201572,201950,203114,203507,2021-01-24,3,622,7-4 Late,-16,141,236,Arc3,TRUE,FALSE,6+ Feet - Wide Open,NA,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/356/e2798552-915b-8265-2463-0c5ec8967961_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629631,200765,201568,NA,1628978,201572,201950,203114,203507,2021-01-24,3,586,15-7 Average,-15,193,25,LongMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/359/82bade22-e500-501d-f6c1-b4a6fec905ed_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629631,200765,201568,NA,1628978,201572,201950,203114,203507,2021-01-24,3,492,7-4 Late,-13,6,44,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/371/a6bfcfc4-8f75-1ba3-44a5-ecb6970d3d4f_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629631,200765,201568,NA,1628978,201572,201950,203114,203507,2021-01-24,3,489,7-4 Late,-13,10,32,AtRim,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/373/fb8a0f65-5169-22a7-770d-ea97da1463c6_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629631,200765,201568,NA,1626171,1628978,201572,201950,203114,2021-01-24,3,438,15-7 Average,-13,-1,186,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/391/ef3a373e-8981-10d6-6ce2-16e6a7fb1d42_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629631,200765,203524,NA,1626171,1628978,201572,201950,203114,2021-01-24,3,327,15-7 Average,-10,10,17,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/407/652122c3-705d-2342-5fd4-83e6a0f93e52_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629631,200765,203524,NA,1626171,1628978,201572,201950,203114,2021-01-24,3,295,15-7 Average,-10,2,70,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/411/8ec0970c-1a99-cda0-4f5f-02d9b4ee2d18_960x540.mp4
John Collins,1628381,ATL,Danilo Gallinari,1628381,1629164,1629629,1629631,201568,NA,1626192,1628978,201571,201572,203507,2021-01-24,4,635,15-7 Average,-10,-43,42,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/506/0b7d7312-74a8-aa11-3339-266f314ad012_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629631,200765,201568,NA,1626192,1627854,201572,201950,203507,2021-01-24,4,436,15-7 Average,-17,-142,78,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/557/7fa43164-dc7b-52eb-5fc4-530fcf9d2dfa_960x540.mp4
John Collins,1628381,ATL,Solomon Hill,1628381,1629629,1629631,200765,203524,NA,1626171,1627854,1628470,201950,203114,2021-01-24,4,319,15-7 Average,-17,4,18,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/587/6baf57af-9a78-80b3-8d7f-54ebdb3085b4_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1629629,1629631,200765,203524,NA,1626171,1627854,1628470,201950,203114,2021-01-24,4,286,15-7 Average,-17,145,31,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000254/590/1798fe8e-b479-8433-52e6-f86e13a1a5dc_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,203524,203991,203992,NA,1627854,201572,201950,203114,203507,2021-04-15,1,689,15-7 Average,-2,44,134,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/15/0022000840/9/df27367d-4d68-bd71-5afe-7b354a392502_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,203524,203991,203992,NA,1627854,201572,201950,203114,203507,2021-04-15,1,638,18-15 Early,3,-11,11,AtRim,FALSE,FALSE,NA,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/15/0022000840/16/bf25a34f-f598-b569-fd0c-6d2bfc76a848_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628989,1629027,1630233,203991,203992,NA,1626171,1627854,201572,201950,203114,2021-04-15,1,365,18-15 Early,-3,-2,3,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/15/0022000840/67/167cb2aa-218a-a699-6c3a-d26d7f80bac6_960x540.mp4
