player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-18,1,703,15-7 Average,0,4,58,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/7/e47a7bad-afbd-979b-e1cb-2f6d6049b8ff_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-18,1,623,15-7 Average,0,2,10,AtRim,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/22/94daa5e3-44de-8e2e-9c20-735ea60ee3c9_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-18,1,580,15-7 Average,-2,-6,5,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/32/a6534e33-5723-97ac-cbf9-e028a821ec5f_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,1629631,203524,NA,1627736,1629006,1629020,1629162,1629675,2021-01-18,1,353,15-7 Average,2,-2,4,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/80/fc5d043b-c412-b5db-643e-df58233bdc2f_960x540.mp4
John Collins,1628381,ATL,Rajon Rondo,1628381,1628989,1629631,200765,203524,NA,1627736,1629020,1629162,1629675,1630162,2021-01-18,1,261,15-7 Average,6,-159,115,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/97/72e509f6-3289-882a-f9cc-5df90e01896d_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629164,1629631,203503,203991,NA,1626156,1629633,1630162,1630183,202334,2021-01-18,2,576,15-7 Average,2,-18,112,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/197/4011e33c-f2a5-361d-1c1c-c37dcb29bc49_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629164,1629631,203503,203991,NA,1626156,1629633,1630162,1630183,202334,2021-01-18,2,540,15-7 Average,1,54,222,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/208/bcf294db-7f14-987f-762a-79f38e0a980f_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-18,3,686,15-7 Average,7,-3,114,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/380/4bbf912a-afd0-508f-6656-f9af282064e0_960x540.mp4
De'Andre Hunter,1629631,ATL,Brandon Goodwin,1628381,1628989,1629164,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-18,3,579,22-18 Very Early,3,-3,3,AtRim,TRUE,FALSE,0-2 Feet - Very Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/405/a7713989-f901-9ea8-2f89-26100b241249_960x540.mp4
Brandon Goodwin,1629164,ATL,NA,1628381,1628989,1629164,1629631,203991,NA,1626156,1629020,1629633,1629675,1630162,2021-01-18,3,361,15-7 Average,10,7,262,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/444/c4a78bd2-b3d9-b254-aa3f-6d2995d56485_960x540.mp4
De'Andre Hunter,1629631,ATL,Kevin Huerter,1628381,1628989,1629164,1629631,203991,NA,1626156,1629020,1629633,1629675,1630162,2021-01-18,3,340,22-18 Very Early,10,-2,1,AtRim,TRUE,FALSE,0-2 Feet - Very Tight,Touch < 2 Seconds,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/449/d15177d2-086d-53d6-3070-45121f17bc3b_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629164,203503,203524,Jarred Vanderbilt,1629020,1629162,1629633,1630162,1630183,2021-01-18,3,195,15-7 Average,12,-11,115,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/489/115444c7-fc4d-a793-0732-373226c5ada9_960x540.mp4
Brandon Goodwin,1629164,ATL,NA,1628989,1629164,203503,203524,203991,NA,1627736,1629162,1629633,1630162,202334,2021-01-18,3,15,15-7 Average,9,107,221,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/18/0022000205/539/9f609cd4-5830-9a9b-6457-5e56f534e877_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629631,200765,Naz Reid,1626156,1627736,1629633,1629675,1630183,2021-01-22,2,319,15-7 Average,14,5,17,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/264/8de44570-335b-8f31-a5db-b2809f17180b_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,201568,203524,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-22,2,200,15-7 Average,15,117,231,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/297/24c60c44-efe7-cb77-6259-056e46c7cdb7_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,203524,203991,NA,1626156,1627736,1629006,1629020,1629669,2021-01-22,2,174,15-7 Average,18,131,250,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/307/452a231d-0037-1e4e-9899-6bd3045e75af_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1629027,1629629,203524,203991,Jarred Vanderbilt,1626156,1627736,1629006,1629020,1629669,2021-01-22,2,102,15-7 Average,19,6,40,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/316/6a723a2d-5851-4a5b-5b56-7dea6555c4c0_960x540.mp4
Trae Young,1629027,ATL,Kevin Huerter,1628989,1629027,1629629,203524,203991,NA,1626156,1627736,1629006,1629020,1629669,2021-01-22,2,43,15-7 Average,20,-75,263,Arc3,TRUE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/340/bcab11b4-5939-f571-7e52-cf3c3492c189_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-22,3,640,15-7 Average,21,0,21,AtRim,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/372/960f89ef-f116-c3b2-7fc1-bae6753a3e1d_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-22,3,604,15-7 Average,18,90,235,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/376/6a6ee805-cac2-5026-0272-dc69827fcd09_960x540.mp4
Trae Young,1629027,ATL,John Collins,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-22,3,565,15-7 Average,18,111,280,Arc3,TRUE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/383/ca881ec8-b379-ded6-80da-f5f634e64498_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-22,3,455,15-7 Average,15,221,1,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/409/dfe82b6f-71e9-77c5-f450-df568e14343b_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1626156,1627736,1629006,1629020,1629675,2021-01-22,3,446,15-7 Average,15,225,41,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000236/413/f2baa0b7-a156-b8ef-1133-7c60556adb78_960x540.mp4
