player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Solomon Hill,203524,ATL,NA,1628989,1629164,203524,203991,203992,NA,1629637,1629638,1630230,201949,202339,2021-04-02,1,641,15-7 Average,1,-220,-5,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/23/e5bf4de5-753c-c58b-5a99-73ac517b0e33_960x540.mp4
Solomon Hill,203524,ATL,NA,1628989,1629164,203524,203991,203992,NA,1628411,1629637,1629638,201949,202339,2021-04-02,1,389,15-7 Average,-4,-225,78,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/72/839b74c4-1d22-8b9c-3e6f-1cad182be423_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629164,203524,203991,203992,NA,1629637,1630184,1630230,201949,202339,2021-04-02,2,401,15-7 Average,1,186,179,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/245/43b63add-01a2-88a6-93d0-a51cb0af4266_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,101150,1628989,203524,203991,203992,NA,1628411,1629637,1629638,201949,202339,2021-04-02,2,214,15-7 Average,3,-58,243,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/302/76b4dbc9-f73e-d776-ef97-055d0266492d_960x540.mp4
Solomon Hill,203524,ATL,NA,1628989,1629164,203524,203991,203992,NA,1629637,1629638,1630230,201949,202339,2021-04-02,3,700,15-7 Average,1,124,217,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/361/5272b132-411a-5661-e778-8ab953ceed38_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629164,203524,203991,203992,James Johnson,1629637,1629638,1630230,201949,202339,2021-04-02,3,636,22-18 Very Early,3,141,201,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/372/3003ed64-b1e2-a163-4321-2f6e5d202fb3_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629164,203524,203991,203992,NA,1629637,1629638,1630230,201949,202339,2021-04-02,3,580,15-7 Average,4,-226,136,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/381/2f372750-760c-ea50-25c1-ae8c032b58ad_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629164,203524,203991,203992,NA,1629637,1629638,1630230,201949,202339,2021-04-02,3,483,22-18 Very Early,11,-210,143,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/397/6602865f-560b-bed2-86f6-95e6dcf7bbf0_960x540.mp4
Solomon Hill,203524,ATL,NA,1628989,1629164,203524,203991,203992,NA,1629637,1629638,1630230,201949,202339,2021-04-02,3,413,15-7 Average,6,-231,-8,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/409/975afb64-26c6-daf6-8f15-a0dedaa46f36_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629164,203524,203991,203992,NA,1629637,1629638,1630230,201949,202339,2021-04-02,3,318,15-7 Average,10,-131,230,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/02/0022000742/430/be7460fa-0d69-5cc2-1c9e-2e0b10123717_960x540.mp4
