player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Clint Capela,203991,ATL,NA,1628989,1629027,1629631,203991,203992,NA,1629011,1629628,203493,203901,203944,2021-01-04,1,299,15-7 Average,-6,2,6,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/86/4fded3d0-67d4-c7b2-5ecb-96607d5cd8e0_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,1629631,203991,203992,NA,1629011,1629628,203493,203901,203944,2021-01-04,1,295,15-7 Average,-6,0,0,AtRim,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/88/6ee32fe6-21bc-8d96-8639-a9aeb6ce927a_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,203524,203992,NA,1628995,203085,203493,203901,203944,2021-01-04,1,193,18-15 Early,-5,4,13,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/115/88663c4d-6cda-d41b-d83d-9126f4a62ff7_960x540.mp4
John Collins,1628381,ATL,Brandon Goodwin,1628381,1628989,1629164,1629629,203524,NA,1628995,203085,203493,203901,203944,2021-01-04,1,42,18-15 Early,-1,-2,4,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/145/5412f945-4439-ca23-fc3f-1845903f75a8_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1629027,1629629,1629631,203991,203992,NA,1629628,203085,203493,203901,203944,2021-01-04,2,373,22-18 Very Early,-4,-6,4,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/240/eaaef291-ead9-4f11-2b87-15aedca6ae24_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1628989,1629027,1629631,203991,NA,1629011,1629628,203085,203901,203944,2021-01-04,2,111,22-18 Very Early,-1,-1,7,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/290/e079d369-50d7-c055-87fb-03ad39a5d581_960x540.mp4
John Collins,1628381,ATL,De'Andre Hunter,1628381,1629027,1629629,1629631,203991,NA,1629011,1629628,203493,203901,203944,2021-01-04,3,591,15-7 Average,5,58,167,LongMidRange,TRUE,FALSE,4-6 Feet - Open,NA,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/327/ee032a27-c1ff-52bb-1ae6-a0a25b7cf794_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629164,203524,203992,NA,1628995,1629628,1630193,203085,203944,2021-01-04,3,74,15-7 Average,9,39,180,LongMidRange,FALSE,FALSE,4-6 Feet - Open,NA,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/455/95b9d702-d264-abd9-c8f4-4eb8d9a8c6ec_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1630193,202692,203457,203901,203944,2021-02-15,2,438,15-7 Average,-9,10,6,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/15/0022000422/203/b9ff6d31-fdcd-8d37-ba38-2d77674dbc70_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1629628,201959,203493,203901,203944,2021-02-15,2,298,15-7 Average,-6,-14,22,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/15/0022000422/243/0e265a32-fd60-db87-52a8-88c73bef5f59_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,1629629,203991,NA,1629628,203457,203493,203901,203944,2021-02-15,3,546,15-7 Average,4,-2,0,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/15/0022000422/352/4bbd186a-325d-04ff-ac1d-cbc2eb9809ea_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1629027,1630219,201568,203524,NA,1629628,201565,201959,202692,203944,2021-02-15,3,142,15-7 Average,-6,25,25,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/15/0022000422/440/060e07d3-0d32-21b8-2d38-94a0c0e23612_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1629628,1630193,201565,203457,203944,2021-02-15,4,354,15-7 Average,-2,-11,35,AtRim,NA,TRUE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/15/0022000422/559/b78d1f05-4a65-465f-78fd-b136627f3893_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1629628,1630193,201565,203457,203944,2021-02-15,4,181,15-7 Average,-5,-13,5,AtRim,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/15/0022000422/588/8224bb26-517f-fc47-4bd6-818494965a74_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,203991,203992,NA,1629628,203457,203493,203901,203944,2021-04-21,1,637,22-18 Very Early,-1,-3,4,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/15/9f2a9531-4fd2-f27e-10d8-d841c081f36e_960x540.mp4
John Collins,1628381,ATL,Bogdan Bogdanovic,1628381,1628989,1629027,203991,203992,NA,1629628,203457,203493,203901,203944,2021-04-21,1,432,22-18 Very Early,-3,-10,16,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/57/543a95d9-278c-64e0-4c1a-c187bd34dbfe_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1628989,1629027,203991,203992,NA,1630167,1630193,201565,203457,203493,2021-04-21,2,384,18-15 Early,0,-5,-8,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/227/3da990b8-14c4-8101-f918-1aff2422709b_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1628989,1629027,203991,203992,NA,1629628,203457,203493,203901,203944,2021-04-21,2,163,18-15 Early,-1,3,11,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/268/362a7a8b-6fd6-f259-92f0-b7613dc047f9_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629027,203524,203991,203992,Nerlens Noel,1629628,203457,203493,203901,203944,2021-04-21,3,436,15-7 Average,4,27,16,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/367/cb5207e3-b9b3-e7da-3185-3213561262b1_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628989,1629027,203524,203991,203992,NA,1629628,203493,203658,203901,203944,2021-04-21,3,348,15-7 Average,7,-123,163,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/384/56459cd9-9c27-dc33-f595-e4e7873c30d3_960x540.mp4
John Collins,1628381,ATL,NA,101150,1628381,1628989,1629164,203524,NA,1629628,1630167,1630193,201565,203658,2021-04-21,4,631,15-7 Average,6,-117,215,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/479/ad94152c-c5e9-0c73-1042-06652f1524c6_960x540.mp4
Clint Capela,203991,ATL,NA,101150,1628381,1628989,1629164,203991,NA,1630167,1630193,201565,203457,203493,2021-04-21,4,466,24-22,6,0,0,AtRim,FALSE,TRUE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/525/243ca324-0d6e-7bf3-cd8e-d66c85e66144_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629164,203991,203992,NA,1630193,201565,203457,203493,203944,2021-04-21,4,367,15-7 Average,0,-231,20,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/538/43d8160c-f793-0a60-fba8-23cd8744caad_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629164,203991,203992,NA,1630193,201565,203457,203493,203944,2021-04-21,4,227,24-22,-7,0,0,AtRim,FALSE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/574/c08d1ba5-9f03-a589-db7c-28267f6137de_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1628989,1629164,203991,203992,NA,1630193,201565,203457,203493,203944,2021-04-21,4,197,18-15 Early,-5,32,115,ShortMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/581/9f99938e-ed29-8ac1-ea04-4885c08b99c3_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1628989,1629164,203991,203992,NA,1630193,201565,203457,203493,203944,2021-04-21,4,168,18-15 Early,-5,15,151,LongMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/21/0022000886/586/040c9200-8ab1-dc8c-a79b-74819a5f3fb0_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629027,1629631,203991,203992,NA,1629011,1629628,203493,203901,203944,2021-01-04,1,265,NA,-8,232,-3,Corner3,NA,FALSE,NA,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/92/935d80f0-ccf4-009d-5e25-e6c808718b52_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629164,1629629,203524,NA,1628995,203085,203493,203901,203944,2021-01-04,1,90,NA,1,92,44,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,1 Dribble,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/04/0022000095/135/0de0ca31-e94f-c221-02f1-ec3bca7e8ccd_960x540.mp4
