player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Kevin Huerter,1628989,ATL,NA,1628989,200765,201568,203524,203991,NA,1628382,1629026,1629660,1630177,203488,2021-02-26,2,513,15-7 Average,0,-22,16,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/185/346ce8cf-d899-b0db-ad0b-97b949f7d956_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,200765,201568,203524,203991,NA,1628382,1629026,1629660,1630177,203488,2021-02-26,2,402,15-7 Average,-1,-18,102,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/203/338a6901-4dac-86b3-0e07-ce3d06cf8751_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,3,464,7-4 Late,-3,-150,222,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/333/a65060a1-0b67-01bb-5b86-a674da258d45_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,3,443,22-18 Very Early,-5,0,271,Arc3,NA,FALSE,NA,Touch 6+ Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/336/51ac7e9d-87d9-6dec-4cfc-a6558a749b9d_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,3,330,7-4 Late,-9,-230,-2,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/355/03832a64-7fca-abeb-51c8-a2d36ab0ec11_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1630219,201568,203524,NA,1628983,1629647,1629652,1629660,1629676,2021-02-26,3,224,22-18 Very Early,-15,70,255,Arc3,NA,FALSE,NA,Touch 6+ Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/379/f4d74e9d-1c2d-6793-5b1a-08bd0112b092_960x540.mp4
Skylar Mays,1630219,ATL,NA,1630219,200765,201568,203503,203991,NA,1628382,1629026,1629660,1630177,203488,2021-02-26,4,658,15-7 Average,-14,-15,-2,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/454/b71ef1f3-b0a5-0c3d-747e-8570d346f9dc_960x540.mp4
Skylar Mays,1630219,ATL,NA,1628381,1628989,1630219,203503,203524,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,4,16,15-7 Average,-11,14,0,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/614/811759b8-6dec-ec88-c1b3-f1e6ad959467_960x540.mp4
John Collins,1628381,ATL,Kevin Huerter,1628381,1628989,1629027,203503,203991,NA,1629026,1629652,1630177,1630197,201143,2021-03-18,2,331,15-7 Average,12,-47,69,ShortMidRange,TRUE,FALSE,NA,NA,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/239/d9f33a40-a2c6-7f28-b708-43c94e65a785_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,201568,203992,NA,1628983,1629652,1629676,1630197,201143,2021-03-18,2,86,15-7 Average,20,-2,4,AtRim,TRUE,FALSE,NA,NA,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/287/73e30e99-0c44-443c-783e-56715998bbb9_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628983,1629652,1629676,1630197,201143,2021-03-18,3,440,15-7 Average,21,-81,263,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/356/8b11b317-e808-83de-4cb8-9dac1c539584_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,201568,203524,203992,NA,1628983,1629652,1629676,1630197,201143,2021-03-18,3,360,15-7 Average,18,158,203,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,NA
Bruno Fernando,1628981,ATL,NA,1628981,1629164,1630168,1630219,1630233,NA,1629004,1629650,1629660,1629676,1630197,2021-03-18,4,109,15-7 Average,23,-4,42,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/591/3d793f65-959e-14ef-b69c-54b34903d1a7_960x540.mp4
Bruno Fernando,1628981,ATL,NA,1628981,1629164,1630168,1630219,1630233,Moses Brown,1629004,1629650,1629660,1629676,1630197,2021-03-18,4,84,15-7 Average,23,-11,20,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/596/4dd017c9-64fc-0a8b-4a3d-745f3184a720_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,1,706,NA,0,0,0,AtRim,FALSE,TRUE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/9/17797d0c-503f-b00e-de4e-59331c4c4ed4_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,1,672,NA,0,-6,46,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/11/393f3f4d-7543-fe92-d5a3-8be49f5940a0_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1628989,1629027,203503,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,1,647,NA,2,9,12,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/15/afaaddc5-6eeb-fb3e-53e3-e6059b51c6d1_960x540.mp4
Danilo Gallinari,201568,ATL,Kevin Huerter,1628989,200765,201568,203524,203991,NA,1628382,1629026,1629660,1630177,203488,2021-02-26,2,491,NA,0,13,33,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/189/e57236f2-9a3f-5ebb-8def-b9f8c31c176f_960x540.mp4
Danilo Gallinari,201568,ATL,Trae Young,1628381,1628989,1629027,201568,203503,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,2,128,NA,-5,13,13,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/272/bbae60b0-c563-5b79-5f76-6b8da19c6db3_960x540.mp4
Kevin Huerter,1628989,ATL,Trae Young,1628381,1628989,1629027,203503,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,3,696,NA,-11,228,43,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/297/d10d516a-a8af-6862-8fa9-0946023d6d3e_960x540.mp4
Kevin Huerter,1628989,ATL,Trae Young,1628381,1628989,1629027,203503,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,3,543,NA,-6,-225,98,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/323/830c613a-b50b-9f97-dbf3-da2c31657523_960x540.mp4
Skylar Mays,1630219,ATL,NA,1628989,1629027,1630219,201568,203524,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,3,264,NA,-13,234,24,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/368/d9b72fd9-92b2-ccff-4a42-9c11aac52b60_960x540.mp4
Skylar Mays,1630219,ATL,NA,1630219,200765,201568,203503,203991,NA,1628382,1628983,1629026,1629660,203488,2021-02-26,3,73,NA,-15,-199,205,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/427/9d323e42-68b3-7d6d-7335-33da11dfe6bb_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1630219,200765,201568,203503,203991,NA,1628382,1629026,1629660,1630177,203488,2021-02-26,4,711,NA,-16,-59,42,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/447/f178cb70-bfc7-d55b-0c23-8ac63748f4b1_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1630219,200765,201568,203503,203991,NA,1628382,1629026,1629660,1630177,203488,2021-02-26,4,558,NA,-13,-8,14,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/470/e734c684-f0df-9825-6e56-63fedf387bb3_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,203524,203991,NA,1628983,1629026,1629647,1629652,1629676,2021-02-26,4,260,NA,-11,-230,14,Corner3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/547/968e6eb2-0bc2-ae08-c13f-68a2960b58db_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,203524,203991,NA,1628983,1629647,1629652,1629676,1630177,2021-02-26,4,176,NA,-9,125,300,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/26/0022000510/568/ae910a93-c9bc-3d30-7a6d-a07d673d7f65_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,203503,203991,NA,1628983,1629652,1629676,1630197,201143,2021-03-18,2,253,NA,15,3,258,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/258/a9e3290f-ba8e-5e94-d150-6405c0f0a4b9_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,201568,203992,NA,1628983,1629652,1629676,1630197,201143,2021-03-18,2,10,NA,20,173,190,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/298/de2f2f21-92f7-1e37-dab7-bc356c1932ee_960x540.mp4
Danilo Gallinari,201568,ATL,NA,200765,201568,203524,203991,203992,NA,1628983,1629026,1629650,1629660,1630177,2021-03-18,4,672,NA,22,65,116,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,1 Dribble,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/465/22531f4f-3370-62c5-ecdb-f0c62be39c39_960x540.mp4
Danilo Gallinari,201568,ATL,Rajon Rondo,200765,201568,203524,203991,203992,NA,1628983,1629026,1629650,1629660,1630177,2021-03-18,4,636,NA,22,-35,225,LongMidRange,TRUE,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/18/0022000626/475/10e586a6-9c08-ddd1-3c6c-dcc12f34abf7_960x540.mp4
