player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
John Collins,1628381,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1628407,202329,202696,203082,203487,2021-03-03,1,527,15-7 Average,-3,62,23,ShortMidRange,NA,FALSE,4-6 Feet - Open,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/03/0022000544/37/5e12d50e-ee01-7bb6-56dc-88191356aabd_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1628407,202329,202696,203082,203487,2021-03-03,1,400,15-7 Average,-8,205,48,LongMidRange,NA,FALSE,4-6 Feet - Open,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/03/0022000544/62/dc7f676e-dd83-f385-6459-30acf2cd5bbf_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1628407,1628976,1629643,1630175,203914,2021-04-20,1,637,15-7 Average,-1,1,5,AtRim,NA,TRUE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/16/7cce296c-c52d-bfb5-8ae2-f25a4ecfa5fd_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203524,203991,NA,1628407,1628976,1629643,1630175,203914,2021-04-20,1,324,15-7 Average,-2,5,5,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/76/2e95b0e2-59a9-c367-bccc-d0d09fb8b082_960x540.mp4
Lou Williams,101150,ATL,Brandon Goodwin,101150,1629164,1630168,203524,203992,NA,1626184,1628407,1628964,1629643,1630181,2021-04-20,2,691,18-15 Early,3,-100,136,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/164/a1d85d7b-e4fe-1c32-f8e8-8ccf4392293c_960x540.mp4
Lou Williams,101150,ATL,NA,101150,1629164,1630168,203524,203992,NA,1626184,1628407,1628964,1629643,1630181,2021-04-20,2,525,18-15 Early,3,71,142,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/188/14fd627c-7afa-98e6-7d57-33f5baf6cfa1_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,101150,1628381,1629164,203991,203992,Mo Bamba,1626184,1628964,1629606,1629962,1630181,2021-04-20,2,421,15-7 Average,2,13,15,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/212/7f9d041e-600d-8c36-0102-0727221ad2bd_960x540.mp4
Bogdan Bogdanovic,203992,ATL,John Collins,101150,1628381,1629164,203991,203992,NA,1626184,1628964,1629606,1629962,1630181,2021-04-20,2,395,22-18 Very Early,4,180,187,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/218/15feb966-55eb-a1f7-d6e9-f4967ba17482_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1628976,1629606,1629962,1630175,203914,2021-04-20,2,321,15-7 Average,9,20,147,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/243/3553e621-6171-689f-1775-ae0368b55fb3_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Trae Young,1628381,1628989,1629027,203991,203992,NA,1628407,1628976,1629643,1630175,203914,2021-04-20,2,203,22-18 Very Early,14,-161,182,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/266/c11061bb-1729-caa0-88d2-fa4982930ef9_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1628407,1628976,1629643,1630175,203914,2021-04-20,3,579,15-7 Average,16,2,43,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/343/f7a226b6-e4dc-8bb1-8265-2337411d3b47_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629027,203524,203991,203992,NA,1628407,1628976,1629643,1630175,203914,2021-04-20,3,382,15-7 Average,9,-57,29,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/389/6c761d61-75be-1a90-1591-85ac9dca8f5e_960x540.mp4
Lou Williams,101150,ATL,NA,101150,1629164,1630168,203524,203992,NA,1626184,1628964,1629606,1629962,1630181,2021-04-20,3,193,15-7 Average,6,-9,120,ShortMidRange,NA,FALSE,6+ Feet - Wide Open,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/441/b067b88c-03e7-88fd-1a33-be4f5317dd84_960x540.mp4
Lou Williams,101150,ATL,NA,101150,1629164,1630168,203524,203992,NA,1626184,1628964,1629606,1629962,1630181,2021-04-20,3,58,15-7 Average,8,-126,-6,ShortMidRange,NA,FALSE,6+ Feet - Wide Open,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/462/7b03091f-d7af-cb88-0053-2d3168751fa4_960x540.mp4
John Collins,1628381,ATL,Lou Williams,101150,1628381,1628989,1629027,203524,NA,1628407,1628964,1629643,1630175,203914,2021-04-20,4,454,15-7 Average,15,-29,48,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/529/41e7f3f2-9197-290c-6397-b481bde62266_960x540.mp4
John Collins,1628381,ATL,Lou Williams,101150,1628381,1628989,1629027,203524,NA,1628976,1629643,1629962,1630175,203914,2021-04-20,4,428,15-7 Average,17,-2,7,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/544/51f8d4f3-e04f-0420-c359-466f7e1c65a6_960x540.mp4
John Collins,1628381,ATL,NA,101150,1628381,1629027,203524,203992,NA,1628976,1629643,1629962,1630175,203914,2021-04-20,4,286,15-7 Average,15,-6,4,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/20/0022000876/593/12c237ca-3adf-b154-0b6b-3ad024e8152c_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,101150,1628989,1629631,1630168,201568,NA,1626184,1628414,1629649,1629743,1630181,2021-05-13,2,678,15-7 Average,13,16,20,AtRim,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/13/0022001049/176/58927f74-ba0f-e8d3-46a4-0f9af2456cff_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,101150,1628989,1629631,1630168,201568,NA,1626184,1628414,1629649,1629743,1630181,2021-05-13,2,574,15-7 Average,5,112,98,LongMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/13/0022001049/190/0784dada-cfc1-a353-5e03-db8b2aa75ca4_960x540.mp4
Onyeka Okongwu,1630168,ATL,NA,101150,1628989,1629631,1630168,201568,NA,1626184,1628414,1629649,1629743,1630181,2021-05-13,4,597,15-7 Average,22,0,0,AtRim,NA,TRUE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/13/0022001049/497/765b8607-6038-9f05-6953-e2018fc9570b_960x540.mp4
Onyeka Okongwu,1630168,ATL,NA,101150,1628989,1629164,1630168,201568,NA,1626184,1628414,1628976,1629649,1630181,2021-05-13,4,322,15-7 Average,23,-35,44,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/13/0022001049/566/1f8c5b5a-9e53-6431-bb2b-4ece75512378_960x540.mp4
Danilo Gallinari,201568,ATL,Trae Young,1628381,1628989,1629027,201568,203503,NA,1628407,202329,202696,203082,203487,2021-03-03,1,619,NA,-4,91,251,Arc3,TRUE,FALSE,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/03/0022000544/17/d0b7a897-5f56-e49f-2105-0b55a085401d_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1628407,202329,202696,203082,203487,2021-03-03,1,440,NA,-10,44,259,Arc3,NA,FALSE,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/03/0022000544/55/30fa3e5f-08f2-5e6c-c76b-50690057f113_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,201568,203503,NA,1628407,202329,202696,203082,203487,2021-03-03,1,429,NA,-10,-14,8,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/03/0022000544/59/1d3854a4-92b6-49a1-f629-5dd752c5a087_960x540.mp4
