player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1629751,1630178,201980,203118,203954,2021-01-11,1,703,15-7 Average,0,-99,233,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/7/c1692078-7182-6d8e-8454-b3c09b8fbbec_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1629751,1630178,201980,203118,203954,2021-01-11,1,580,15-7 Average,-2,-130,223,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/28/e59ffef8-baac-056b-16ff-1358d260515c_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1629164,1629629,1629631,203991,NA,1629751,1630178,201980,203118,203954,2021-01-11,2,594,15-7 Average,-4,96,228,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/196/88636862-3f43-be42-1e4d-ab96dbd42a29_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628989,1629027,1629629,203524,203991,NA,1630178,201980,203118,203954,2730,2021-01-11,2,19,15-7 Average,17,169,194,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/345/f97a6ad4-d84d-4792-caea-c747b85f1396_960x540.mp4
Skylar Mays,1630219,ATL,NA,1628981,1629164,1630219,1630233,203503,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,174,15-7 Average,24,-6,201,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/601/3aba2be7-b889-21b5-5b5c-2e266c7987d3_960x540.mp4
Skylar Mays,1630219,ATL,NA,1628981,1629164,1630219,1630233,203503,Tony Bradley,1628396,1629751,1630194,1630198,2730,2021-01-11,4,49,15-7 Average,20,-5,9,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/622/5e6fc2d0-12f3-770e-8bdc-86bbecb7b5a5_960x540.mp4
John Collins,1628381,ATL,NA,101150,1628381,1629164,203524,203991,Tobias Harris,1627732,201980,202699,203552,203954,2021-04-28,1,541,15-7 Average,-4,25,148,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/31/b0f829c6-0119-903b-f166-386cc9ff916e_960x540.mp4
John Collins,1628381,ATL,NA,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,1,217,15-7 Average,-12,-19,23,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/93/40547b96-e12f-131a-f53b-d69072170142_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1628381,1629164,201568,203524,NA,1627788,1629680,1630178,202699,2730,2021-04-28,2,409,15-7 Average,-23,-111,244,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/226/6438165a-f1c2-012a-4966-0532e548d561_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1629164,201568,203524,203991,NA,201588,201980,202699,203552,203954,2021-04-28,2,249,15-7 Average,-23,-164,223,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/268/cf48779b-79e4-1307-cbfa-cab54f77ef53_960x540.mp4
Nathan Knight,1630233,ATL,NA,1627739,1630168,1630219,1630233,203524,Matisse Thybulle,1627788,1629003,1629680,1630178,203118,2021-04-28,4,500,15-7 Average,-28,-33,116,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/550/318a41fe-49b2-36c1-b741-e797d2350348_960x540.mp4
Nathan Knight,1630233,ATL,NA,1628981,1629164,1630168,1630219,1630233,NA,1630178,1630194,1630198,201229,203118,2021-04-28,4,76,15-7 Average,-45,-163,29,LongMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/642/15f12d80-e7fe-6c2f-4845-a0a1ad9a92fe_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1629027,203503,203524,203991,NA,1629003,1629680,202699,203552,203954,2021-04-30,2,353,15-7 Average,-4,-61,68,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/30/0022000949/263/e8df6d2c-acb4-76cb-11f0-b9c3e395f13a_960x540.mp4
John Collins,1628381,ATL,NA,101150,1628381,1629027,201568,203524,Ben Simmons,1627732,201980,202699,203552,203954,2021-04-30,2,120,15-7 Average,-14,-30,53,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/30/0022000949/318/2ee00601-582d-714f-bb08-f1f14542a455_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1629027,203503,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-30,3,664,15-7 Average,-21,-10,89,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/30/0022000949/370/4cc83086-5162-e68e-7789-4675df0bc864_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1629027,203503,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-30,3,539,15-7 Average,-24,-5,-15,AtRim,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/30/0022000949/389/cbc44ead-dc27-12cd-f56b-c3aa91087aaf_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1627739,1630168,201568,203503,NA,1627788,1629003,1629680,201588,2730,2021-04-30,4,638,15-7 Average,-18,-124,227,Arc3,FALSE,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/30/0022000949/540/c8ed4ca1-fba2-91e2-85a3-ea322b85e475_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1627739,1630168,201568,203524,NA,1627788,1629003,1629680,201588,2730,2021-04-30,4,440,15-7 Average,-23,161,218,Arc3,FALSE,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/30/0022000949/580/ef2e3115-6f9d-8441-72ad-21c6f0bd33c6_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1629751,1630178,201980,203118,203954,2021-01-11,1,602,NA,-2,-11,5,AtRim,NA,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/24/1522e821-c7c9-342d-cda5-219c2b6a83ad_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1629751,1630178,201980,203954,2730,2021-01-11,1,429,NA,-3,-7,4,AtRim,NA,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/58/b0ecbd5a-cdec-51bf-f290-2b44c06f0219_960x540.mp4
Clint Capela,203991,ATL,NA,1628989,1629164,1629629,203524,203991,Paul Reed,1629751,1630178,1630194,1630198,2730,2021-01-11,1,49,NA,-9,3,10,AtRim,NA,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/143/430c31bf-3a01-86ce-c0c5-ee834f3fd039_960x540.mp4
John Collins,1628381,ATL,Brandon Goodwin,1628381,1629164,1629629,1629631,203991,NA,1629751,1630178,201980,203118,203954,2021-01-11,2,572,NA,-4,-18,254,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/200/3373306b-2959-47c0-7b27-e216e75ba18e_960x540.mp4
Clint Capela,203991,ATL,John Collins,1628381,1629164,1629629,1629631,203991,NA,1629751,1630178,201980,203118,203954,2021-01-11,2,539,NA,-1,0,13,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/204/71c45336-6d67-ab64-9857-dca3015583ca_960x540.mp4
John Collins,1628381,ATL,De'Andre Hunter,1628381,1628981,1629027,1629629,1629631,NA,1629751,1630178,201980,203118,203954,2021-01-11,2,358,NA,3,-45,254,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/245/bdf7c67f-76cb-ecf5-2ed1-911882c78452_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1628989,1629027,203524,203991,NA,1629751,1630178,201980,203954,2730,2021-01-11,2,262,NA,5,4,10,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/281/0016a5b4-9683-5106-e268-c12b438aa4a0_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628989,1629027,1629629,203524,203991,NA,1629751,1630178,201980,203954,2730,2021-01-11,2,136,NA,9,-2,10,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/307/b916f34b-3c48-f615-8dfc-6db129549968_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628989,1629027,1629629,203524,203991,NA,1629751,1630178,201980,203954,2730,2021-01-11,2,108,NA,11,-1,10,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/311/bda79122-b051-5d58-0d03-ff28d40fad3d_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1629751,1630178,201980,203118,203954,2021-01-11,3,606,NA,19,13,22,AtRim,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/372/0265e34c-02b8-7a06-22e7-63376d47e251_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628981,1628989,1629027,1629631,NA,1628396,1629751,1630178,1630194,2730,2021-01-11,3,291,NA,24,14,120,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/443/e73df84a-aed4-8e97-3ec3-3c6cc2c5f420_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,1630233,203524,Dakota Mathias,1628396,1629751,1630194,1630198,2730,2021-01-11,4,631,NA,30,-2,46,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/504/bc74093a-b585-1168-9baf-8b83738aaec0_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,1630233,203524,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,627,NA,30,-38,45,ShortMidRange,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/507/862bc9f7-a7ac-051e-ccd1-608313287ba3_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628981,1628989,1629164,1630233,203524,Tony Bradley,1628396,1629751,1630194,1630198,2730,2021-01-11,4,577,NA,26,22,27,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/516/68704248-520f-fed4-ab1f-8fdf41955fad_960x540.mp4
Brandon Goodwin,1629164,ATL,NA,1628989,1629164,1630233,203524,203991,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,446,NA,28,-114,234,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/534/0d7c1bdc-5b6a-a43a-61c3-f23bd1d12148_960x540.mp4
Brandon Goodwin,1629164,ATL,NA,1628981,1629164,1630233,203503,203524,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,406,NA,28,-157,206,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/550/18130d4e-07bd-f705-7f01-0c74788bec47_960x540.mp4
Nathan Knight,1630233,ATL,NA,1628981,1629164,1630233,203503,203524,Paul Reed,1628396,1629751,1630194,1630198,2730,2021-01-11,4,374,NA,28,12,9,AtRim,NA,TRUE,0-2 Feet - Very Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/558/7431f7df-897c-7937-d9a0-20b300a626a4_960x540.mp4
Brandon Goodwin,1629164,ATL,NA,1628981,1629164,1630219,1630233,203503,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,243,NA,24,152,205,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/585/5b2ba60e-4e47-0ba7-6703-a5d80c57248f_960x540.mp4
Nathan Knight,1630233,ATL,NA,1628981,1629164,1630219,1630233,203503,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,203,NA,24,8,10,AtRim,NA,FALSE,0-2 Feet - Very Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/588/b87f0c22-a837-1b17-19fc-3596ef28f137_960x540.mp4
Nathan Knight,1630233,ATL,NA,1628981,1629164,1630219,1630233,203503,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,198,NA,24,0,0,AtRim,NA,TRUE,0-2 Feet - Very Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/590/36d0c951-51a7-0647-7713-0bf7f648acd3_960x540.mp4
Brandon Goodwin,1629164,ATL,Bruno Fernando,1628981,1629164,1630219,1630233,203503,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,140,NA,22,-107,231,Arc3,TRUE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/11/0022000153/605/01f82e9f-d251-649e-29cf-9fe404279cc6_960x540.mp4
Brandon Goodwin,1629164,ATL,Skylar Mays,1628981,1629164,1630219,1630233,203503,NA,1628396,1629751,1630194,1630198,2730,2021-01-11,4,47,NA,20,228,53,Corner3,TRUE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,NA
Solomon Hill,203524,ATL,NA,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,1,640,NA,-1,-182,201,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/16/5bf74a8b-fcb8-6280-302b-70ae88eaa6ea_960x540.mp4
Brandon Goodwin,1629164,ATL,NA,101150,1628381,1629164,203524,203991,Joel Embiid,1627732,201980,202699,203552,203954,2021-04-28,1,508,NA,-4,19,190,LongMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/41/ea36a3ca-d059-865e-5d62-08acea82967e_960x540.mp4
John Collins,1628381,ATL,Lou Williams,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,1,489,NA,-6,-183,60,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/46/a479590b-a9ba-3b3e-fbec-1861bd20983f_960x540.mp4
Solomon Hill,203524,ATL,NA,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,1,452,NA,-6,-230,43,Corner3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/49/327f35cf-1f15-69dc-19cc-4a6b9a944581_960x540.mp4
John Collins,1628381,ATL,Solomon Hill,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,1,406,NA,-4,-38,74,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/63/7decda4f-2f36-9525-c6ee-96be9c1c9249_960x540.mp4
John Collins,1628381,ATL,Solomon Hill,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,1,243,NA,-14,81,185,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/90/f6973bdd-39b5-48d2-51e2-334b6bfa8cd7_960x540.mp4
Brandon Goodwin,1629164,ATL,NA,1627739,1629164,201568,203524,203991,NA,1627732,201588,201980,203552,203954,2021-04-28,1,186,NA,-12,-16,133,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/107/43a2ca36-6ede-4e9f-0cbe-b9950af5c679_960x540.mp4
Kris Dunn,1627739,ATL,NA,1627739,1630168,1630219,201568,203524,NA,1627788,1629003,1629680,201588,2730,2021-04-28,1,65,NA,-18,-9,134,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/143/c8d22145-779f-a712-c21b-11c8fb045d13_960x540.mp4
Kris Dunn,1627739,ATL,NA,1627739,1630168,1630219,201568,203524,NA,1627788,1629003,1629680,201588,2730,2021-04-28,1,3,NA,-20,16,33,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/153/162f9002-ace3-d761-0039-b74bc1e74791_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1627739,1628381,1630219,201568,NA,1627788,1629003,1629680,201588,2730,2021-04-28,2,692,NA,-20,89,96,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/163/10ba4ec4-758a-264c-13bd-5ab9b2a496d6_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1627739,1628381,1630219,201568,NA,1627788,1629680,1630178,201588,2730,2021-04-28,2,606,NA,-21,-11,42,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/181/6e49da0d-0454-354a-02d5-1a209ddcdbed_960x540.mp4
Danilo Gallinari,201568,ATL,NA,101150,1627739,1628381,1630219,201568,Matisse Thybulle,1627788,1629680,1630178,201588,2730,2021-04-28,2,538,NA,-20,-168,86,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/197/3f639065-aee4-0ead-e6b6-79ca6aa0a139_960x540.mp4
Solomon Hill,203524,ATL,NA,101150,1628381,1629164,203524,203991,Joel Embiid,1627732,201980,202699,203552,203954,2021-04-28,3,676,NA,-26,13,40,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/327/001ee010-57d4-9e3a-0538-8356263e34a7_960x540.mp4
Clint Capela,203991,ATL,John Collins,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,3,664,NA,-26,-8,20,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/333/56221f63-560a-67d5-93c4-1d8189ccc5e6_960x540.mp4
Solomon Hill,203524,ATL,NA,101150,1628381,1629164,203524,203991,NA,1627732,201980,202699,203552,203954,2021-04-28,3,582,NA,-26,20,179,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/28/0022000934/348/c0b1979f-4ba8-a11f-efaf-a593792d1055_960x540.mp4
