player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Clint Capela,203991,ATL,NA,1628381,1629027,203503,203991,203992,NA,101108,1626164,1628969,1629028,203109,2021-03-30,1,700,15-7 Average,0,-11,35,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/7/32da08db-a557-e87a-979d-5c91074e5d82_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1629027,203503,203991,203992,NA,101108,1626164,1628969,1629028,203109,2021-03-30,1,466,15-7 Average,-8,12,66,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/52/3cb0dc51-4a41-8124-cadc-dff5f4721c27_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,203503,203991,203992,NA,101108,1626164,1628969,1629028,203109,2021-03-30,1,262,18-15 Early,-3,-70,126,LongMidRange,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/82/2d137650-aa62-aadd-8a1f-444f8ceb2fee_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,201568,203524,NA,1626164,1626166,1628470,1629661,203967,2021-03-30,1,182,18-15 Early,-4,85,50,ShortMidRange,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/113/13975d1e-e5ae-81c2-524a-eacf84270686_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629164,1630168,201568,203524,NA,1626166,1628470,1629661,203967,204038,2021-03-30,2,674,15-7 Average,-5,-29,13,AtRim,NA,FALSE,2-4 Feet - Tight,NA,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/169/e7bb4ae1-135b-d019-52df-0ce25d42d9ab_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629164,1630168,201568,203524,NA,1626166,1628470,1629661,203967,204038,2021-03-30,2,600,15-7 Average,-8,-25,109,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/178/0f226f04-112d-58db-bb17-85f99807b6b5_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1628989,1629164,1630168,201568,203524,NA,1626166,1628470,1629661,203967,204038,2021-03-30,2,566,15-7 Average,-10,127,236,Arc3,NA,FALSE,4-6 Feet - Open,NA,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/181/792d84da-010f-a1a2-7a63-6bf793134299_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1629027,201568,203503,203991,203992,NA,101108,1626164,1628969,1629028,203109,2021-03-30,2,145,15-7 Average,-12,230,41,Corner3,NA,FALSE,4-6 Feet - Open,NA,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/287/02548539-9673-83a1-8cb3-e41089d361fd_960x540.mp4
Clint Capela,203991,ATL,Bogdan Bogdanovic,1628989,1629027,203524,203991,203992,NA,101108,1626164,1628969,1629028,203109,2021-03-30,4,243,15-7 Average,-4,3,15,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/571/de63d735-5ab3-a10c-ff7e-638dd233ce59_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628989,1629027,203524,203991,203992,NA,101108,1626164,1628969,1629028,203109,2021-03-30,4,185,15-7 Average,-2,4,25,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/30/0022000171/582/cc6b49b0-2910-569b-0ba8-fbb157d75897_960x540.mp4
