player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1627884,202683,203081,203468,203496,2021-01-16,1,640,18-15 Early,-3,-14,63,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/12/6ee40a61-23ae-cb3a-d3f6-417560a68a96_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203524,NA,1627884,203081,203468,203496,2546,2021-01-16,1,329,18-15 Early,-5,-14,5,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/80/3bfcb79d-fcee-8661-dbef-a41562f9f0e0_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203524,NA,1627884,203081,203468,203496,2546,2021-01-16,1,254,18-15 Early,-5,116,241,Arc3,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/91/bec11b5d-fb54-38b7-59a5-a7a254f9e9fb_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629164,203503,203524,203991,NA,1628385,1629018,203081,203918,2546,2021-01-16,1,125,18-15 Early,0,-233,115,Arc3,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/130/de57c809-7919-f0f1-0820-d2ce91312d05_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629164,203503,203524,203991,NA,1628385,1629018,203081,203918,2546,2021-01-16,1,108,18-15 Early,0,-5,71,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/134/ce3e1edb-a37a-8ff0-b8e1-1b362e243b68_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629164,203503,203524,203991,NA,1628385,1629018,203081,203918,2546,2021-01-16,1,30,18-15 Early,2,9,14,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/149/69e5dee9-bfc5-9518-233c-b0b0558bf3ea_960x540.mp4
Brandon Goodwin,1629164,ATL,Rajon Rondo,1628381,1628989,1629164,1629631,200765,NA,1629018,203468,203496,203918,2546,2021-01-16,2,519,15-7 Average,9,-5,26,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/204/346d6b2c-36d1-1359-14ea-bcfb66eab937_960x540.mp4
Brandon Goodwin,1629164,ATL,Kevin Huerter,1628381,1628989,1629164,1629631,200765,NA,1629018,203468,203496,203918,2546,2021-01-16,2,487,15-7 Average,11,14,15,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/209/f65e28c2-e9f0-5283-171a-feda99841e59_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1629631,203524,203991,NA,1627884,1629018,202683,203081,203496,2021-01-16,2,303,15-7 Average,11,45,52,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/262/72fb36d6-22f2-ea31-a5bd-4f3161e2a236_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203524,Enes Kanter,1627884,202683,203081,203468,203496,2021-01-16,2,95,15-7 Average,5,3,24,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/338/fbe1ff3c-7bd0-8c86-3710-5570d10198b9_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1627884,1629014,202683,203081,203496,2021-01-16,3,642,15-7 Average,7,21,29,AtRim,NA,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/364/3760b443-5930-8f07-184e-8b1b020ff593_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629631,203524,Enes Kanter,1627884,1629014,202683,203081,203496,2021-01-16,3,342,15-7 Average,7,3,90,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/419/e5d73f53-1b9e-6973-90b9-063fced72330_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629631,203524,NA,1627884,1629014,202683,203081,203496,2021-01-16,3,310,15-7 Average,5,-67,132,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/425/5cdbc2c4-7eb2-43f1-5767-73c623a63924_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1629164,203503,203524,203991,NA,1628385,1629018,203081,203918,2546,2021-01-16,3,157,15-7 Average,6,27,8,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/16/0022000195/473/98698d7a-cc05-3599-d3d2-a957221ea40d_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Trae Young,1628381,1629027,203503,203991,203992,NA,1626181,203081,203468,203496,203994,2021-05-03,1,534,15-7 Average,-4,-89,235,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/03/0022000978/34/321e7388-4d82-f09e-e4ae-51657a269809_960x540.mp4
Tony Snell,203503,ATL,Trae Young,1628381,1629027,203503,203991,203992,NA,1626181,203081,203468,203496,203994,2021-05-03,1,501,18-15 Early,-3,228,-10,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/03/0022000978/40/6426d3a3-c64b-0eff-cf71-b6cd0b58a75d_960x540.mp4
Bogdan Bogdanovic,203992,ATL,John Collins,1628381,1629027,203503,203991,203992,NA,1626181,203081,203468,203496,203994,2021-05-03,1,404,15-7 Average,-4,112,222,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/03/0022000978/56/431ad68b-aabb-aefe-6d7a-a93dce81c43a_960x540.mp4
