player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Bogdan Bogdanovic,203992,ATL,NA,1628381,1629027,203503,203991,203992,NA,1626158,1627741,1628368,1628963,203084,2021-03-13,1,356,15-7 Average,-11,3,257,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/70/c11a11b4-c88c-cf91-9d13-ef97f2cc9302_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1629027,1630168,201568,203524,203992,NA,1626158,1628368,1630169,202357,202709,2021-03-13,1,176,15-7 Average,-10,-5,257,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/117/3f3a9a1f-3804-7046-78cc-5551d5a687c0_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1629027,1630168,201568,203524,203992,NA,1626158,1628368,1630169,202357,202709,2021-03-13,1,135,15-7 Average,-10,-171,100,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/123/6d857ee0-3486-c4c2-03d4-9f429eb2c1ee_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1630168,200765,201568,203524,203992,NA,1628368,1628963,1630169,202357,202709,2021-03-13,1,91,15-7 Average,-9,85,130,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/135/a3e45378-c030-87c5-e9e8-509ad6829f1b_960x540.mp4
Bogdan Bogdanovic,203992,ATL,NA,1630168,200765,201568,203524,203992,NA,1628368,1628963,1630169,202357,202709,2021-03-13,1,63,15-7 Average,-9,105,233,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/139/a36bebdc-d85e-2590-8410-c19e58445f30_960x540.mp4
Rajon Rondo,200765,ATL,NA,1628381,1628989,200765,201568,203503,NA,1626158,1627741,1628368,1628963,1630169,2021-03-13,2,387,15-7 Average,5,-17,262,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/226/ad9f9101-800a-ab60-99ec-95ab7a3f6242_960x540.mp4
Rajon Rondo,200765,ATL,NA,1628381,1628989,200765,201568,203503,NA,1626158,1627741,1628368,1628963,1630169,2021-03-13,2,380,15-7 Average,5,-51,249,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/228/4cd1a1ab-86cc-439e-d10f-f77bdc3abb08_960x540.mp4
Tony Snell,203503,ATL,Clint Capela,1628381,1628989,1629027,203503,203991,NA,1626158,1627741,1628368,1628963,203084,2021-03-13,3,431,4-0 Very Late,9,-2,5,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/395/ae9833f9-63b5-232f-a213-d577a2bc4da0_960x540.mp4
Tony Snell,203503,ATL,Kevin Huerter,1628381,1628989,1629027,203503,203991,NA,1626158,1627741,1628368,1628963,203084,2021-03-13,3,337,4-0 Very Late,15,-64,83,ShortMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/409/19640f55-048f-e2aa-b920-315a4b831ec3_960x540.mp4
Danilo Gallinari,201568,ATL,Kevin Huerter,1628381,1628989,1629027,201568,203503,NA,1627741,1628368,1628963,1630169,202357,2021-03-13,3,290,15-7 Average,17,-6,4,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/13/0022000590/424/5bdccdaa-bc33-4fca-5ee4-7f8013264870_960x540.mp4
