player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Kevin Huerter,1628989,ATL,NA,1628989,1629164,201568,203524,203991,NA,1627749,1628401,1629234,200752,201988,2021-02-12,2,574,15-7 Average,-6,107,106,LongMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/202/3ba3fcc3-8c16-ec2c-ac92-459d2342ee8a_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627749,1627751,1629640,1630170,201942,2021-02-12,2,210,15-7 Average,-17,-52,64,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/285/4f1e9d1d-9c2a-4abe-fd79-4c3c41bd3106_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627749,1627751,1628401,1629640,201942,2021-02-12,3,589,18-15 Early,-36,144,212,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/385/e5faef06-7e5c-f945-50c9-85749980e047_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203524,203991,NA,1627749,1627751,1629640,201942,201988,2021-02-12,3,353,18-15 Early,-37,44,259,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/426/5ccc4f6e-a995-f36d-cdec-9241fb867360_960x540.mp4
Nathan Knight,1630233,ATL,Skylar Mays,1628981,1629164,1630168,1630219,1630233,NA,1626168,1628966,1629022,1629234,1629683,2021-02-12,4,179,15-7 Average,-22,-17,39,ShortMidRange,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/630/a30a19a4-deb3-ec7c-0729-036192e94879_960x540.mp4
Nathan Knight,1630233,ATL,Skylar Mays,1628981,1629164,1630168,1630219,1630233,NA,1626168,1628966,1629022,1629234,1629640,2021-02-12,4,56,15-7 Average,-17,0,7,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/659/e3a25688-68e5-3ec5-9b12-2a6cfcea5ce4_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,203503,203524,203991,203992,NA,1627749,1627751,1628401,1629640,201942,2021-04-01,1,700,15-7 Average,0,-144,3,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/01/0022000735/7/21e37ea8-8970-cf3e-3f18-f7f8e1819420_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,203503,203524,203991,203992,NA,1627749,1627751,1628401,1629640,201942,2021-04-01,1,480,15-7 Average,0,43,62,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/01/0022000735/44/b3e6e43d-5afe-47d0-155e-7fbc50a4b37c_960x540.mp4
Clint Capela,203991,ATL,NA,101150,201568,203524,203991,203992,NA,1627749,1627751,1628401,1629640,201942,2021-04-01,2,467,15-7 Average,6,20,17,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/01/0022000735/219/dc9df81e-e8a7-e987-4954-4dea7498808d_960x540.mp4
Clint Capela,203991,ATL,NA,1629027,203503,203524,203991,203992,NA,1627751,1628401,1629640,201942,201988,2021-04-01,2,98,15-7 Average,8,-6,35,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/01/0022000735/289/0f76d212-e6d9-7301-7c87-50476978a581_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1627749,1627751,1628401,1629640,201942,2021-02-12,1,476,NA,-7,-223,19,Corner3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/45/74a41091-ce33-f544-ca0c-d6502b533910_960x540.mp4
Trae Young,1629027,ATL,NA,1629027,1630168,201568,203503,203524,NA,1629022,1629234,200752,201942,201988,2021-02-12,1,214,NA,-6,-53,264,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/121/82a9a7e1-f6f3-cd8b-6c61-a0be15a9f0d9_960x540.mp4
Skylar Mays,1630219,ATL,Brandon Goodwin,1629164,1630168,1630219,1630233,203503,NA,1629022,1629234,1629683,1630170,200752,2021-02-12,4,550,NA,-35,-229,-27,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/533/c2846f1f-a2b8-37c4-d2b4-77e533747700_960x540.mp4
Skylar Mays,1630219,ATL,Tony Snell,1629164,1630168,1630219,1630233,203503,NA,1626168,1629022,1629234,1629683,200752,2021-02-12,4,510,NA,-34,220,130,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/542/963dc3b0-68a9-6c8e-b5a9-09d5432e320f_960x540.mp4
Skylar Mays,1630219,ATL,Brandon Goodwin,1628981,1629164,1630168,1630219,1630233,NA,1626168,1628966,1629022,1629234,1629640,2021-02-12,4,110,NA,-18,-163,204,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/12/0022000397/649/e9b15555-727b-014f-0d6d-4f6f1301694c_960x540.mp4
Bogdan Bogdanovic,203992,ATL,Trae Young,1629027,203503,203524,203991,203992,NA,1627749,1627751,1628401,1629640,201942,2021-04-01,1,585,NA,1,-67,126,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/01/0022000735/24/66ff99f8-9f88-d6d9-154b-b746538f52ba_960x540.mp4
