player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,694,4-0 Very Late,0,-43,105,ShortMidRange,NA,FALSE,0-2 Feet - Very Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/7/a68846d2-1320-8a38-17e0-bfbfe130cf03_960x540.mp4
John Collins,1628381,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,666,18-15 Early,0,-29,258,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/13/a2c47783-ed88-9800-e179-62acda118865_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,652,22-18 Very Early,0,11,5,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/17/8d12057e-e621-7644-3ccd-a870631f01b0_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,624,18-15 Early,0,32,189,LongMidRange,NA,FALSE,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/20/f53ca8a6-5f7d-56c7-a776-c33eb6d3c24b_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,590,18-15 Early,0,0,132,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/27/cc634d66-ee79-ccd3-1c7b-f4b8fbba6a68_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,554,4-0 Very Late,0,33,157,LongMidRange,FALSE,FALSE,0-2 Feet - Very Tight,Touch 6+ Seconds,2 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/33/4316ed3a-f2d3-8a94-b443-83c8f93c0af9_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,525,18-15 Early,0,-139,222,Arc3,TRUE,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/40/7e39a024-c5d6-1d65-096c-dd2eb6aae84e_960x540.mp4
John Collins,1628381,ATL,Trae Young,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,495,15-7 Average,0,-115,228,Arc3,TRUE,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/44/a7e0e804-316d-af2c-10e4-663e14689fe1_960x540.mp4
Clint Capela,203991,ATL,John Collins,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,447,18-15 Early,1,6,11,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/54/b3265efa-ade4-08ae-cac6-c94bc6c41b04_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,432,22-18 Very Early,1,-46,92,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/57/91c9c836-7f17-1615-8b27-4e7003c8825b_960x540.mp4
Cam Reddish,1629629,ATL,John Collins,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,411,15-7 Average,1,146,206,Arc3,TRUE,FALSE,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/61/34fa36a9-70fc-9645-e977-40633e830def_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,389,15-7 Average,2,53,100,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/64/98f9b129-9bf1-d823-072d-e6f98baf84ee_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1626181,1627783,1627832,200768,203382,2021-02-06,1,384,15-7 Average,2,-12,33,AtRim,FALSE,TRUE,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/02/06/0022000356/66/38ad72ab-bdc9-6012-10a5-ffa4544a085b_960x540.mp4
