player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1626220,1628378,201144,202711,203497,2021-01-15,1,580,15-7 Average,-5,-82,68,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/21/e348ad25-622f-4561-a95e-205264aec61a_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,1629631,203991,Rudy Gobert,1626220,1628378,202711,203497,203903,2021-01-15,1,421,15-7 Average,-13,33,20,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/54/da255d21-0ecd-366f-df0d-86fcdb9d39ab_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1630168,203524,NA,1626220,1628378,202324,202711,203903,2021-01-15,1,293,15-7 Average,-4,-25,56,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/94/d2264a92-b0f5-4649-4134-92e8d979c820_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629629,200765,203524,203991,NA,1626220,1627777,1628378,202324,203903,2021-01-15,1,187,15-7 Average,-8,34,30,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/124/92ff466e-8db8-e75d-4056-fdb33c75bb61_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629629,200765,203524,203991,NA,1627777,1629671,201144,203497,203903,2021-01-15,1,99,15-7 Average,-8,-11,58,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/142/9ba39a33-b500-1eb4-7e99-169c6492f473_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628989,1629631,200765,203524,203991,NA,1627777,1629671,201144,203497,203903,2021-01-15,1,10,15-7 Average,-10,-25,93,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/163/fc0580c2-8758-6182-948b-3e4e5ed66f24_960x540.mp4
Clint Capela,203991,ATL,Kevin Huerter,1628381,1628989,1629027,1629631,203991,NA,1626220,1628378,201144,202711,203497,2021-01-15,2,141,15-7 Average,-12,17,59,ShortMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/288/b4132223-400e-c0fb-4243-85de0f19e4c8_960x540.mp4
Clint Capela,203991,ATL,Rajon Rondo,1628381,1628989,1629631,200765,203991,NA,1626220,1628378,201144,202711,203497,2021-01-15,2,99,15-7 Average,-12,-15,31,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/301/224ec4c7-2945-4233-42ca-e02e8fd0830d_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1629027,1629629,1629631,203991,NA,1626220,1628378,201144,202711,203497,2021-01-15,3,518,15-7 Average,-4,138,-1,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/375/0aa2c7ad-63b8-05a8-1f26-38d8ff0b2827_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629027,1629629,1629631,NA,1626220,1628378,202324,202711,203903,2021-01-15,3,414,15-7 Average,-8,47,110,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/15/0022000186/401/37f1f3d5-d546-dbc5-6000-82ad4c09747c_960x540.mp4
