player,playerid,team,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
De'Andre Hunter,1629631,ATL,NA,1628381,1628989,1629027,1629631,203991,NA,1629010,1629060,201566,201577,203078,2021-01-29,1,483,15-7 Average,2,27,-14,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/47/3836f79b-f9c3-1a32-2bf6-bc602d91107d_960x540.mp4
De'Andre Hunter,1629631,ATL,NA,1628381,1629027,1629629,1629631,201568,NA,1629010,201577,202722,203078,203526,2021-01-29,1,326,15-7 Average,2,-63,38,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/93/b9b2ed4c-70ba-abdf-d6aa-39d778c698df_960x540.mp4
Cam Reddish,1629629,ATL,NA,1628381,1629027,1629629,1629631,201568,Jerome Robinson,1629010,201577,202722,203078,203526,2021-01-29,1,288,15-7 Average,2,232,4,Corner3,NA,FALSE,NA,NA,0 Dribbles,3,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/98/7f8c1029-4f65-2e4c-d695-4f45e2ceee63_960x540.mp4
Cam Reddish,1629629,ATL,NA,1629027,1629629,1629631,1630168,201568,NA,1629010,1629726,202722,203458,203526,2021-01-29,1,138,15-7 Average,1,-171,216,Arc3,NA,FALSE,NA,NA,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/136/cbefcf15-8132-90bb-2403-16c81ba39582_960x540.mp4
Clint Capela,203991,ATL,Kevin Huerter,1628381,1628989,1629027,1629629,203991,NA,1629060,201566,201577,203078,203526,2021-01-29,2,301,15-7 Average,7,3,52,ShortMidRange,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/269/a9afc7e8-d516-2d1b-3ed0-7b7d1a86f142_960x540.mp4
Clint Capela,203991,ATL,Trae Young,1628381,1628989,1629027,1629629,203991,NA,1629067,201566,201577,202722,203078,2021-01-29,2,103,15-7 Average,7,16,20,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch < 2 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/310/5088ad3a-5835-525d-eb03-038ae84e2281_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1630168,200765,201568,203503,203524,NA,1629726,201566,202722,203458,203526,2021-01-29,3,74,4-0 Very Late,20,-116,171,LongMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/521/0ad6a50f-1a05-7340-6e8e-972fe68df0d2_960x540.mp4
Danilo Gallinari,201568,ATL,NA,1630168,200765,201568,203503,203524,NA,1629726,201566,202722,203458,203526,2021-01-29,3,4,4-0 Very Late,18,-150,106,LongMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/539/58fbf532-e3bd-1aa3-c491-d53c4e953e22_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629629,200765,203991,NA,1629010,1629021,1629060,1629067,1629726,2021-01-29,4,601,15-7 Average,18,-207,164,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/596/75effef4-9d0b-dc25-4002-f80e05cf9e29_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,201568,NA,1629010,1629021,1629060,1629726,203078,2021-01-29,4,437,15-7 Average,15,215,158,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/642/d616351d-6c6d-0bf9-645e-d4836d4100ef_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1629027,1629629,201568,203524,NA,1629010,1629021,1629060,1629726,203078,2021-01-29,4,353,7-4 Late,16,-228,132,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/661/6330cbe5-1c67-38b9-e414-552066a470b2_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1629629,203524,203991,NA,1629010,1629021,1629060,202722,203078,2021-01-29,4,293,15-7 Average,10,-111,258,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/691/7965eb40-911c-71f8-22ca-390f79e1272d_960x540.mp4
Trae Young,1629027,ATL,NA,1628989,1629027,1629629,203524,203991,NA,1629010,1629021,1629060,202722,203078,2021-01-29,4,264,15-7 Average,11,-59,283,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/696/845c8acc-dc04-8cb9-da5f-da274fc955f2_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,1629629,203991,NA,1629010,1629021,1629067,202722,203078,2021-01-29,4,162,15-7 Average,14,60,271,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/712/db9ee489-1d47-55aa-ebe9-db47ec9ab0d5_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,1629629,1630168,NA,1629021,1629067,1630216,1630264,202722,2021-01-29,4,78,7-4 Late,16,-24,346,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/29/0022000290/738/5c09ee9d-40ae-7040-dc37-c72d788b942a_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1629060,1629726,201566,203458,203526,2021-05-10,1,672,15-7 Average,0,-17,49,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/10/61a88aaa-1c80-6083-7807-de85a1c4309b_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1629060,1629726,201566,203458,203526,2021-05-10,1,551,18-15 Early,4,-7,109,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/26/469c1f15-1833-b953-dcd9-e1e05f2bdd30_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203991,203992,Alex Len,1629060,1629726,201566,203458,203526,2021-05-10,1,514,18-15 Early,3,77,109,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/109/704cd126-b468-8498-b0e5-c0f6b523b6f6_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1629060,1629726,201566,203458,203526,2021-05-10,1,440,15-7 Average,3,-39,71,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/44/afaa4b1d-c9c2-a1f1-1ac0-522e2bac9ea8_960x540.mp4
Kevin Huerter,1628989,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1629060,1629726,201566,203458,203526,2021-05-10,1,368,18-15 Early,2,11,65,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/61/f9e59628-c28f-a8d4-836b-20b81dbcc19b_960x540.mp4
Kevin Huerter,1628989,ATL,NA,101150,1628989,1629631,1630168,201568,NA,1628990,201566,201577,202397,202722,2021-05-10,1,132,18-15 Early,3,95,80,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/125/abca2fd0-a664-e24a-c1c4-40cdece95ecd_960x540.mp4
Clint Capela,203991,ATL,Danilo Gallinari,101150,1628989,1629631,201568,203991,NA,1628990,201566,201577,202397,202722,2021-05-10,2,696,15-7 Average,2,5,8,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/160/afb65827-ac2d-ef66-b257-529392803d5c_960x540.mp4
Clint Capela,203991,ATL,NA,101150,201568,203524,203991,203992,Daniel Gafford,1628990,1629060,1629655,202397,202722,2021-05-10,2,470,15-7 Average,0,10,20,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/203/8e76541a-cf5b-9abf-670c-b934c9cbd5e2_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1628990,1629060,1629655,201566,203526,2021-05-10,2,110,15-7 Average,-4,-7,5,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/292/caf230a7-45e3-e8b0-4f7a-7dcb1a0e0e02_960x540.mp4
Clint Capela,203991,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1629060,1629655,201566,202722,203526,2021-05-10,2,41,15-7 Average,-3,3,28,AtRim,FALSE,TRUE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/312/f010b2ab-1a6e-c89a-4859-da4d97517585_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1629060,1629726,201566,203458,203526,2021-05-10,3,497,15-7 Average,0,-3,103,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/377/e77caefc-591b-3396-8079-a10487105619_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1629060,1629726,201566,203458,203526,2021-05-10,3,474,15-7 Average,2,20,61,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/380/e3f391a3-78a9-699c-24ef-5bcaad9fa7d2_960x540.mp4
Trae Young,1629027,ATL,NA,1628381,1628989,1629027,203991,203992,NA,1628990,201577,202397,202722,203526,2021-05-10,3,307,15-7 Average,7,-179,115,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/10/0022001026/416/61dff81a-8785-aa8e-e1d4-42ee84a09125_960x540.mp4
