player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Bogdan Bogdanovic,203992,NA,1628989,1629027,201568,203524,203992,CHI,NA,1627853,1628976,1629632,1630172,203490,2020-12-23,1,277,15-7 Average,11,-120,233,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/111/5ce4d596-1105-d852-cea8-46326e048847_960x540.mp4
Bogdan Bogdanovic,203992,NA,1628981,1628989,1629631,203524,203992,CHI,NA,1627853,1628374,1628990,1629690,203490,2020-12-23,1,39,15-7 Average,13,79,253,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/163/f7d52d27-125a-9e5a-e99b-3b54666ac257_960x540.mp4
Kevin Huerter,1628989,NA,1628981,1628989,1629164,203524,203992,CHI,NA,1628374,1629632,1629655,1629690,1630172,2020-12-23,3,331,15-7 Average,34,236,92,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/467/4adb3177-83b9-c34b-fe91-0416f65b2b66_960x540.mp4
Kevin Huerter,1628989,NA,1628981,1628989,1629164,203524,203992,CHI,NA,1628374,1628990,1629655,203490,203897,2020-12-23,3,75,15-7 Average,35,89,243,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/526/1d8b2910-8583-5c7b-7e27-c4b1a795e1d9_960x540.mp4
Cam Reddish,1629629,NA,1628381,1629027,1629629,1629631,203992,MEM,NA,1628415,1628960,1629630,202685,203937,2020-12-26,1,682,15-7 Average,0,185,54,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/11/da4adede-9fab-46cf-9455-7dd30fe74d26_960x540.mp4
Cam Reddish,1629629,NA,1628981,1628989,1629027,1629629,203524,MEM,NA,1626145,1629630,1630217,202685,203937,2020-12-26,1,278,15-7 Average,-8,-185,64,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/94/a5b58ded-4318-6e85-dac8-bfa652ebe47f_960x540.mp4
Trae Young,1629027,NA,1629027,1629629,1630233,203524,203992,MEM,NA,1626145,1628415,1628960,202685,203937,2020-12-26,2,532,15-7 Average,7,20,5,AtRim,NA,FALSE,NA,NA,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/210/6960b60b-e605-f63d-2810-eb62cf6c3aab_960x540.mp4
Trae Young,1629027,NA,1628381,1628989,1629027,1629629,1629631,MEM,NA,1629630,1629723,1630217,203476,203937,2020-12-26,2,292,15-7 Average,1,0,20,AtRim,NA,FALSE,NA,NA,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/289/cd6d9239-3e6d-9270-ac02-454d77e8b40f_960x540.mp4
Solomon Hill,203524,NA,1628989,1629164,1630233,203524,203992,MEM,NA,1626145,1628415,1629634,1629723,1630217,2020-12-26,3,119,4-0 Very Late,2,3,69,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/503/57988faa-2496-120c-04ce-0ad078410be9_960x540.mp4
Solomon Hill,203524,NA,1628989,1629164,1630233,203524,203992,MEM,NA,1626145,1628415,1629634,1629723,1630217,2020-12-26,3,116,4-0 Very Late,2,0,0,AtRim,NA,TRUE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/505/6f7cd6bb-f470-cb5c-f005-160db58d4c15_960x540.mp4
