player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Kyrie Irving,202681,NA,201142,201599,201935,202681,203925,MIA,NA,1628389,1629130,201609,203090,203482,2021-01-23,1,587,18-15 Early,7,5,6,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/27/02f466c5-79b4-604b-7f13-7c0eaf23b64e_960x540.mp4
Kyrie Irving,202681,James Harden,201142,201599,201935,202681,203925,MIA,NA,1628389,1629130,201609,203090,203482,2021-01-23,1,357,18-15 Early,6,-11,55,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/68/28114a64-18f7-965c-a2b6-394852fbd703_960x540.mp4
Kyrie Irving,202681,NA,201142,201599,201935,202681,203925,MIA,NA,1628389,1629130,1629644,201609,203482,2021-01-23,3,670,18-15 Early,8,-102,1,ShortMidRange,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/377/1ca56891-4f94-7510-1e0d-fba2fb42eb72_960x540.mp4
Kyrie Irving,202681,NA,1628971,201142,201599,202681,203925,MIA,NA,1628389,1629134,1629644,201609,203482,2021-01-23,3,325,18-15 Early,9,72,120,LongMidRange,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/442/a94f4359-8a4f-a3a5-731c-56096b19fdf6_960x540.mp4
Kevin Durant,201142,NA,201142,201145,201935,202681,203925,MIA,NA,1628389,1629130,1629134,201609,2738,2021-01-23,4,407,22-18 Very Early,5,-31,16,AtRim,NA,FALSE,4-6 Feet - Open,NA,1 Dribble,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/598/07781bd5-d8f3-7330-5db4-f598e8e27f52_960x540.mp4
Kyrie Irving,202681,Kevin Durant,201142,201145,201935,202681,203925,MIA,NA,1628389,1629130,1629134,201609,2738,2021-01-23,4,378,15-7 Average,2,-24,106,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/602/70fc2c67-27eb-7428-c6fa-7e180ab3b739_960x540.mp4
Kevin Durant,201142,NA,201142,201145,201935,202681,203925,MIA,NA,1628389,1629130,1629134,201609,2738,2021-01-23,4,279,22-18 Very Early,5,136,134,LongMidRange,NA,FALSE,4-6 Feet - Open,NA,1 Dribble,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/611/de3b1b3c-3b1f-7651-1ed7-be8a958508b9_960x540.mp4
Kyrie Irving,202681,NA,201142,201145,201935,202681,203925,MIA,NA,1628389,1629130,1629134,201609,2738,2021-01-23,4,161,15-7 Average,1,-58,21,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/630/c7da5f25-5861-7ede-61b1-7ba128fde143_960x540.mp4
Kyrie Irving,202681,NA,201142,201145,201935,202681,203925,MIA,NA,1628389,1629130,1629134,201609,2738,2021-01-23,4,51,15-7 Average,6,18,-7,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/645/53e205ec-7080-3f19-64c8-c061e8265260_960x540.mp4
Joe Harris,203925,NA,201142,201599,202681,203915,203925,CHA,NA,1626179,1628984,1629023,202330,202687,2020-12-27,1,651,15-7 Average,-1,-43,261,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000032/17/3449a9e5-201b-e13b-5e02-530ac23e0cfb_960x540.mp4
Joe Harris,203925,NA,1628386,201142,202681,203915,203925,CHA,NA,1626179,1628970,1630163,202330,202687,2020-12-27,1,340,15-7 Average,1,168,189,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000032/81/b6527a17-35f3-365d-1412-1970f24480ea_960x540.mp4
Kyrie Irving,202681,NA,1627747,201142,201599,202681,203925,CHA,NA,1626179,1628970,1630163,202330,202687,2020-12-27,3,418,15-7 Average,-3,-63,54,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000032/414/675f70ac-01d9-f1b2-9217-717d75d51120_960x540.mp4
Kyrie Irving,202681,Caris LeVert,1627747,201142,201599,202681,203925,CHA,NA,1626179,1628970,1630163,202330,202687,2020-12-27,3,341,15-7 Average,-6,13,7,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000032/431/9dfd00ca-253f-4fcc-e041-cf3588c3f274_960x540.mp4
Kyrie Irving,202681,NA,1627789,1628386,201142,202681,203925,CHA,NA,1628970,1628998,1630163,202330,202687,2020-12-27,4,497,15-7 Average,-13,-133,120,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000032/579/5bbceda7-bf79-788a-bee6-a6a7e0386831_960x540.mp4
Kyrie Irving,202681,NA,1627789,1628386,201142,202681,203925,CHA,Bismack Biyombo,1626179,1628984,1629023,202330,202687,2020-12-27,4,119,15-7 Average,-2,33,5,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000032/654/6228858a-489d-af4a-1ff0-a510556d1d84_960x540.mp4
Caris LeVert,1627747,NA,1627747,1627752,1627789,201599,203925,MEM,NA,1628415,1628960,1629630,202685,203937,2020-12-28,1,339,22-18 Very Early,-11,-31,30,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/81/92394a6b-7560-a871-481f-8e7dffdf7324_960x540.mp4
Caris LeVert,1627747,NA,1627747,1627789,1628386,1629013,201145,MEM,NA,1628960,1629630,1629634,1630217,203476,2020-12-28,1,222,22-18 Very Early,-8,-11,116,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/118/01ce1cac-afe6-288f-1183-1e064b18054f_960x540.mp4
Timothe Luwawu-Cabarrot,1627789,NA,1627747,1627752,1627789,1629013,201599,MEM,NA,1626145,1628415,1629634,1630217,202685,2020-12-28,2,132,15-7 Average,-4,-68,240,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/314/0b9fed60-84e4-2b8d-2ea8-1d7caa1099e3_960x540.mp4
Timothe Luwawu-Cabarrot,1627789,NA,1627747,1627752,1627789,1629013,201599,MEM,NA,1626145,1628415,1629634,1630217,202685,2020-12-28,2,80,15-7 Average,-2,171,169,Arc3,NA,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/326/5f7385f6-1398-5a87-20ed-ed5920305f45_960x540.mp4
Joe Harris,203925,NA,1627747,1627752,1627789,201599,203925,MEM,NA,1626145,1628415,1628960,202685,203937,2020-12-28,3,531,15-7 Average,0,-13,112,ShortMidRange,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/378/0e160c71-2bad-775c-cc3a-6ef9fd9ac1a1_960x540.mp4
Jarrett Allen,1628386,NA,1627747,1627752,1627789,1628386,203925,MEM,NA,1626145,1628415,1628960,202685,203937,2020-12-28,3,472,24-22,2,0,0,AtRim,NA,TRUE,0-2 Feet - Very Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/397/564f3c49-c909-d5e9-a61d-fc5ced00655d_960x540.mp4
Jarrett Allen,1628386,NA,1627747,1627752,1627789,1628386,1629013,MEM,NA,1626145,1628415,1629634,1630217,202685,2020-12-28,3,380,24-22,-1,2,33,AtRim,NA,FALSE,0-2 Feet - Very Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/426/c09c2923-f3bd-5477-42e0-0d4e0ceb89e2_960x540.mp4
Joe Harris,203925,NA,1628386,1629013,1629185,201145,203925,MEM,NA,1628415,1629634,1630217,203476,203937,2020-12-28,3,157,15-7 Average,-2,-2,15,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/482/c0ec1b05-dc9d-df52-31be-65c4a1e57590_960x540.mp4
Caris LeVert,1627747,NA,1627747,1627789,1629185,201145,201599,MEM,NA,1628415,1628960,1629723,202685,203937,2020-12-28,4,411,15-7 Average,-1,101,-1,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000042/585/9e60f2f1-1322-13d7-8bc6-80b2cf509525_960x540.mp4
