player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Jayson Tatum,1628369,NA,1628369,1628400,1629057,1630202,201952,MEM,NA,1626145,1628415,1628960,1629723,202685,2020-12-30,2,531,15-7 Average,12,83,239,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/194/122d8298-01d0-6216-4b3b-4608ea1881b4_960x540.mp4
Jayson Tatum,1628369,Jeff Teague,1628369,1628400,1629057,1630202,201952,MEM,NA,1626145,1628415,1628960,1629723,202685,2020-12-30,2,464,15-7 Average,10,-210,132,Arc3,TRUE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/203/d6964b8a-bf38-970e-f1e2-66fb723b5c02_960x540.mp4
Jayson Tatum,1628369,NA,1628369,1628400,1629057,1630202,201952,MEM,NA,1626145,1628415,1628960,1629723,202685,2020-12-30,2,420,15-7 Average,13,-136,206,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/211/a969608d-ee6b-49ab-3fae-4699e55d3be4_960x540.mp4
Payton Pritchard,1630202,NA,1629035,1629057,1629684,1630174,1630202,MEM,NA,1628415,1629723,1630253,202685,203937,2020-12-30,4,634,7-4 Late,24,-163,162,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/558/3df44141-3642-4d5c-08c6-76b228241544_960x540.mp4
Payton Pritchard,1630202,NA,1629035,1629057,1629684,1630174,1630202,MEM,NA,1628415,1629723,1630253,202685,203937,2020-12-30,4,600,7-4 Late,24,43,18,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/560/36f5bd50-335a-95ef-2b2b-23646c008f72_960x540.mp4
Carsen Edwards,1629035,NA,1629035,1629057,1629684,1630174,1630202,MEM,NA,1629634,1629723,1630217,1630253,203476,2020-12-30,4,488,15-7 Average,22,-19,18,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/592/efad835c-1593-cf3d-7b34-0d75eeca8928_960x540.mp4
Carsen Edwards,1629035,NA,1629035,1629057,1629684,1630174,1630202,MEM,NA,1629634,1629723,1630217,1630253,203476,2020-12-30,4,427,15-7 Average,24,-206,24,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/602/7ac3921e-dc4e-084f-3395-3ab18d9bab29_960x540.mp4
Carsen Edwards,1629035,NA,1629035,1629057,1629684,1630174,1630202,MEM,NA,1629634,1629723,1630217,1630253,203476,2020-12-30,4,400,15-7 Average,24,195,97,LongMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/606/8c4a3470-101c-575e-7cf9-0bbb206ad03d_960x540.mp4
Carsen Edwards,1629035,Tremont Waters,1628400,1629035,1629605,1629682,1630174,MEM,NA,1629634,1629723,1630217,1630253,203476,2020-12-30,4,352,15-7 Average,26,10,21,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/621/780198c2-38c5-83ad-6a94-485bc182e15a_960x540.mp4
Carsen Edwards,1629035,NA,1628400,1629035,1629605,1629682,1630174,MEM,NA,1629634,1629723,1630217,1630253,203476,2020-12-30,4,149,15-7 Average,20,-66,190,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000056/658/e938ef2e-7e08-f8a7-2dd7-bc74d6a34824_960x540.mp4
Marcus Smart,203935,NA,1627759,1628369,1628464,202684,203935,DET,NA,1628367,1630165,1630180,203486,203924,2021-01-01,3,494,22-18 Very Early,-11,-20,3,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000070/347/f1937e44-cb7f-dba0-6704-cf07d893a917_960x540.mp4
Marcus Smart,203935,NA,1627759,1628369,1628464,202684,203935,DET,NA,1628367,1630165,1630180,203486,203924,2021-01-01,3,403,22-18 Very Early,-9,72,99,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000070/366/8574b1db-d48a-ea02-031b-eb0e2a14ecb6_960x540.mp4
