player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Zach LaVine,203897,NA,1628374,1629632,1629655,1630172,203897,LAL,NA,201188,203076,203471,203484,2544,2021-01-23,1,574,18-15 Early,0,-75,240,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000245/22/7890a727-bf54-b605-c85a-aecae09511ee_960x540.mp4
Zach LaVine,203897,NA,1626245,1627756,1628374,202066,203897,LAL,NA,1626149,1628398,1629659,202083,203471,2021-01-23,1,149,18-15 Early,-10,-125,221,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000245/126/5c43c00e-01c4-5aac-352c-ecc425012e7d_960x540.mp4
Chandler Hutchison,1628990,NA,1627853,1628990,1629655,1630172,203490,ATL,NA,1628981,1628989,1629027,203524,203992,2020-12-23,1,208,15-7 Average,-10,6,1,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/134/b1fc1678-0127-76bb-f0b5-46cf2d229a68_960x540.mp4
Chandler Hutchison,1628990,NA,1627853,1628990,1629655,1630172,203490,ATL,NA,1628981,1628989,1629027,203524,203992,2020-12-23,1,204,15-7 Average,-10,-13,-1,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/136/a2722bc8-de6c-52e0-48b7-15c0e47b8990_960x540.mp4
Zach LaVine,203897,NA,1628374,1628976,1629632,1630172,203897,ATL,NA,1628381,1629027,1629629,1629631,201568,2020-12-23,3,654,15-7 Average,-25,227,-16,Corner3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/379/7eb466f1-b1c9-abd2-5f87-f9e28ab1e370_960x540.mp4
Patrick Williams,1630172,NA,1628374,1628976,1629632,1630172,203897,ATL,NA,1628381,1629027,1629629,1629631,201568,2020-12-23,3,601,15-7 Average,-27,46,92,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/392/9f2543a8-a707-d7f6-346f-784e115e43e5_960x540.mp4
Patrick Williams,1630172,NA,1628374,1629655,1630172,203490,203897,ATL,NA,1628981,1628989,1629164,203524,203992,2020-12-23,3,293,15-7 Average,-35,4,50,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/478/2c467026-8150-a9c4-3bfe-00948053232e_960x540.mp4
Zach LaVine,203897,NA,1628374,1628990,1629655,203490,203897,ATL,NA,1628981,1628989,1629164,203524,203992,2020-12-23,3,92,15-7 Average,-35,-88,243,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/524/07f6194d-bb80-1ca4-7344-b89577c4312a_960x540.mp4
Adam Mokoka,1629690,NA,1627853,1628990,1629632,1629655,1629690,ATL,NA,1628381,1629027,1629629,1629631,201568,2020-12-23,4,522,15-7 Average,-34,11,0,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/590/8f134174-025f-2bfa-86d9-423bbed94c68_960x540.mp4
Adam Mokoka,1629690,NA,1627853,1628976,1628990,1629632,1629690,ATL,NA,1628381,1629027,1629629,1629631,203524,2020-12-23,4,488,15-7 Average,-32,-3,4,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/600/8979343d-2bd1-4c28-2149-554c3cf7afc2_960x540.mp4
