player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Andre Drummond,203083,NA,1626204,1626224,1629636,1630171,203083,BOS,Robert Williams III,1628400,1629035,1629057,1629750,202689,2021-01-24,2,640,7-4 Late,-20,-27,4,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000250/194/1f5df65a-76c7-746a-fee9-a1af53558fb8_960x540.mp4
Andre Drummond,203083,NA,1626204,1626224,1629636,1630171,203083,BOS,Robert Williams III,1628400,1629035,1629057,1629750,202689,2021-01-24,2,587,7-4 Late,-22,-26,50,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000250/203/ba52671d-e4a3-e81d-0160-f9431d5a521a_960x540.mp4
Jarrett Allen,1628386,Taurean Prince,1627752,1628386,1629636,1629685,1630171,BOS,NA,1629035,1629057,1629682,1629684,1630174,2021-01-24,4,656,15-7 Average,-34,19,2,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000250/622/ba04bf0a-b85a-75a0-ebad-97e8e5e53cf4_960x540.mp4
Jarrett Allen,1628386,Taurean Prince,1627752,1628386,1629636,1629685,1630171,BOS,NA,1629035,1629057,1629682,1629684,1630174,2021-01-24,4,576,15-7 Average,-29,4,25,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000250/590/fce37454-4c86-7689-fbe2-544e6a98da44_960x540.mp4
Isaac Okoro,1630171,NA,1628422,1629685,1629731,1630171,201580,BOS,Tacko Fall,1629035,1629605,1629682,1629684,1630174,2021-01-24,4,188,15-7 Average,-29,-23,53,ShortMidRange,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000250/683/9a2059e0-2f6d-7074-73ad-a12c626d6061_960x540.mp4
Isaac Okoro,1630171,NA,1628422,1629685,1629731,1630171,201580,BOS,NA,1629035,1629605,1629682,1629684,1630174,2021-01-24,4,29,15-7 Average,-38,5,22,AtRim,NA,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000250/707/620e7acc-c478-473f-c80b-03b5abf01a32_960x540.mp4
JaVale McGee,201580,NA,1628422,1629636,1629731,1630171,201580,CHA,NA,1626179,1629023,1630163,202330,203469,2020-12-23,2,302,15-7 Average,4,68,74,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/270/227e6d48-6607-ba10-0337-c357aed2e9ff_960x540.mp4
JaVale McGee,201580,NA,1628422,1629636,1629731,1630171,201580,CHA,NA,1626179,1629023,1630163,202330,203469,2020-12-23,2,277,15-7 Average,7,67,21,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/277/be3b0d3f-06ee-10ef-7363-6ab69b16220d_960x540.mp4
JaVale McGee,201580,Larry Nance Jr.,1626204,1629012,1629636,1630171,201580,CHA,NA,1626179,1628984,1629023,202330,202687,2020-12-23,2,114,15-7 Average,15,-40,78,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/317/968b2c0d-2033-3d9f-95b4-c5528308b68e_960x540.mp4
JaVale McGee,201580,Larry Nance Jr.,1626204,1629012,1629636,1630171,201580,CHA,NA,1626179,1628984,1629023,202330,202687,2020-12-23,2,85,15-7 Average,15,6,2,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/320/a78535af-0578-ad14-95ee-266d3ef71763_960x540.mp4
