player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Willie Cauley-Stein,1626161,Luka Doncic,1626161,1628973,1629029,1630182,203501,HOU,NA,1630256,200782,201569,202322,202326,2021-01-23,1,479,15-7 Average,-10,0,0,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/48/4a2b4bb8-c622-416f-5392-c9608687050d_960x540.mp4
Willie Cauley-Stein,1626161,Luka Doncic,1626161,1628973,1629029,1630182,203501,HOU,NA,1630256,200782,201569,202322,202326,2021-01-23,1,409,15-7 Average,-12,50,200,LongMidRange,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/57/3ecb1751-4180-0677-d9f6-3836c91f45c2_960x540.mp4
Boban Marjanovic,1626246,NA,1626246,1628973,1629029,201949,203504,HOU,NA,1628021,1628425,201569,202326,203463,2021-01-23,1,214,15-7 Average,-16,-6,48,ShortMidRange,FALSE,TRUE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/101/c27565fa-411e-9ff8-3365-688421cab033_960x540.mp4
Boban Marjanovic,1626246,James Johnson,1626246,1628973,1629029,201949,203504,HOU,NA,1628021,1628425,1630222,200782,203463,2021-01-23,1,66,15-7 Average,-15,-97,56,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/128/b48f988e-9902-be6e-4a15-d14ce027e6a6_960x540.mp4
Boban Marjanovic,1626246,NA,1626246,1628973,1629029,201949,203504,HOU,NA,1628021,1628425,1630222,200782,203463,2021-01-23,1,35,15-7 Average,-13,0,0,AtRim,FALSE,TRUE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/134/2411c755-6890-48d6-942d-15f27d688ec4_960x540.mp4
Tim Hardaway Jr.,203501,Luka Doncic,1626246,1628411,1628973,1629029,203501,HOU,NA,1630256,200782,201569,202322,202326,2021-01-23,3,615,15-7 Average,-9,-61,165,LongMidRange,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/356/5a0c9e84-716f-6413-e6e6-7a8163730089_960x540.mp4
Tim Hardaway Jr.,203501,NA,1626246,1628411,1628973,1629029,203501,HOU,NA,1630256,200782,201569,202322,202326,2021-01-23,3,500,15-7 Average,-7,0,23,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/377/198714a9-b228-9844-2456-042bdfee5fb0_960x540.mp4
Luka Doncic,1629029,NA,1626246,1628411,1628973,1629029,203501,HOU,NA,1630256,200782,201569,202322,202326,2021-01-23,3,471,15-7 Average,-5,-20,102,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/380/45fa161c-1548-14a4-9a7c-6d03a19fd647_960x540.mp4
Tim Hardaway Jr.,203501,NA,1626161,1628411,1629029,203501,203504,HOU,NA,1628021,1628425,200782,201569,202326,2021-01-23,3,366,15-7 Average,-5,113,225,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/406/750b3cd9-f869-cacf-eb84-2cc3228b1566_960x540.mp4
Tim Hardaway Jr.,203501,NA,1626161,1628411,1629029,203501,203504,HOU,NA,1628021,1628425,200782,201569,202326,2021-01-23,3,331,15-7 Average,-7,16,256,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/411/94f2c7c5-cdc1-cfb1-6b9d-d67e829d6dd9_960x540.mp4
