player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Nikola Jokic,203999,NA,1627750,203115,203210,203914,203999,PHX,NA,1626166,1627846,1628969,1629028,1630188,2021-01-23,1,246,15-7 Average,-1,109,-6,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/98/749a7614-b81b-2bd1-bcc2-2f3ed37d6740_960x540.mp4
Nikola Jokic,203999,NA,1627750,1628420,1629008,203210,203999,PHX,Jalen Smith,1626163,1626166,1627846,1628975,1630188,2021-01-23,1,160,15-7 Average,3,-25,16,AtRim,NA,TRUE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/127/128c9283-c66b-6f7a-8f40-295c0d53332b_960x540.mp4
Nikola Jokic,203999,NA,1627750,200794,203115,203914,203999,PHX,NA,101108,1628975,1629028,1629661,203109,2021-01-23,3,514,15-7 Average,-3,108,147,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/370/abf5b227-7bd7-1855-f242-7d1c07cd9a65_960x540.mp4
Nikola Jokic,203999,NA,1627750,200794,203115,203914,203999,PHX,NA,101108,1628975,1629028,1629661,203109,2021-01-23,3,465,15-7 Average,-3,-8,42,ShortMidRange,NA,TRUE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/379/54c43379-a5b9-0a15-76e0-0ba888cb97e2_960x540.mp4
Nikola Jokic,203999,NA,1627750,200794,203115,203914,203999,PHX,Deandre Ayton,101108,1628975,1629028,1629661,203109,2021-01-23,3,421,15-7 Average,-5,-30,15,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/385/727da8a7-ec9a-80ce-ae81-fa7127d824e8_960x540.mp4
Nikola Jokic,203999,NA,1627750,1628420,1629008,203210,203999,PHX,NA,1626163,1626166,1628975,1629661,203109,2021-01-23,3,276,15-7 Average,-8,-7,16,AtRim,FALSE,TRUE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/421/3415fd31-0bbc-ad3a-730b-d20a8df1147d_960x540.mp4
Nikola Jokic,203999,Jamal Murray,1627750,1628420,1629008,203210,203999,PHX,NA,1626163,1626166,1628975,1629661,203109,2021-01-23,3,250,15-7 Average,-6,8,67,ShortMidRange,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/424/353b7bea-1b6e-0f47-e709-dd60b8b76452_960x540.mp4
Nikola Jokic,203999,NA,1627750,1628420,1629008,203914,203999,PHX,Deandre Ayton,101108,1627846,1628969,1629028,203109,2021-01-23,5,194,15-7 Average,1,47,36,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/650/fddbee8f-f495-f64a-2d18-300d13cc0ea8_960x540.mp4
Nikola Jokic,203999,NA,1627750,1628420,1629008,203914,203999,PHX,NA,101108,1626163,1627846,1628969,203109,2021-01-23,5,80,15-7 Average,-1,0,0,AtRim,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/670/ced57350-6553-11d6-9296-f444866a09be_960x540.mp4
Nikola Jokic,203999,NA,1627750,1628420,1629008,203914,203999,PHX,NA,101108,1626163,1627846,1628969,203109,2021-01-23,6,199,4-0 Very Late,3,31,155,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/732/815bce55-6be8-7c1b-056f-70356c9b8dc7_960x540.mp4
Nikola Jokic,203999,NA,1627750,1628420,1629008,203914,203999,PHX,NA,101108,1626163,1627846,1628969,203109,2021-01-23,6,160,4-0 Very Late,5,-28,76,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/735/d26c7b26-cecb-695b-bf63-9ff678f26992_960x540.mp4
Jamal Murray,1627750,NA,1627750,1629008,203115,203914,203999,SAC,NA,1627741,1628368,1628963,1630169,203084,2020-12-23,4,454,15-7 Average,-7,225,34,Corner3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/582/6342247d-ac03-38d1-caeb-c51ac4b0a7f6_960x540.mp4
Jamal Murray,1627750,NA,1627750,1629008,200794,203914,203999,SAC,NA,1626158,1628368,1630169,202709,203084,2020-12-23,4,304,15-7 Average,-3,-138,205,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/617/f932dde4-3fe1-b54b-fc41-0478d09e1f89_960x540.mp4
Will Barton,203115,Nikola Jokic,1629008,200794,203115,203914,203999,SAC,NA,1627741,1628368,202355,202709,203084,2020-12-23,5,249,15-7 Average,-2,18,22,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/720/8a5f9182-f7bf-6f5c-45c4-7bb84b798cb5_960x540.mp4
Will Barton,203115,Paul Millsap,1629008,200794,203115,203914,203999,SAC,NA,1627741,1628368,202355,202709,203084,2020-12-23,5,149,15-7 Average,0,-63,16,ShortMidRange,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/736/ba0b3a30-d910-0d5c-45df-a52f04c36908_960x540.mp4
