player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Mason Plumlee,203486,NA,1626153,1630180,201961,203486,203924,PHI,NA,1629003,201980,202699,203552,203954,2021-01-23,1,281,15-7 Average,2,-61,69,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/84/51ae918b-a3ca-a62f-a73e-fc4a88a05795_960x540.mp4
Mason Plumlee,203486,NA,1626153,1630180,201961,203486,203924,PHI,NA,1629003,201980,202699,203552,203954,2021-01-23,1,257,15-7 Average,0,37,5,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/88/b94de819-fd9c-1e02-fee6-59ea31572607_960x540.mp4
Jerami Grant,203924,NA,1626153,1630180,201961,203486,203924,PHI,NA,1627732,201980,202699,203552,203954,2021-01-23,3,643,15-7 Average,2,25,5,AtRim,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/370/ad33dfc6-c9d3-3caa-64b4-a100b526d19e_960x540.mp4
Jerami Grant,203924,NA,1626143,1626153,1630180,201961,203924,PHI,NA,1627732,1627788,1629003,201980,203954,2021-01-23,3,360,15-7 Average,-3,-3,46,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/438/f00b0fec-90f5-f7bb-1411-ecd14ec06461_960x540.mp4
Derrick Rose,201565,Mason Plumlee,1628367,1629004,1629635,201565,203486,MIN,NA,1626156,1627823,1629633,1629675,1630162,2020-12-23,2,544,15-7 Average,9,4,36,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/196/68782ae8-5a1b-77d3-9340-1cda0cf6a5c9_960x540.mp4
Derrick Rose,201565,Delon Wright,1626153,201565,201933,203486,203924,MIN,NA,1626156,1626157,1627736,1629006,201937,2020-12-23,2,162,15-7 Average,5,25,63,ShortMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/281/f8975b8a-b59d-409c-36da-b96b69c5e3b4_960x540.mp4
Blake Griffin,201933,NA,1626153,1630165,201933,203486,203924,MIN,NA,1626156,1626157,1627736,1627774,1629006,2020-12-23,3,498,15-7 Average,7,-42,242,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/353/1d82c266-de59-4d7a-2146-21ae5058689e_960x540.mp4
Josh Jackson,1628367,NA,1626143,1628367,201565,201933,203924,MIN,NA,1626156,1627736,1629675,1630162,201937,2020-12-23,3,178,15-7 Average,6,28,252,Arc3,NA,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/425/573b8e97-cd3d-1c15-9e9f-7f42ba256143_960x540.mp4
Josh Jackson,1628367,NA,1626143,1628367,201565,201933,203924,MIN,NA,1626156,1627736,1629675,1630162,201937,2020-12-23,3,155,15-7 Average,6,231,52,Corner3,NA,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/429/44c2fa5f-0d05-132c-acd7-c7041f1de52a_960x540.mp4
Blake Griffin,201933,NA,1626143,1628367,1629004,201565,201933,MIN,NA,1629006,1629633,1629675,1630162,201937,2020-12-23,3,28,15-7 Average,7,-150,199,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/471/80e5d767-8275-3fa1-b0c4-518f3937c5fc_960x540.mp4
Jahlil Okafor,1626143,NA,1626143,1628367,1629635,1630165,203924,MIN,Naz Reid,1626156,1627774,1629633,1629675,1630162,2020-12-23,4,444,7-4 Late,4,16,27,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/538/18c85372-e4c4-0017-a282-b86e1e28dc50_960x540.mp4
Jahlil Okafor,1626143,NA,1626143,1628367,1629635,1630165,203924,MIN,Naz Reid,1626156,1627774,1629633,1629675,1630162,2020-12-23,4,440,7-4 Late,4,1,22,AtRim,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/541/389f0153-fea9-7e09-65e8-0030f1f9a994_960x540.mp4
Derrick Rose,201565,NA,1626143,1628367,1629004,1629635,201565,CLE,NA,1626204,1626224,1629012,201580,203957,2020-12-26,1,146,18-15 Early,6,4,10,AtRim,NA,FALSE,NA,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/118/7cb483cc-e685-bf5a-f2df-cd955f3eb005_960x540.mp4
Derrick Rose,201565,NA,1626143,1628367,1629004,1629635,201565,CLE,NA,1626224,1629012,201567,203083,203957,2020-12-26,1,36,18-15 Early,2,8,13,AtRim,NA,FALSE,NA,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/141/b95ea5e3-2927-00c1-e73c-a62a969a9ac9_960x540.mp4
Jahlil Okafor,1626143,NA,1626143,1628367,1629004,201565,201933,CLE,NA,1629012,1629636,1630171,201567,203083,2020-12-26,4,681,15-7 Average,5,6,-1,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/527/c3af4640-bca3-ee43-08ef-bc2489b7f1f1_960x540.mp4
Josh Jackson,1628367,NA,1626143,1628367,1629004,201565,201933,CLE,NA,1629012,1629636,1630171,201567,203083,2020-12-26,4,655,15-7 Average,7,-172,211,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/530/4a060bc9-8a44-d72e-5424-b332c3d81f0f_960x540.mp4
Jahlil Okafor,1626143,Derrick Rose,1626143,1628367,1629004,201565,201933,CLE,NA,1629012,1629636,1630171,201567,203083,2020-12-26,4,598,15-7 Average,4,6,1,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/541/e0d5d7fb-2d4a-96a4-845b-e4ea0f1af821_960x540.mp4
Josh Jackson,1628367,NA,1626153,1628367,1629004,201933,203486,CLE,NA,1626204,1629012,1629636,1630171,201580,2020-12-26,4,417,15-7 Average,3,234,51,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/574/63924cad-9fa1-0037-412e-7a19bedb6109_960x540.mp4
Blake Griffin,201933,NA,1626153,201565,201933,203486,203924,CLE,NA,1626224,1629012,1629636,201567,203083,2020-12-26,4,188,4-0 Very Late,7,93,285,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/642/64267b2c-97eb-d261-3dcf-b304e8137961_960x540.mp4
Blake Griffin,201933,NA,1626153,201565,201933,203486,203924,CLE,NA,1629012,1629636,1630171,201567,203083,2020-12-26,4,119,4-0 Very Late,4,-138,213,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000023/661/e55e3b6c-d837-3d30-4a31-5440bc625957_960x540.mp4
Josh Jackson,1628367,Mason Plumlee,1628367,1630165,1630180,203486,203924,ATL,NA,1628381,1629027,1629629,1629631,203991,2020-12-28,1,689,15-7 Average,0,6,6,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/9/9e4d0017-065c-8990-43e2-0f853b013015_960x540.mp4
Josh Jackson,1628367,Saddiq Bey,1628367,1630165,1630180,203486,203924,ATL,NA,1628381,1629027,1629629,1629631,203991,2020-12-28,1,472,15-7 Average,0,11,3,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/39/a5fcc471-3ba6-885a-30e3-221f342b7ddc_960x540.mp4
Killian Hayes,1630165,NA,1628367,1630165,1630180,203486,203924,ATL,NA,1629027,1629629,1629631,203991,203992,2020-12-28,1,415,15-7 Average,-3,-27,151,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/49/6c7fb7f1-c9d2-5489-7154-b151648a143a_960x540.mp4
Jerami Grant,203924,NA,1628367,1630165,1630180,203486,203924,ATL,NA,1629027,1629629,1629631,203991,203992,2020-12-28,1,408,15-7 Average,-3,208,135,Arc3,NA,FALSE,4-6 Feet - Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/51/7340bfbf-cdcb-1c1f-7d44-a0c5ff09fec3_960x540.mp4
Killian Hayes,1630165,NA,1628367,1630165,1630180,203486,203924,ATL,Bruno Fernando,1628981,1628989,1629027,1629631,203992,2020-12-28,1,332,15-7 Average,-6,1,11,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000041/67/b2267834-215c-a8e8-bc7b-16e0e1d24f70_960x540.mp4
