player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Andrew Wiggins,203952,NA,1626162,1630164,201939,203110,203952,UTA,NA,1626220,1628378,201144,202711,203497,2021-01-23,1,625,15-7 Average,-9,188,22,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/17/83cca8a9-2d45-0f8f-263d-17af5dd454b1_960x540.mp4
Andrew Wiggins,203952,NA,1626162,1630164,201939,203110,203952,UTA,NA,1626220,1628378,201144,202711,203497,2021-01-23,1,524,15-7 Average,-14,23,92,ShortMidRange,NA,TRUE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/38/51490e96-9536-8e4e-4b30-46926f8277d4_960x540.mp4
Stephen Curry,201939,NA,1626172,201939,203110,203145,203952,UTA,NA,1626220,1628378,202324,203903,204060,2021-01-23,1,110,15-7 Average,-12,106,0,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/123/1ab6e594-e8ee-33ec-fd9f-5edd949e9250_960x540.mp4
Stephen Curry,201939,NA,1626162,1626172,1627814,201939,203145,UTA,NA,1627777,201144,203497,203903,204060,2021-01-23,1,56,15-7 Average,-10,19,0,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/142/7797ced8-83d3-b3ea-4098-255805b8ba37_960x540.mp4
Eric Paschall,1629672,NA,1626162,1627814,1629672,1629673,202954,UTA,NA,1627777,201144,203497,203903,204060,2021-01-23,2,580,15-7 Average,-12,8,22,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/199/4a3bbba8-0cf8-a389-e63b-31a7f498d1a3_960x540.mp4
Eric Paschall,1629672,NA,1626162,1627814,1629672,1629673,202954,UTA,NA,1627777,201144,203497,203903,204060,2021-01-23,2,499,15-7 Average,-13,13,66,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/212/b7708bd7-9738-fabb-a1e3-c6a6bea4c723_960x540.mp4
Stephen Curry,201939,NA,1626162,1630164,201939,203110,203952,UTA,NA,1626220,1628378,201144,202711,203497,2021-01-23,2,179,15-7 Average,-19,-143,210,Arc3,NA,FALSE,2-4 Feet - Tight,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/309/11680657-a8b4-2464-31a4-c3dc0e17e5a3_960x540.mp4
Stephen Curry,201939,NA,1626162,1630164,201939,203110,203952,UTA,NA,1626220,1628378,201144,202711,203497,2021-01-23,2,138,18-15 Early,-23,-6,50,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/317/ef78f5d0-d119-7764-82f9-f559dbd74c52_960x540.mp4
Stephen Curry,201939,NA,1626162,1630164,201939,203110,203952,UTA,NA,1626220,1628378,201144,202711,203497,2021-01-23,2,64,18-15 Early,-24,0,114,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/336/d5d03237-5752-756d-a692-111a7004abe6_960x540.mp4
Stephen Curry,201939,NA,1626162,1630164,201939,203110,203952,UTA,NA,1626220,1628378,201144,202711,203497,2021-01-23,2,10,15-7 Average,-27,154,210,Arc3,NA,FALSE,2-4 Feet - Tight,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/344/f71e5a76-30a2-4ab3-661a-1c05bdbd3abf_960x540.mp4
