player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
John Wall,202322,NA,1630256,200782,201569,202322,202326,DAL,NA,1626161,1628973,1629029,1630182,203501,2021-01-23,1,395,15-7 Average,10,122,155,LongMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/59/e2bc510a-6d32-af24-36e0-5e596aaace07_960x540.mp4
John Wall,202322,NA,1628425,1630256,201569,202322,202326,DAL,NA,1626246,1629029,201949,203501,203504,2021-01-23,1,327,15-7 Average,11,-3,15,AtRim,FALSE,FALSE,NA,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/77/3f746497-ad18-95c6-d9dd-89dfe37ca39b_960x540.mp4
John Wall,202322,NA,1628021,1630222,1630256,202322,202326,DAL,NA,1626161,1628411,1628973,1630182,203501,2021-01-23,2,464,15-7 Average,10,179,190,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/210/1b328df4-dcbe-88e6-0f44-612e1ff78584_960x540.mp4
John Wall,202322,NA,1628021,1630222,1630231,202322,202326,DAL,NA,1626161,1628411,1628973,1630182,203501,2021-01-23,2,400,15-7 Average,13,-55,267,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/224/e79ece22-3a80-7326-0d02-fd5b8b191b2b_960x540.mp4
Eric Gordon,201569,NA,1630256,200782,201569,202322,202326,DAL,NA,1626246,1628411,1628973,1629029,203501,2021-01-23,3,519,15-7 Average,5,-195,164,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/372/3ba2156b-4b91-2a7b-6575-263be6c3ef4d_960x540.mp4
Eric Gordon,201569,NA,1630256,200782,201569,202322,202326,DAL,NA,1626246,1628411,1628973,1629029,203501,2021-01-23,3,484,15-7 Average,5,50,290,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/378/39658316-bd3f-b344-4e21-edea7a0633c9_960x540.mp4
DeMarcus Cousins,202326,John Wall,1630256,200782,201569,202322,202326,DAL,NA,1626161,1628411,1629029,203501,203504,2021-01-23,3,419,15-7 Average,3,-194,163,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/391/d6a72ef2-75f7-6af1-c80a-cbc8d34e82d5_960x540.mp4
Eric Gordon,201569,NA,1628021,1628425,200782,201569,202326,DAL,NA,1626161,1628411,1629029,203501,203504,2021-01-23,3,343,15-7 Average,5,14,11,AtRim,FALSE,FALSE,NA,Touch 6+ Seconds,7+ Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/410/36ac94c7-5a55-5af2-ea78-6d192559c802_960x540.mp4
DeMarcus Cousins,202326,David Nwaba,1628021,1628425,200782,201569,202326,DAL,NA,1626161,1628411,1629029,203501,203504,2021-01-23,3,315,15-7 Average,7,-139,205,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/413/178f43f7-6f63-7f18-4f89-893e1b96cba3_960x540.mp4
DeMarcus Cousins,202326,Eric Gordon,1628021,1628425,200782,201569,202326,DAL,NA,1626161,1628411,1629029,203501,203504,2021-01-23,3,278,15-7 Average,8,-200,168,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/417/034326a5-38cb-6571-5ad3-6968020a7ba8_960x540.mp4
