player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Myles Turner,1626167,NA,1626167,1627734,1627763,203506,203933,NYK,NA,1629011,1629628,203493,203901,203944,2020-12-23,1,665,15-7 Average,0,228,8,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/12/f62db668-2ddc-2f82-d04e-91050fb9f6f1_960x540.mp4
Myles Turner,1626167,NA,1626167,1627734,1627763,203506,203933,NYK,NA,1629011,1629628,203493,203901,203944,2020-12-23,1,578,15-7 Average,4,234,0,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/28/18c136ad-3ab3-e2b8-ff5e-a455e1331237_960x540.mp4
Doug McDermott,203926,Domantas Sabonis,1627734,1628988,203200,203926,204456,NYK,NA,1628995,1630167,1630193,202692,203944,2020-12-23,2,510,18-15 Early,-2,8,-5,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/230/788bff0a-a5a1-f054-d7ed-07cd4c23d5d5_960x540.mp4
Doug McDermott,203926,Domantas Sabonis,1627734,1628988,203926,203933,204456,NYK,NA,1628995,1630167,1630193,202692,203944,2020-12-23,2,456,18-15 Early,1,26,-6,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/243/4e905920-d68f-0ed2-635d-831233f4f7f3_960x540.mp4
Domantas Sabonis,1627734,NA,1626167,1627734,1627763,203506,203933,NYK,NA,1629011,1629628,203493,203901,203944,2020-12-23,3,688,15-7 Average,-5,-5,10,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/362/e49f7204-3022-29d1-a513-ecd989806d5e_960x540.mp4
Malcolm Brogdon,1627763,NA,1626167,1627734,1627763,203506,203933,NYK,Mitchell Robinson,1629011,1629628,203493,203901,203944,2020-12-23,3,461,15-7 Average,-4,2,4,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/394/4db1e55a-e5f0-138c-9bba-bd573e9a71a5_960x540.mp4
Domantas Sabonis,1627734,NA,1626167,1627734,1627763,203506,203933,NYK,NA,1629011,1629628,203493,203901,203944,2020-12-23,3,432,15-7 Average,-2,0,0,AtRim,NA,TRUE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/404/87fdc83b-6eb9-e95b-320d-dbdd7a789fae_960x540.mp4
Domantas Sabonis,1627734,NA,1626167,1627734,1627763,203506,203933,NYK,NA,1629011,1629628,203493,203901,203944,2020-12-23,3,429,15-7 Average,-2,6,25,AtRim,NA,TRUE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/406/ec7d6e7c-e367-e79b-31cc-4d8636f0cfec_960x540.mp4
Malcolm Brogdon,1627763,NA,1626167,1627734,1627763,203506,203933,NYK,Mitchell Robinson,1629011,1629628,1630167,203493,203901,2020-12-23,3,373,15-7 Average,-3,-14,17,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/417/3b684439-b7e9-35d6-cc6f-6e893c74eac5_960x540.mp4
Malcolm Brogdon,1627763,NA,1627734,1627763,203200,203506,203926,NYK,Alec Burks,1629011,1629628,1630167,202692,203493,2020-12-23,3,159,15-7 Average,3,-9,5,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/467/d26b0828-27bb-fd8e-1ca5-9ae58bb8b317_960x540.mp4
Domantas Sabonis,1627734,NA,1627734,1627763,203506,203926,204456,NYK,NA,1629628,202692,203493,203901,203944,2020-12-23,4,300,15-7 Average,16,16,10,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/628/9931e0dc-8b3d-420f-b8e1-442ac7e4d5cd_960x540.mp4
Domantas Sabonis,1627734,NA,1627734,1627763,203506,203926,204456,NYK,NA,1629628,202692,203493,203901,203944,2020-12-23,4,246,15-7 Average,17,-73,13,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/640/4d1038f5-9dee-a875-77d3-052435ad76e1_960x540.mp4
Aaron Holiday,1628988,NA,1627734,1628988,203200,203926,204456,CHI,NA,1627756,1628976,1629632,1630172,203897,2020-12-26,2,407,22-18 Very Early,1,-9,15,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000026/251/1e900cac-d25a-6af4-fa15-671d0df5e10d_960x540.mp4
Aaron Holiday,1628988,T.J. McConnell,1627734,1628988,203200,203926,204456,CHI,NA,1628374,1628976,203107,203490,203897,2020-12-26,2,254,22-18 Very Early,13,8,16,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000026/283/552b4375-4618-99fb-f774-bd150a28c3c5_960x540.mp4
Victor Oladipo,203506,Domantas Sabonis,1626167,1627734,1627763,203506,203933,CHI,NA,1628374,1628976,1629632,1630172,203897,2020-12-26,3,708,15-7 Average,10,-178,172,Arc3,TRUE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000026/375/bb8fa2df-7053-63e6-9cef-f021e8af396f_960x540.mp4
Victor Oladipo,203506,Domantas Sabonis,1626167,1627734,1627763,203506,203933,CHI,NA,1628374,1628976,203107,203490,203897,2020-12-26,3,369,15-7 Average,26,61,239,Arc3,TRUE,FALSE,NA,NA,NA,3,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000026/432/b6d3173e-25c9-2505-e26b-628fe6610ea3_960x540.mp4
T.J. Warren,203933,NA,1626167,1627734,1627763,203506,203933,CHI,NA,1628374,1628976,203107,203490,203897,2020-12-26,3,337,15-7 Average,27,94,55,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000026/439/e6a5972e-6ace-ea03-758b-1696ab4509ad_960x540.mp4
T.J. Warren,203933,NA,1626167,1627734,1627763,203506,203933,CHI,Wendell Carter Jr.,1628374,1628976,203107,203490,203897,2020-12-26,3,262,15-7 Average,25,-6,8,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000026/451/9a7ac83e-cecb-ab1a-61c1-832afc188c92_960x540.mp4
