player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Paul George,202331,NA,201586,201587,201976,202331,202695,OKC,NA,1628983,1629647,1629652,1629676,201588,2021-01-24,1,415,18-15 Early,9,-234,6,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000251/58/5294f049-76f1-6bfb-a7d2-45e317993b5d_960x540.mp4
Paul George,202331,NA,1628379,201586,201587,202331,202695,OKC,NA,1628983,1629647,1629652,1629676,201588,2021-01-24,1,301,18-15 Early,8,-136,232,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/24/0022000251/76/93242427-d59e-40be-353e-b3bd2360738f_960x540.mp4
Paul George,202331,NA,1628379,201586,201587,201976,202331,DAL,NA,1626196,1627827,1629029,203501,203939,2020-12-27,1,701,15-7 Average,0,133,142,LongMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/7/02e9a9c7-35a6-88cb-82a7-7ee830b6c552_960x540.mp4
Paul George,202331,NA,1628379,201586,201587,201976,202331,DAL,NA,1626196,1627827,1629029,203501,203939,2020-12-27,1,491,15-7 Average,-8,-12,27,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/45/46d8ea3f-d7d3-cc4d-bedf-03263b07d878_960x540.mp4
Paul George,202331,NA,101150,1627826,202331,202335,202704,DAL,NA,1626161,1626196,1628467,1629029,203504,2020-12-27,1,103,15-7 Average,-20,-110,151,LongMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/131/76f71bbf-27ba-6c8b-f227-d09a78f5dc10_960x540.mp4
Serge Ibaka,201586,NA,1628379,1629611,201586,201976,202335,DAL,NA,1627827,1628973,201949,203501,203939,2020-12-27,2,386,15-7 Average,-42,-29,275,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/210/4cf66a3b-6c31-8574-ba3f-553af5c3516d_960x540.mp4
Serge Ibaka,201586,NA,1628379,201586,201587,201976,202331,DAL,NA,1626196,1628467,1629029,203504,203939,2020-12-27,2,141,15-7 Average,-47,-183,207,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/263/0d829c4c-d1dc-4016-6128-1ede69a1779a_960x540.mp4
Terance Mann,1629611,NA,1629599,1629611,1629662,1630187,202704,DAL,NA,1626161,1628973,201949,203501,203504,2020-12-27,4,707,15-7 Average,-47,122,-23,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/442/7cfa5189-3f38-e8bf-7ec0-90ea8fed06cc_960x540.mp4
Amir Coffey,1629599,NA,1629599,1629611,1629662,1630187,202704,DAL,NA,1626246,1628411,1630179,1630182,201949,2020-12-27,4,430,15-7 Average,-53,74,138,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/500/2cce9430-a71e-ecfa-29d8-4f04adbdd86e_960x540.mp4
Terance Mann,1629611,NA,1629599,1629611,1629662,1630187,202704,DAL,NA,1626246,1628411,1630179,1630182,201949,2020-12-27,4,201,15-7 Average,-49,24,105,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000031/535/cd4a3a46-683a-5730-e9a8-bc9ab0465e47_960x540.mp4
