player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
LeBron James,2544,NA,201188,203076,203471,203484,2544,CHI,NA,1628374,1629632,1629655,1630172,203897,2021-01-23,1,582,22-18 Very Early,0,-13,6,AtRim,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000245/20/08167468-838e-4273-1881-a566dcaf51b8_960x540.mp4
LeBron James,2544,NA,201188,203076,203471,203484,2544,CHI,NA,1628374,1629632,1629655,1630172,203897,2021-01-23,1,533,22-18 Very Early,0,-18,2,AtRim,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000245/33/1a45ff7f-7a0a-36bb-bd34-9b532b1f022b_960x540.mp4
Alex Caruso,1627936,NA,1626149,1627936,202083,202693,2544,MIN,NA,1627736,1627823,1630162,201937,202334,2020-12-27,2,598,15-7 Average,19,40,43,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/223/45459b42-28de-595a-6a22-ddfdd2d73829_960x540.mp4
Alex Caruso,1627936,Talen Horton-Tucker,1626149,1627936,1628398,1629659,202693,MIN,NA,1627823,1629006,1629633,1629675,201937,2020-12-27,2,434,15-7 Average,15,-11,11,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/268/195580a8-7c1c-62b2-4f2e-094c9836957d_960x540.mp4
Kentavious Caldwell-Pope,203484,NA,201188,203076,203471,203484,2544,POR,NA,1627884,203081,203468,203496,203994,2020-12-28,1,689,15-7 Average,0,-79,166,LongMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000045/9/3e2ca502-53b9-e8e8-ad0b-69bf5924df3a_960x540.mp4
Kentavious Caldwell-Pope,203484,NA,1628398,201188,203076,203471,203484,POR,NA,203081,203468,203496,203918,203994,2020-12-28,1,326,15-7 Average,10,27,27,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000045/70/6b4cfad5-3ed6-d8ff-59aa-3101406bbbc6_960x540.mp4
Anthony Davis,203076,NA,1626149,203076,203471,203484,2544,POR,NA,1627884,202683,203081,203468,203496,2020-12-28,4,426,15-7 Average,-5,-12,79,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000045/534/47ef9e75-584b-5c9a-26d0-8c81bbf743c0_960x540.mp4
Anthony Davis,203076,NA,1626149,203076,203471,203484,2544,POR,Derrick Jones Jr.,1627884,203081,203468,203496,203994,2020-12-28,4,198,15-7 Average,-5,32,17,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000045/566/52632232-384b-520f-3bda-db5e3473d0d3_960x540.mp4
Anthony Davis,203076,NA,1626149,203076,203471,203484,2544,POR,NA,1627884,203081,203468,203496,203994,2020-12-28,4,122,15-7 Average,-8,-14,5,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000045/583/b3d9d4b4-ea7a-5141-6356-c14e82db07b0_960x540.mp4
LeBron James,2544,Dennis Schroder,201188,203076,203471,203484,2544,SAS,NA,1627749,1627751,1629022,1629640,201942,2020-12-30,1,606,15-7 Average,-6,-13,14,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000060/22/c76be5e7-e301-f887-b275-87a2182a61e0_960x540.mp4
