player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Dillon Brooks,1628415,NA,1626159,1628415,1629001,1629634,1630214,POR,NA,1626181,202683,203081,203496,2546,2021-04-25,3,158,15-7 Average,9,65,146,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/25/0022000240/488/24916813-88ca-5bd5-5f72-940fddb5c11c_960x540.mp4
Jonas Valanciunas,202685,Justise Winslow,1626159,1629001,1629634,1630217,202685,POR,NA,1629014,1629642,202683,203468,2546,2021-04-25,4,554,15-7 Average,2,39,20,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/25/0022000240/577/f6a731b8-ccfc-9070-5ad1-77ddc1634a90_960x540.mp4
Jonas Valanciunas,202685,NA,1626159,1629001,1629634,1630217,202685,POR,NA,1629014,1629642,202683,203468,2546,2021-04-25,4,469,15-7 Average,4,36,213,LongMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/25/0022000240/590/1d4ec080-bc7b-0c6e-7aef-11c508a45947_960x540.mp4
Dillon Brooks,1628415,NA,1628415,1628960,1629630,202685,203937,SAS,NA,1627749,1629022,1629640,200746,201942,2020-12-23,1,606,22-18 Very Early,0,0,6,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/25/3b11a98c-1bb8-c130-4f40-65b7b5af9986_960x540.mp4
Dillon Brooks,1628415,NA,1628415,1628960,1629630,202685,203937,SAS,NA,1627749,1629022,1629640,200746,201942,2020-12-23,1,379,22-18 Very Early,7,26,89,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/65/6a1f11a9-4608-55ff-e9fd-c9589f2ccf6e_960x540.mp4
Ja Morant,1629630,NA,1628415,1629001,1629630,202685,203937,SAS,NA,1627749,1629022,1629640,200746,201942,2020-12-23,2,234,15-7 Average,-10,-3,28,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/258/c7201f0b-1751-2dd9-bf83-cdd4387291c6_960x540.mp4
Ja Morant,1629630,NA,1628415,1629001,1629630,1629634,203476,SAS,NA,1629022,1629640,200746,200752,201942,2020-12-23,2,177,15-7 Average,-12,-8,20,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/277/a47de60b-6feb-52b8-4c59-c2ea037c7869_960x540.mp4
Ja Morant,1629630,NA,1628415,1629001,1629630,1629634,203476,SAS,DeMar DeRozan,1629022,1629640,200746,200752,201942,2020-12-23,2,114,15-7 Average,-14,-33,69,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/286/7d361d50-a71f-fbee-d5c8-c7d6b902ff53_960x540.mp4
Ja Morant,1629630,NA,1628415,1628960,1629630,1629634,203476,SAS,Rudy Gay,1629022,1629640,200746,200752,201942,2020-12-23,2,42,15-7 Average,-12,3,6,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/309/9872accc-e0ba-33b9-dd06-f321830e1054_960x540.mp4
Dillon Brooks,1628415,Grayson Allen,1628415,1628960,1629630,202685,203937,SAS,NA,1627749,1629022,1629640,200746,201942,2020-12-23,3,678,15-7 Average,-15,104,68,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/330/051b8c8c-6452-28ce-3f3c-a29cca61ef76_960x540.mp4
