player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Goran Dragic,201609,NA,1628389,1629130,1629644,201609,203482,BKN,NA,201142,201599,201935,202681,203925,2021-01-23,3,683,15-7 Average,-10,-44,97,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/376/0d217317-7bbd-b44f-0f9a-4bd24194fa55_960x540.mp4
Goran Dragic,201609,Bam Adebayo,1628389,1629130,1629644,201609,203482,BKN,NA,201142,201599,201935,202681,203925,2021-01-23,3,600,15-7 Average,-8,-19,134,ShortMidRange,TRUE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/386/6224cb27-2465-2b74-ca7f-1e7a1a7482b1_960x540.mp4
Kelly Olynyk,203482,NA,1628389,1629130,1629644,201609,203482,BKN,NA,201142,201599,201935,202681,203925,2021-01-23,3,505,15-7 Average,-12,231,46,Corner3,NA,FALSE,4-6 Feet - Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/398/67f0523b-422a-ff96-4c41-5c5e75e84d1e_960x540.mp4
Kelly Olynyk,203482,NA,1628389,1629130,1629644,201609,203482,BKN,NA,1628971,201142,201599,202681,203925,2021-01-23,3,390,15-7 Average,-11,-163,218,Arc3,NA,FALSE,4-6 Feet - Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/425/e8a0ec80-c2ab-b406-3368-25c770d09e7e_960x540.mp4
Goran Dragic,201609,NA,1629134,1629644,1630173,201609,203482,BKN,NA,1628971,201142,201599,202681,203925,2021-01-23,3,273,15-7 Average,-12,47,75,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/452/20167d43-c314-1bea-e320-11d3bba54ef8_960x540.mp4
Kendrick Nunn,1629134,Andre Iguodala,1628389,1629130,1629134,1629216,2738,BKN,NA,1627789,1629617,201145,201935,203925,2021-01-23,4,701,15-7 Average,-14,139,217,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/537/df3d8cd0-4564-4fcd-622a-1d0a28d08d76_960x540.mp4
Bam Adebayo,1628389,NA,1628389,1629130,1629134,1629216,2738,BKN,NA,1627789,1629617,201145,201935,203925,2021-01-23,4,641,15-7 Average,-8,11,105,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/546/92900ddd-046b-ac81-f76d-54979a1e678e_960x540.mp4
Bam Adebayo,1628389,NA,1628389,1629130,1629134,1629216,2738,BKN,NA,201142,201145,201935,202681,203925,2021-01-23,4,492,15-7 Average,-9,-12,122,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/582/8e7e5bb9-e896-49da-dce6-464d7d6c4eae_960x540.mp4
Bam Adebayo,1628389,NA,1628389,1629130,1629134,201609,2738,BKN,NA,201142,201145,201935,202681,203925,2021-01-23,4,361,15-7 Average,-4,-20,131,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/604/7232f31c-6978-e5a8-0939-d37490370325_960x540.mp4
Bam Adebayo,1628389,NA,1628389,1629130,1629134,201609,2738,BKN,NA,201142,201145,201935,202681,203925,2021-01-23,4,329,15-7 Average,-5,-110,32,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/606/72d2b50b-2e60-3a9d-b801-96552c76f405_960x540.mp4
