player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
D.J. Augustin,201571,NA,1626192,1627854,1628391,201571,203507,GSW,NA,1627737,1627814,1629673,202954,203952,2020-12-25,4,663,15-7 Average,24,-141,230,Arc3,FALSE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/578/4942c428-d24d-f377-a4b0-2f38e1dc3048_960x540.mp4
D.J. Augustin,201571,NA,1626192,1627854,1628391,201571,203507,GSW,NA,1627737,1627814,1629673,202954,203952,2020-12-25,4,588,15-7 Average,30,-128,236,Arc3,FALSE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/590/5f9c35db-148b-e4a9-0026-fe31ed2281b1_960x540.mp4
Jordan Nwora,1629670,NA,1628391,1628470,1629670,1630241,203648,GSW,NA,1627814,1628539,1629673,1630164,202954,2020-12-25,4,289,15-7 Average,38,-1,1,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/679/27705bcd-fa13-bbdc-3bf2-1a7667694726_960x540.mp4
Jordan Nwora,1629670,NA,1628391,1628470,1629670,1630241,203648,GSW,NA,1627814,1628539,1629673,1630164,202954,2020-12-25,4,100,15-7 Average,43,89,155,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/705/953bcb33-8c4f-fede-17a4-7db0d59363ae_960x540.mp4
Jrue Holiday,201950,NA,1628978,201572,201950,203114,203507,NYK,NA,1629011,1629628,203493,203901,203944,2020-12-27,1,580,15-7 Average,-2,-147,195,Arc3,NA,FALSE,NA,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000036/36/6e5144cd-f9f4-dfed-1b0f-f87757b4f098_960x540.mp4
Jrue Holiday,201950,NA,1626171,1628978,201950,203114,203507,NYK,NA,1629011,1629628,203493,203901,203944,2020-12-27,1,418,15-7 Average,-4,62,252,Arc3,NA,FALSE,NA,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000036/69/a9d480b2-a7d6-343f-b26c-41ae64202457_960x540.mp4
D.J. Augustin,201571,NA,1626192,1628391,201571,201572,203114,NYK,NA,1628995,1629011,1629628,202692,203901,2020-12-27,3,80,15-7 Average,-18,111,236,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000036/496/112eeb8b-a1d3-acb0-eeb0-7a3c3e2fa215_960x540.mp4
D.J. Augustin,201571,NA,1626192,1627854,201571,201572,203507,NYK,NA,1628373,1628995,1629011,202692,203944,2020-12-27,3,67,15-7 Average,-17,231,124,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000036/512/f4fd0400-6c38-3a18-9409-f81ed561181c_960x540.mp4
Donte DiVincenzo,1628978,NA,1626171,1626192,1628978,201571,203648,MIA,NA,1629134,1629639,1630173,202340,203482,2020-12-29,3,137,15-7 Average,35,-150,233,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000051/466/7916e4a9-fe3b-7646-1375-0f9a6d72fe49_960x540.mp4
Donte DiVincenzo,1628978,NA,1626171,1626192,1628978,201571,203648,MIA,NA,1629134,1629639,1630173,202340,203482,2020-12-29,3,66,15-7 Average,36,-90,263,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000051/475/af88fa0b-7f92-32e3-d302-3303a9e8649c_960x540.mp4
Bryn Forbes,1627854,Giannis Antetokounmpo,1626192,1627854,1628978,201572,203507,MIA,NA,1628389,1629134,1629216,201609,203482,2020-12-30,2,548,18-15 Early,1,67,143,LongMidRange,TRUE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000058/207/ee09ca5c-3fc1-d435-22ef-8cc6d1743561_960x540.mp4
Brook Lopez,201572,NA,1627854,1628978,201572,203114,203507,MIA,NA,1629134,1629216,1630173,202340,203482,2020-12-30,2,495,15-7 Average,2,-14,16,AtRim,NA,TRUE,NA,NA,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000058/225/e625be4b-4da5-4852-0619-c1b8b2b607a7_960x540.mp4
Brook Lopez,201572,NA,1627854,1628978,201572,203114,203507,MIA,NA,1629134,1629216,1630173,202340,203482,2020-12-30,2,493,15-7 Average,2,0,0,AtRim,NA,TRUE,NA,NA,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000058/227/28c58302-cfc2-bff7-ec7a-c6303cc9c0a5_960x540.mp4
Brook Lopez,201572,NA,1627854,1628978,201572,203114,203507,MIA,NA,1629134,1629216,1630173,202340,203482,2020-12-30,2,493,15-7 Average,2,0,0,AtRim,NA,TRUE,NA,NA,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000058/229/eb509560-8c4f-26df-2487-af6de5e09318_960x540.mp4
Bryn Forbes,1627854,NA,1627854,201572,201950,203114,203507,MIA,NA,1629134,1629216,1630173,202340,203482,2020-12-30,2,389,18-15 Early,4,-53,35,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/30/0022000058/256/7e6b7ab5-0c1f-ae27-0238-f83c651bcddf_960x540.mp4
