player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Jarred Vanderbilt,1629020,NA,1627736,1629006,1629020,1629675,201937,NOP,NA,1627742,1628366,1629627,202339,203500,2021-01-23,1,701,15-7 Average,0,-6,0,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000246/7/4b8f3ccb-3669-0ddb-b60c-2609ff05488f_960x540.mp4
Jarred Vanderbilt,1629020,NA,1627736,1629006,1629020,1629675,201937,NOP,NA,1627742,1628366,1629627,202339,203500,2021-01-23,1,544,15-7 Average,2,-14,22,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000246/34/89370111-b835-c46d-3dc6-adc320a14968_960x540.mp4
Anthony Edwards,1630162,NA,1629633,1630162,1630183,201937,202334,NOP,NA,1627742,1628404,1629637,1629638,202339,2021-01-23,3,155,15-7 Average,10,-228,75,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000246/452/40338af2-d61a-96ff-6fbc-f7c9738fe439_960x540.mp4
Anthony Edwards,1630162,NA,1629162,1629633,1630162,1630183,202334,NOP,NA,1628404,1629627,1629637,1629638,200755,2021-01-23,3,59,15-7 Average,11,-182,193,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000246/468/08698a6f-5d72-e9b4-d296-833f1d911036_960x540.mp4
Malik Beasley,1627736,NA,1627736,1629006,1629162,1630183,202334,NOP,NA,1627742,1628366,1628404,1629627,1629638,2021-01-23,4,424,15-7 Average,16,-230,88,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000246/548/3e07ed35-cec1-41a3-0938-737768f68a99_960x540.mp4
Malik Beasley,1627736,NA,1627736,1629006,1629020,1629633,201937,NOP,NA,1627742,1628366,1628404,1629627,202339,2021-01-23,4,210,15-7 Average,12,-114,228,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000246/612/7b26c00d-8b39-b31d-23e8-3ebc90616ff2_960x540.mp4
Jarrett Culver,1629633,Karl-Anthony Towns,1626157,1627736,1629006,1629633,201937,DET,NA,1628367,1629004,1630165,201933,203486,2020-12-23,2,413,15-7 Average,-12,-2,4,AtRim,TRUE,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/238/84fc3f43-49c7-a4fc-9cd5-2256415bfdb2_960x540.mp4
Jarrett Culver,1629633,NA,1626157,1627736,1629006,1629633,201937,DET,NA,1628367,1629004,1630165,201933,203486,2020-12-23,2,317,15-7 Average,-12,2,6,AtRim,FALSE,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/252/9a15a1c8-0a59-f9bd-a442-dea4706844ac_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1626157,1627736,1627774,1629006,UTA,NA,1626220,1628378,201144,202711,203497,2020-12-26,1,628,18-15 Early,-4,-16,84,ShortMidRange,FALSE,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/17/d8d2e78e-00c4-7495-688c-fe904822fed7_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1626157,1627736,1627774,1629006,UTA,NA,1626220,1628378,201144,202711,203497,2020-12-26,1,458,18-15 Early,-1,57,183,LongMidRange,FALSE,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/50/3828f0bd-c84a-462e-6407-6b1dab4ee676_960x540.mp4
Malik Beasley,1627736,NA,1626156,1627736,1629633,1629675,201937,UTA,NA,1626220,1628378,201144,203497,204060,2020-12-26,2,171,22-18 Very Early,8,23,11,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/328/4f8ed4f6-fbff-ab14-c11f-355543ebd8dc_960x540.mp4
Malik Beasley,1627736,NA,1626156,1627736,1629633,1629675,201937,UTA,NA,1626220,1628378,1629752,201144,204060,2020-12-26,2,39,22-18 Very Early,12,88,66,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/358/724ce8ca-389d-517c-9e3b-351cca7f8f61_960x540.mp4
Karl-Anthony Towns,1626157,NA,1626156,1626157,1627736,1627774,1629006,UTA,NA,1626220,1628378,201144,202324,202711,2020-12-26,3,626,15-7 Average,12,-47,59,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/398/fc244054-fa77-9219-62c2-1bccd524a919_960x540.mp4
Karl-Anthony Towns,1626157,NA,1626156,1626157,1627736,1627774,1629006,UTA,NA,1626220,1628378,201144,202324,202711,2020-12-26,3,623,15-7 Average,12,-11,44,ShortMidRange,NA,TRUE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/400/9a72d2dc-7e30-884b-0f1a-0573fe74332d_960x540.mp4
Ricky Rubio,201937,NA,1626157,1627736,1629006,1630162,201937,UTA,NA,1626220,1628378,202324,202711,203903,2020-12-26,4,579,15-7 Average,9,-228,115,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/608/f8fc6de9-2142-3817-88de-a22341009199_960x540.mp4
Karl-Anthony Towns,1626157,NA,1626156,1626157,1627736,1629006,1630162,UTA,NA,1626220,1628378,202324,202711,203903,2020-12-26,4,521,15-7 Average,5,-24,17,AtRim,FALSE,TRUE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/618/dfb48377-9183-d1f5-8d79-0726d673771d_960x540.mp4
Karl-Anthony Towns,1626157,NA,1626156,1626157,1627736,1629006,1630162,UTA,NA,1626220,1628378,202324,202711,203903,2020-12-26,4,433,15-7 Average,5,-34,75,ShortMidRange,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/638/df4a541e-d5d9-8f7b-fd8d-ab0306cbc5d5_960x540.mp4
Josh Okogie,1629006,NA,1626156,1626157,1627736,1629006,1630162,UTA,NA,1626220,201144,202324,202711,203903,2020-12-26,4,398,15-7 Average,8,5,26,AtRim,FALSE,TRUE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/650/6d422fe2-c8d1-888b-46a2-c78af761ce38_960x540.mp4
Ricky Rubio,201937,NA,1626156,1627736,1629006,1629675,201937,UTA,NA,1626220,1628378,201144,202711,203497,2020-12-26,4,156,15-7 Average,7,234,50,Corner3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/699/047ad4e3-9fbe-852b-9c19-3642cf09c6d8_960x540.mp4
Josh Okogie,1629006,Naz Reid,1626156,1627736,1629006,1629675,201937,UTA,NA,1626220,1628378,201144,202711,203497,2020-12-26,4,94,15-7 Average,6,10,6,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/706/ce9e210d-3332-0ef3-73f1-a72f9255341e_960x540.mp4
Malik Beasley,1627736,D'Angelo Russell,1626156,1627736,1627774,1629006,1629675,LAL,NA,1628398,201188,203471,203484,2544,2020-12-27,1,596,18-15 Early,-7,154,61,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/27/dcdaed30-e99c-19e8-7ec0-ba7e682ffad0_960x540.mp4
Naz Reid,1629675,NA,1626156,1627736,1627774,1629006,1629675,LAL,NA,1628398,201188,203471,203484,2544,2020-12-27,1,543,15-7 Average,-11,-4,13,AtRim,FALSE,TRUE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/38/5a9e01ec-49b3-b823-4530-23547b7dc9d9_960x540.mp4
Naz Reid,1629675,Josh Okogie,1626156,1627736,1629006,1629675,1630162,LAL,NA,1628398,201188,203471,203484,2544,2020-12-27,1,387,15-7 Average,-11,-8,77,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/63/4998ec12-4dc9-56aa-34db-9f7465883ee7_960x540.mp4
Jarrett Culver,1629633,NA,1626156,1629633,1630162,201937,202334,LAL,NA,1626149,1627936,1628398,202083,203471,2020-12-27,1,228,15-7 Average,-16,126,231,Arc3,NA,FALSE,NA,NA,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/111/4822f8bc-d990-42b7-0553-d0b2cb972fc0_960x540.mp4
Jarrett Culver,1629633,NA,1627736,1629633,1630162,201937,202334,LAL,NA,1626149,1627936,202083,202693,2544,2020-12-27,1,109,15-7 Average,-20,23,273,Arc3,NA,FALSE,NA,NA,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/143/cc25f05c-9922-9427-e894-21900d6e04f8_960x540.mp4
Malik Beasley,1627736,NA,1627736,1629633,1630162,201937,202334,LAL,NA,1626149,1627936,202083,202693,2544,2020-12-27,1,92,18-15 Early,-20,30,27,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/147/5a42bac1-f2d8-5d76-057f-754095b2869f_960x540.mp4
Anthony Edwards,1630162,NA,1627736,1627823,1630162,201937,202334,LAL,Markieff Morris,1626149,1627936,202083,202693,2544,2020-12-27,2,707,15-7 Average,-17,-22,57,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/188/5b574df4-220e-d1c8-0290-42997cde06f2_960x540.mp4
Malik Beasley,1627736,NA,1627736,1627823,1630162,201937,202334,LAL,NA,1626149,1627936,202083,202693,2544,2020-12-27,2,651,18-15 Early,-18,20,22,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/203/54fd8649-73f6-b683-281b-cfb4d054356e_960x540.mp4
Anthony Edwards,1630162,NA,1626156,1627736,1629020,1629675,1630162,LAL,NA,1628398,201188,203471,203484,2544,2020-12-27,2,112,15-7 Average,-24,103,130,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/350/12663a0a-27d3-34cb-4032-6e79dd7ded94_960x540.mp4
Malik Beasley,1627736,NA,1626156,1627736,1629020,1629675,1630162,LAL,NA,1628398,201188,203471,203484,2544,2020-12-27,2,88,18-15 Early,-24,-15,15,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/353/217c0944-0608-1ca8-a8c0-23e58c140b1e_960x540.mp4
Anthony Edwards,1630162,Malik Beasley,1627736,1629633,1629675,1630162,201937,LAL,NA,1628398,201188,203471,203484,2544,2020-12-27,3,349,15-7 Average,-29,93,138,LongMidRange,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/469/93ebef16-0c41-dbf3-0d67-b5ee0c3e718a_960x540.mp4
Anthony Edwards,1630162,Ricky Rubio,1627736,1629633,1630162,201937,202334,LAL,NA,201188,202083,203471,203484,2544,2020-12-27,3,283,15-7 Average,-30,-13,6,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/487/979c3908-dc9e-7c7b-e768-116f1903c0fc_960x540.mp4
Ed Davis,202334,NA,1627774,1629162,1630162,201937,202334,LAL,Marc Gasol,201188,202083,203471,203484,2544,2020-12-27,3,209,15-7 Average,-32,3,7,AtRim,NA,TRUE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/501/c18229bc-7423-d916-ab66-ae372129aa9c_960x540.mp4
Ed Davis,202334,NA,1627774,1629162,1630162,201937,202334,LAL,Montrezl Harrell,1626149,1628398,1629659,202083,202693,2020-12-27,3,32,15-7 Average,-32,14,10,AtRim,NA,TRUE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/542/64ce1b06-64b1-b6b6-18b6-06a955d77179_960x540.mp4
Jordan McLaughlin,1629162,NA,1627774,1629020,1629162,1629633,1630183,LAL,NA,1626188,1628035,1628961,1629659,201162,2020-12-27,4,455,15-7 Average,-36,100,226,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/619/478ada08-bc5b-eb46-4a62-562e555f21c8_960x540.mp4
Jordan McLaughlin,1629162,NA,1629020,1629162,1629633,1630162,1630183,LAL,NA,1626188,1628035,1628961,1629659,201162,2020-12-27,4,180,15-7 Average,-41,-210,146,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000040/678/51ad3e68-edf2-efff-489c-3200ca3ce713_960x540.mp4
Malik Beasley,1627736,NA,1626156,1627736,1629633,1629675,201937,LAC,NA,1628379,201586,201587,201976,202331,2020-12-29,1,609,15-7 Average,4,-139,239,Arc3,NA,FALSE,2-4 Feet - Tight,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/28/c2514027-be52-b5b1-0dd2-e61a14e8633e_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627736,1629633,1629675,201937,LAC,NA,1628379,201586,201587,201976,202331,2020-12-29,1,553,15-7 Average,6,139,262,Arc3,NA,FALSE,NA,NA,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/44/20d80e2a-0fb2-0e6e-3a42-ae65007b4fe4_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1629162,1629633,1629675,1630162,LAC,NA,101150,1627826,201587,202331,202704,2020-12-29,1,174,15-7 Average,2,-171,205,Arc3,NA,FALSE,NA,NA,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/121/2aad5c56-976e-d55e-2a84-16afe5bc1d9d_960x540.mp4
Malik Beasley,1627736,NA,1627736,1627774,1629162,1630162,202334,LAC,NA,101150,1627826,1628379,1629611,202704,2020-12-29,1,59,15-7 Average,-2,-236,31,Corner3,NA,FALSE,2-4 Feet - Tight,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/157/acbdf121-3010-b795-199c-70c752114602_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627774,1627823,1630162,202334,LAC,NA,101150,1627826,1628379,1629611,202704,2020-12-29,2,706,15-7 Average,-4,-113,110,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/181/de96b1f4-9fa8-b476-dfdd-7b938cfd3013_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627774,1627823,1630162,202334,LAC,NA,101150,1627826,1628379,1629611,202704,2020-12-29,2,681,15-7 Average,-4,-33,109,ShortMidRange,FALSE,FALSE,6+ Feet - Wide Open,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/189/0abab3ea-4bd3-f354-4bb6-9ad6f3e2ae68_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627774,1627823,1630162,202334,LAC,NA,101150,1627826,1628379,1629611,202704,2020-12-29,2,625,15-7 Average,-6,52,136,LongMidRange,FALSE,FALSE,6+ Feet - Wide Open,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/199/2f3ac3cf-73dd-be30-911a-efd2af956a3b_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627736,1629633,1629675,201937,LAC,NA,101150,201586,201587,201976,202331,2020-12-29,2,248,15-7 Average,-17,99,127,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000054/294/191c5942-13f0-604d-bf25-95145d46dda9_960x540.mp4
Malik Beasley,1627736,NA,1626156,1627736,1629633,1629675,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,1,665,18-15 Early,-5,-58,245,Arc3,FALSE,FALSE,NA,NA,1 Dribble,3,TRUE,NA,FALSE,NA
Malik Beasley,1627736,NA,1626156,1627736,1629633,1629675,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,1,597,18-15 Early,-8,66,51,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,NA
Malik Beasley,1627736,D'Angelo Russell,1626156,1627736,1629633,1629675,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,1,572,18-15 Early,-8,43,115,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,NA
Malik Beasley,1627736,NA,1626156,1627736,1629633,1629675,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,1,484,18-15 Early,-8,-33,48,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,NA
Naz Reid,1629675,Ricky Rubio,1627736,1629633,1629675,1630162,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,1,313,15-7 Average,-10,2,4,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,NA
Naz Reid,1629675,Ricky Rubio,1627736,1629633,1629675,1630162,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,1,284,15-7 Average,-8,-8,14,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,NA
Naz Reid,1629675,NA,1627736,1627823,1629675,1630162,201937,WAS,NA,1630166,201577,202722,203078,203526,2021-01-01,1,226,15-7 Average,-8,24,56,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,NA
Malik Beasley,1627736,Ricky Rubio,1627736,1627823,1629675,1630162,201937,WAS,NA,1630166,201577,202722,203078,203526,2021-01-01,1,204,18-15 Early,-8,-41,241,Arc3,TRUE,FALSE,NA,NA,1 Dribble,3,TRUE,NA,FALSE,NA
D'Angelo Russell,1626156,NA,1626156,1627823,1629633,1629675,1630162,WAS,NA,1628972,201577,202397,202722,203078,2021-01-01,1,108,18-15 Early,-4,-19,35,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,NA
D'Angelo Russell,1626156,NA,1626156,1627823,1629162,1630162,202334,WAS,NA,1628972,1629010,201577,202397,202722,2021-01-01,1,64,18-15 Early,-9,-26,152,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,NA
Ricky Rubio,201937,NA,1626156,1627736,1629633,1629675,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,3,703,15-7 Average,-3,5,25,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,FALSE,FALSE,NA
Ricky Rubio,201937,NA,1626156,1627736,1627774,1629675,201937,WAS,NA,1628418,1629060,1630166,203078,203526,2021-01-01,3,521,15-7 Average,-9,48,110,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,FALSE,FALSE,NA
Anthony Edwards,1630162,NA,1629020,1629162,1629633,1630162,1630183,WAS,NA,1628972,1629010,1629726,201577,202397,2021-01-01,4,531,15-7 Average,-35,-232,22,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,NA
Anthony Edwards,1630162,NA,1629020,1629162,1629633,1630162,1630183,WAS,NA,1628394,1628972,1629010,1629726,202397,2021-01-01,4,299,15-7 Average,-32,141,204,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,NA
Anthony Edwards,1630162,NA,1629020,1629162,1629675,1630162,1630183,WAS,NA,1628394,1629010,1629067,1629726,1630264,2021-01-01,4,67,15-7 Average,-27,-143,210,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,NA
D'Angelo Russell,1626156,NA,1626156,1627736,1627823,1629633,202334,DEN,NA,1627750,200794,203115,203914,203999,2021-01-03,1,659,15-7 Average,0,-49,95,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/16/cd11d8a9-fd43-b167-b6c4-33f6f5d3278f_960x540.mp4
Juancho Hernangomez,1627823,NA,1626156,1627736,1627823,1629633,202334,DEN,NA,1627750,200794,203115,203914,203999,2021-01-03,1,592,15-7 Average,-4,-11,14,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/25/fca462aa-33b8-d9f5-7a4b-84fe23167414_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627736,1627823,1629633,202334,DEN,NA,1627750,200794,203115,203914,203999,2021-01-03,1,430,15-7 Average,-9,-89,132,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/61/620ef600-32bc-eb06-820e-811c956c0b17_960x540.mp4
Juancho Hernangomez,1627823,NA,1627736,1627823,1629633,1629675,201937,DEN,NA,1627750,200794,203115,203914,203999,2021-01-03,1,385,15-7 Average,-11,23,48,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/75/887b6f4e-c7f3-2776-784f-208462850267_960x540.mp4
Ricky Rubio,201937,NA,1627774,1629162,1629675,1630162,201937,DEN,NA,1627750,1628408,1628420,1630267,203210,2021-01-03,2,621,15-7 Average,-1,20,24,AtRim,FALSE,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/185/cbf3648a-c955-c85a-2a4f-f5a834272463_960x540.mp4
Ricky Rubio,201937,Jordan McLaughlin,1627774,1629162,1629675,1630162,201937,DEN,NA,1627750,1628408,1628420,1630267,203210,2021-01-03,2,482,15-7 Average,-6,0,14,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/201/b662e28d-6bf8-0d77-d11e-0249b1ae6f29_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627736,1627774,1629633,202334,DEN,NA,1628408,1628420,1630267,203914,203999,2021-01-03,2,315,15-7 Average,-7,17,89,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/248/88e4c0c9-d99f-0351-8ae7-71397d82f585_960x540.mp4
D'Angelo Russell,1626156,NA,1626156,1627736,1627823,1629633,202334,DEN,NA,1627750,200794,203115,203914,203999,2021-01-03,2,241,15-7 Average,-12,-97,127,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000088/276/ebb7cc3b-45f9-5deb-1b80-7e51383c6d02_960x540.mp4
