player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Julius Randle,203944,NA,1629011,1629628,203493,203901,203944,SAC,NA,1626158,1627741,1628368,1628963,203084,2021-01-22,1,574,15-7 Average,1,-3,92,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/28/b2766583-277b-ba53-be93-76ab2690ccc7_960x540.mp4
Julius Randle,203944,NA,1629011,1629628,203493,203901,203944,SAC,NA,1626158,1627741,1628368,1630169,203084,2021-01-22,1,287,15-7 Average,-8,-40,92,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/81/a007934c-ae00-d757-74f0-9b0d6897b2a0_960x540.mp4
Kevin Knox II,1628995,NA,1628995,1630167,1630193,202692,203457,SAC,NA,1627741,1629002,1630169,202709,203922,2021-01-22,2,672,15-7 Average,3,-203,154,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/163/20653430-8a93-9334-d105-a129756479a1_960x540.mp4
Kevin Knox II,1628995,NA,1628995,1630167,1630193,202692,203457,SAC,NA,1627741,1629002,1630169,202709,203922,2021-01-22,2,604,15-7 Average,1,-237,5,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/179/8a737258-0699-28f2-7003-fed5d66aa3a3_960x540.mp4
Immanuel Quickley,1630193,NA,1628995,1630167,1630193,202692,203457,SAC,NA,1626158,1627741,1630169,202709,203922,2021-01-22,2,551,15-7 Average,2,-193,176,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/195/b09d71d0-1aed-6b80-3b6b-17e6f8877587_960x540.mp4
Immanuel Quickley,1630193,NA,1629011,1629628,1630167,1630193,202692,SAC,NA,1626158,1627741,1628368,1628963,203084,2021-01-22,2,353,15-7 Average,2,-16,259,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/247/926ecdbc-908d-4f5b-f655-ef91713f2757_960x540.mp4
RJ Barrett,1629628,NA,1629011,1629628,203493,203901,203944,SAC,NA,1626158,1627741,1628368,1628963,203084,2021-01-22,3,669,15-7 Average,5,-35,9,AtRim,NA,FALSE,NA,NA,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/345/37ad1000-453a-f2c3-7f7f-bf294e729970_960x540.mp4
RJ Barrett,1629628,NA,1629628,202692,203457,203901,203944,SAC,De'Aaron Fox,1626158,1628368,1628963,1630169,203084,2021-01-22,3,214,15-7 Average,-3,38,16,ShortMidRange,NA,FALSE,NA,NA,3-6 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/427/df118361-76b9-019a-6f5d-a78dfced1d1e_960x540.mp4
RJ Barrett,1629628,NA,1629628,1630167,1630193,202692,203457,SAC,NA,1626158,1628368,1628963,1630169,203084,2021-01-22,3,94,15-7 Average,-5,74,177,LongMidRange,NA,FALSE,NA,NA,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/466/f2c9c38e-03ce-8456-ad81-a6232d6472bc_960x540.mp4
Obi Toppin,1630167,NA,1628995,1630167,1630193,202692,203457,SAC,NA,1627741,1629002,1630169,202709,203922,2021-01-22,4,676,7-4 Late,-7,-42,103,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/507/d8e55a20-4f2d-9f3c-759c-7e46293f39a7_960x540.mp4
Obi Toppin,1630167,NA,1628995,1630167,1630193,202692,203457,SAC,Chimezie Metu,1627741,1629002,1630169,202709,203922,2021-01-22,4,632,7-4 Late,-7,-29,13,AtRim,NA,FALSE,NA,Touch 2-6 Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/516/f80b4214-cb8b-c32a-e2a5-dea5a369afc8_960x540.mp4
RJ Barrett,1629628,Julius Randle,1629011,1629628,203493,203901,203944,IND,NA,1626167,1627734,1627763,203506,203933,2020-12-23,1,562,15-7 Average,-4,-190,193,Arc3,TRUE,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/30/218745e7-4b5b-8790-9663-e11d7d82196d_960x540.mp4
RJ Barrett,1629628,Reggie Bullock,1629011,1629628,203493,203901,203944,IND,NA,1626167,1627734,1627763,203506,203933,2020-12-23,1,533,15-7 Average,-4,183,200,Arc3,TRUE,FALSE,6+ Feet - Wide Open,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/34/efa0f05b-1ea0-6a4e-794c-617fc57cbcba_960x540.mp4
Julius Randle,203944,NA,1628995,1630167,1630193,202692,203944,IND,NA,1627734,1627763,203506,203926,203933,2020-12-23,2,354,15-7 Average,-2,-10,20,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/264/eb606f7e-2bdd-31e1-69f4-e3f328f6ac7b_960x540.mp4
Julius Randle,203944,NA,1629628,1630167,202692,203901,203944,IND,Myles Turner,1626167,1627734,1627763,1628988,203933,2020-12-23,2,112,15-7 Average,3,-9,13,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000011/329/e3618791-7f1b-d67d-0e9c-0945e162c335_960x540.mp4
