player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Moses Brown,1629650,NA,1629650,1629652,1629676,1630177,1630197,HOU,NA,1626174,1627863,1630256,202322,203506,2021-03-21,1,600,15-7 Average,2,-20,9,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/21/5188e73c-eea6-37a3-da9c-51e4a241db57_960x540.mp4
Moses Brown,1629650,Svi Mykhailiuk,1629004,1629026,1629650,1629660,1630177,HOU,NA,1627863,1628391,1628425,1629645,203506,2021-03-21,1,51,15-7 Average,5,1,24,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/138/7a47dc50-c923-3080-173e-595163a42b19_960x540.mp4
Justin Jackson,1628382,Svi Mykhailiuk,1628382,1629004,1629026,1629650,1629660,HOU,NA,1628391,1628425,1629645,1630231,203506,2021-03-21,2,563,18-15 Early,5,228,9,Corner3,TRUE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/176/29549bb4-e667-a7cd-1670-9bcd7f135fc4_960x540.mp4
Justin Jackson,1628382,NA,1628382,1629004,1629026,1629660,1629676,HOU,NA,1626174,1628425,1630256,202322,203506,2021-03-21,2,372,18-15 Early,6,160,208,Arc3,FALSE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/218/ad30d83b-e338-bcf8-9306-7bfa93f77533_960x540.mp4
Isaiah Roby,1629676,Ty Jerome,1629652,1629660,1629676,1630177,1630197,HOU,NA,1626174,1627863,1629645,1630231,202322,2021-03-21,3,324,15-7 Average,4,22,10,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/401/fb9c00bb-8f69-2d6b-672d-ea86b85f6b81_960x540.mp4
Isaiah Roby,1629676,Aleksej Pokusevski,1629652,1629660,1629676,1630177,1630197,HOU,NA,1626174,1627863,1629645,1630231,202322,2021-03-21,3,252,15-7 Average,4,6,26,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/417/ed8d64ff-b7da-37dc-f422-82b1525f6b44_960x540.mp4
Svi Mykhailiuk,1629004,Kenrich Williams,1629004,1629026,1629652,1629660,1629676,HOU,NA,1626174,1627863,1630256,202322,203506,2021-03-21,4,403,15-7 Average,3,237,1,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/551/596ed6ce-fb63-304a-fc8d-201fdff16d53_960x540.mp4
Svi Mykhailiuk,1629004,Kenrich Williams,1629004,1629026,1629652,1629660,1629676,HOU,NA,1626174,1627863,1630256,202322,203506,2021-03-21,4,296,15-7 Average,2,-231,55,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/568/602200ca-4b05-e399-4dd2-cd91714e071c_960x540.mp4
Shai Gilgeous-Alexander,1628983,NA,1628983,1629647,1629652,201143,201588,CHA,NA,1626179,1628984,1629023,202330,202687,2020-12-26,1,577,18-15 Early,-2,1,10,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/23/c509c00b-0ea6-2f1a-933c-54e0336e021c_960x540.mp4
Luguentz Dort,1629652,NA,1628983,1629647,1629652,201143,201588,CHA,Bismack Biyombo,1626179,1628984,1629023,202330,202687,2020-12-26,1,472,15-7 Average,0,44,16,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/41/11eb6437-bd86-4d82-83f5-75f09e0cac6b_960x540.mp4
Luguentz Dort,1629652,NA,1628977,1628983,1629647,1629652,203488,CHA,NA,1626179,1628970,1628998,1629023,1630163,2020-12-26,1,198,15-7 Average,1,-22,-6,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/103/ed02ca1d-c778-0ac1-9a7e-27fd4aabc7fa_960x540.mp4
Shai Gilgeous-Alexander,1628983,NA,1628977,1628983,1629647,1629652,203488,CHA,Miles Bridges,1628970,1628984,1628998,1629023,1630163,2020-12-26,1,170,18-15 Early,3,-19,11,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/111/3643865a-f176-8cff-0943-65caed9afbbf_960x540.mp4
Luguentz Dort,1629652,NA,1628983,1629026,1629652,1630177,203488,CHA,NA,1626179,1628970,1628998,1629023,1630163,2020-12-26,2,344,15-7 Average,-7,7,25,AtRim,FALSE,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/269/19b6f58e-9862-2af5-a22d-38edd2d2706f_960x540.mp4
