player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Aaron Gordon,203932,NA,1628365,1628407,202696,203095,203932,MIA,NA,1628389,1629130,1629639,202710,203090,2020-12-23,1,596,15-7 Average,-5,-146,199,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/27/3925bd5b-9abd-62e4-ac87-0de23df44028_960x540.mp4
Evan Fournier,203095,Dwayne Bacon,1628365,1628407,202696,203095,203932,MIA,NA,1628389,1629130,1629639,202710,203090,2020-12-23,1,490,22-18 Very Early,0,-4,19,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/48/de2eb739-16dc-7224-fec1-651120821797_960x540.mp4
Aaron Gordon,203932,NA,1628365,1628407,202696,203095,203932,MIA,NA,1628389,1629130,1629639,202710,203090,2020-12-23,1,430,15-7 Average,1,-154,198,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/60/1c2cae92-3215-ee14-1c33-f562fdb14daf_960x540.mp4
Evan Fournier,203095,NA,1628365,1628407,1629643,202696,203095,MIA,NA,1628389,1629130,201609,202710,203090,2020-12-23,1,314,22-18 Very Early,-1,-9,9,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/84/0268de12-360e-446f-9a55-6c9d9bac4d4e_960x540.mp4
Nikola Vucevic,202696,NA,1629643,1630175,202696,203082,203095,MIA,NA,1628389,1629130,201609,203482,2738,2020-12-23,1,219,15-7 Average,-4,100,99,LongMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/107/1d363e96-c4bb-10ed-86a5-3e9f79e3bc52_960x540.mp4
Nikola Vucevic,202696,NA,1629643,1630175,203082,203487,203920,MIA,Andre Iguodala,1629130,1630173,201609,203482,2738,2020-12-23,1,196,15-7 Average,-4,3,52,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/227/f71bcf5a-52f2-9393-03de-0428f293388e_960x540.mp4
Nikola Vucevic,202696,NA,1628365,202696,203082,203487,203932,MIA,NA,1628389,1629130,1629639,202710,203090,2020-12-23,2,372,15-7 Average,1,-22,152,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/238/729d679d-bb1f-81f7-45b2-91154b18afe2_960x540.mp4
Dwayne Bacon,1628407,NA,1628365,1628407,1629643,202696,203095,MIA,NA,1628389,1629130,1629639,202710,203090,2020-12-23,2,163,15-7 Average,3,9,30,AtRim,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/279/876c8dcf-96d2-0a10-e02b-b5b195c56006_960x540.mp4
Nikola Vucevic,202696,NA,1628407,1629643,1630175,202696,203095,MIA,NA,1629639,1630173,201609,202710,203090,2020-12-23,2,48,15-7 Average,3,-154,95,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/312/4f49ef58-5e46-0d82-bc4d-70bea8c5fc74_960x540.mp4
Dwayne Bacon,1628407,NA,1628407,1629643,1630175,202696,203095,MIA,NA,1629639,1630173,201609,202710,203090,2020-12-23,2,24,15-7 Average,3,38,99,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000012/317/52e3fdd1-dbaf-1565-c105-c51234afb54c_960x540.mp4
