player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Joel Embiid,203954,NA,1627732,1630178,201980,203552,203954,DET,NA,1629004,1629635,1630240,203486,203924,2021-01-23,2,383,15-7 Average,-11,16,15,AtRim,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/241/950390ff-eb69-22b0-84cd-65e1b5ee4ff9_960x540.mp4
Joel Embiid,203954,NA,1627732,201980,202699,203552,203954,DET,NA,1626153,1629635,201961,203486,203924,2021-01-23,2,325,15-7 Average,-8,-100,15,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/260/48878e50-95bd-a12e-999e-06896624125e_960x540.mp4
Joel Embiid,203954,NA,1627732,201980,202699,203552,203954,DET,NA,1626153,1629635,1630191,201961,203924,2021-01-23,2,238,15-7 Average,-8,-9,6,AtRim,FALSE,TRUE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/283/4e1c3751-2608-76d6-8be3-a7085e985b29_960x540.mp4
Shake Milton,1629003,NA,1627788,1629003,1630178,203118,2730,NYK,NA,1628372,1628995,202692,203457,203493,2020-12-26,2,680,22-18 Very Early,0,-32,13,AtRim,FALSE,FALSE,NA,Touch 6+ Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000025/176/51203194-6a93-3beb-b32b-2611290ce374_960x540.mp4
Furkan Korkmaz,1627788,NA,1627788,1629003,1630178,203118,2730,NYK,NA,1628372,1628995,1629011,202692,203493,2020-12-26,2,497,15-7 Average,2,-122,216,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000025/214/3d96842d-d29c-e8ce-4e2c-be0a344bd215_960x540.mp4
Shake Milton,1629003,NA,1627788,1629003,1630178,203118,2730,NYK,NA,1628372,1628995,1629011,202692,203493,2020-12-26,2,442,22-18 Very Early,2,1,14,AtRim,FALSE,FALSE,NA,Touch 6+ Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000025/222/844860e3-7158-e685-593c-defc0b92377e_960x540.mp4
Furkan Korkmaz,1627788,NA,1627788,1629003,203118,203552,2730,NYK,NA,1629011,1629628,202692,203493,203944,2020-12-26,2,422,15-7 Average,2,96,264,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000025/233/91a5ddee-1308-69e0-522a-2f2274cb0ae2_960x540.mp4
Joel Embiid,203954,Seth Curry,1627732,201980,202699,203552,203954,NYK,NA,1628995,1629011,1629628,202692,203944,2020-12-26,2,257,15-7 Average,-1,9,52,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000025/276/c608399e-6c29-8967-ee40-3cb54230665b_960x540.mp4
Joel Embiid,203954,Ben Simmons,1627732,201980,202699,203552,203954,NYK,NA,1628995,1629011,1629628,202692,203944,2020-12-26,2,225,15-7 Average,2,-11,11,AtRim,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000025/283/e0f61b39-5f5a-5ef2-608e-a97939bd6491_960x540.mp4
Joel Embiid,203954,Ben Simmons,1627732,201980,203118,203552,203954,NYK,NA,1628995,1629628,202692,203457,203944,2020-12-26,2,69,15-7 Average,4,-49,69,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000025/319/a711f621-f05b-f3d8-310e-1fbb57b9a501_960x540.mp4
