player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Jae Crowder,203109,NA,101108,1628969,1629028,1629661,203109,DEN,NA,1627750,200794,203115,203914,203999,2021-01-23,3,653,15-7 Average,3,68,239,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/344/2fed6b67-d0a0-71b8-7993-f7f3e386efd9_960x540.mp4
Jae Crowder,203109,NA,1626163,1626166,1628975,1629661,203109,DEN,NA,1627750,1628420,1629008,203210,203999,2021-01-23,3,261,15-7 Average,6,-64,253,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000248/422/2e3b54ba-1a24-0997-879e-ef2c259f8b31_960x540.mp4
Chris Paul,101108,NA,101108,1626164,1628969,1629028,203109,SAC,Harrison Barnes,1626158,1627741,1628368,1628963,203084,2020-12-26,1,655,15-7 Average,-4,22,27,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/15/4160cc4a-4e96-ee9d-d481-5bef7643c0ac_960x540.mp4
Chris Paul,101108,NA,101108,1626164,1627745,1629661,203109,SAC,Hassan Whiteside,1627741,202355,202357,202709,203084,2020-12-26,1,250,15-7 Average,-7,16,13,AtRim,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/98/390b2ac6-f599-4b33-e5ae-a668915ad973_960x540.mp4
Mikal Bridges,1628969,NA,101108,1626164,1628969,1629028,203109,SAC,NA,1626158,1627741,1628368,1628963,203084,2020-12-26,3,675,22-18 Very Early,-4,-232,18,Corner3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/363/ab5fcdaf-5fda-d214-fceb-908e0b535e72_960x540.mp4
Devin Booker,1626164,NA,101108,1626164,1628969,1629028,203109,SAC,NA,1626158,1627741,1628368,1628963,203084,2020-12-26,3,656,15-7 Average,-6,106,-21,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/370/206bf04d-83e3-8b65-5e2e-5deff6df320b_960x540.mp4
Devin Booker,1626164,NA,101108,1626164,1628969,1629028,203109,SAC,NA,1626158,1627741,1628368,1628963,203084,2020-12-26,3,512,15-7 Average,3,58,151,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/395/b2694480-db35-b24d-00e7-21f0b017cb72_960x540.mp4
Mikal Bridges,1628969,NA,101108,1626164,1628969,1629028,203109,SAC,NA,1626158,1627741,1628368,1628963,203084,2020-12-26,3,450,22-18 Very Early,2,-193,159,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/408/79e52ab4-8410-4ff2-b0a6-a94cfde9c36b_960x540.mp4
Langston Galloway,204038,NA,1626164,1626166,1627745,1629661,204038,SAC,NA,1630169,202355,202357,202709,203922,2020-12-26,3,231,15-7 Average,2,225,25,Corner3,NA,FALSE,4-6 Feet - Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/483/5bb10305-4e0e-95bf-7b99-6a96bb905b05_960x540.mp4
Devin Booker,1626164,NA,1626164,1626166,1627745,1629661,204038,SAC,NA,1630169,202355,202357,202709,203922,2020-12-26,3,209,15-7 Average,2,75,180,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/489/59979151-b3b0-bf81-2612-002d021fff51_960x540.mp4
