player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Damian Lillard,203081,NA,1626181,202683,203081,203496,2546,MEM,NA,1626159,1628415,1629001,1629634,1630214,2021-04-25,3,173,18-15 Early,-12,-89,94,ShortMidRange,FALSE,FALSE,NA,Touch 6+ Seconds,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/04/25/0022000240/484/a891245d-1a9e-0fc0-0e6a-57ddf2b29bdf_960x540.mp4
CJ McCollum,203468,NA,1629014,1629642,202683,203468,2546,MEM,NA,1626159,1629001,1629634,1630217,202685,2021-04-25,4,488,18-15 Early,-4,-74,281,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/25/0022000240/587/a1cea24e-cc71-91ac-e647-2e3df57698a8_960x540.mp4
CJ McCollum,203468,NA,1629014,1629642,202683,203468,2546,MEM,NA,1626159,1629001,1629634,1630217,202685,2021-04-25,4,455,18-15 Early,-6,-95,264,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/04/25/0022000240/591/1660a4c1-fbc1-47f2-c25a-f96f19d003e7_960x540.mp4
CJ McCollum,203468,NA,1627884,203081,203468,203496,203994,HOU,NA,1626174,1627863,1628021,200782,201935,2020-12-26,1,703,15-7 Average,0,20,260,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000029/7/8bc5c832-34f3-731e-c9bc-26f6930fb119_960x540.mp4
Damian Lillard,203081,CJ McCollum,1627884,203081,203468,203496,203994,HOU,NA,1626174,1627863,1628021,200782,201935,2020-12-26,1,595,15-7 Average,-2,-142,251,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000029/17/a8b7122b-2fe2-749e-f499-e12bf65afbb9_960x540.mp4
Damian Lillard,203081,CJ McCollum,1627884,203081,203468,203496,203994,HOU,NA,1626174,1627863,1628021,200782,201935,2020-12-26,1,559,15-7 Average,1,-154,211,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000029/20/053019b4-94b9-49f6-8ae1-70f4d35b3780_960x540.mp4
Jusuf Nurkic,203994,NA,1627884,203081,203468,203496,203994,HOU,NA,1626174,1627863,1628021,200782,201935,2020-12-26,1,425,15-7 Average,4,-45,20,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000029/43/b1eb7fbb-2ceb-63ef-ffa2-4d57fb0c0538_960x540.mp4
CJ McCollum,203468,NA,1627884,203081,203468,203496,203994,HOU,NA,1626174,1627863,1628021,200782,201935,2020-12-26,1,372,15-7 Average,2,96,246,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000029/53/abd085ce-e951-25be-4aae-f7644f9c485c_960x540.mp4
Jusuf Nurkic,203994,NA,1627884,203081,203468,203496,203994,HOU,NA,1626174,1627863,1628021,200782,201935,2020-12-26,1,367,15-7 Average,2,-51,7,ShortMidRange,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000029/55/c09a56da-9051-b90a-322b-b2ab882047b5_960x540.mp4
CJ McCollum,203468,NA,202683,203081,203468,203918,2546,HOU,NA,1627863,1628425,1630256,200782,201935,2020-12-26,1,224,15-7 Average,-1,85,241,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000029/102/8a691200-a7da-7175-ed3a-3e63a82e6af3_960x540.mp4
