player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Buddy Hield,1627741,Harrison Barnes,1626158,1627741,1628368,1628963,203084,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-22,3,656,15-7 Average,-5,-95,237,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/349/eeaf2471-68f3-5ace-f2f9-1047bcdbece1_960x540.mp4
Buddy Hield,1627741,De'Aaron Fox,1626158,1627741,1628368,1628963,203084,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-22,3,329,15-7 Average,-2,-29,285,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/398/f5c7a4ee-7481-325d-2060-c81ffff6c6c7_960x540.mp4
Richaun Holmes,1626158,NA,1626158,1628368,1628963,1630169,203084,NYK,NA,1629628,1630167,1630193,202692,203457,2021-01-22,3,125,15-7 Average,5,-1,38,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/459/66c20a14-779d-b821-f83d-59848860b4fd_960x540.mp4
Richaun Holmes,1626158,NA,1626158,1628368,1628963,1630169,203084,NYK,NA,1629628,1630167,1630193,202692,203457,2021-01-22,3,122,15-7 Average,5,-1,48,ShortMidRange,NA,TRUE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/22/0022000241/461/e07f133a-4605-1af5-0a97-18086cceacb8_960x540.mp4
Buddy Hield,1627741,NA,1627741,1628963,1630169,202709,203084,DEN,NA,1628392,1628408,1628420,1629008,203914,2020-12-23,2,624,22-18 Very Early,-3,177,142,LongMidRange,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/196/ab728d72-9196-ad29-7f84-9ed4c03ae57a_960x540.mp4
Buddy Hield,1627741,NA,1627741,1628963,1630169,202709,203084,DEN,Gary Harris,1628392,1628408,1628420,1629008,203914,2020-12-23,2,559,22-18 Very Early,-5,-46,29,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/204/e5174997-05a4-644d-a73a-600c3b3351b5_960x540.mp4
Marvin Bagley III,1628963,Cory Joseph,1627741,1628963,1630169,202709,203084,DEN,NA,1627750,1628408,1628420,203914,203999,2020-12-23,2,496,15-7 Average,-5,22,58,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/223/cd48e3fc-99d7-4a74-c27a-5b1bea491d83_960x540.mp4
Buddy Hield,1627741,NA,1627741,1628963,1630169,202709,203084,DEN,NA,1627750,1628408,200794,203914,203999,2020-12-23,2,431,15-7 Average,-6,-228,75,Corner3,NA,FALSE,NA,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/245/9cd7dd95-fc71-113c-6124-d936e26d3cb3_960x540.mp4
Marvin Bagley III,1628963,Tyrese Haliburton,1627741,1628963,1630169,202709,203084,DEN,NA,1627750,1628408,200794,203914,203999,2020-12-23,2,410,15-7 Average,-6,43,8,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/249/b1f5825b-4239-d4ae-072c-fa20bb066a3b_960x540.mp4
Buddy Hield,1627741,NA,1626158,1627741,1628368,202357,203084,DEN,NA,1627750,200794,203115,203914,203999,2020-12-23,2,194,15-7 Average,-4,-147,209,Arc3,NA,FALSE,NA,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/291/df5e3efd-0a9e-2ce3-2796-e8292a109cc8_960x540.mp4
Richaun Holmes,1626158,NA,1626158,1627741,1628368,202357,203084,DEN,NA,1627750,200794,203115,203914,203999,2020-12-23,2,120,15-7 Average,-6,-6,24,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/308/5dafdd00-a29f-3a38-faf7-054216d971df_960x540.mp4
Nemanja Bjelica,202357,NA,1626158,1627741,1628368,202357,203084,DEN,NA,1627750,200794,203115,203914,203999,2020-12-23,2,90,15-7 Average,-9,0,0,AtRim,FALSE,TRUE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/314/0d8d6cbc-7336-82ac-2c3b-c67ad5e175ea_960x540.mp4
Richaun Holmes,1626158,NA,1626158,1627741,1628368,202357,203084,DEN,NA,1627750,200794,203115,203914,203999,2020-12-23,2,66,15-7 Average,-7,-78,59,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/317/6490c2a9-900a-fd80-6405-954be1028a61_960x540.mp4
Nemanja Bjelica,202357,Richaun Holmes,1626158,1627741,1628368,202357,203084,DEN,NA,1627750,200794,203115,203914,203999,2020-12-23,2,30,15-7 Average,-9,-26,11,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/323/0763cffc-1240-c29f-6a92-5d47e3ad756c_960x540.mp4
Harrison Barnes,203084,NA,1626158,1627741,1628368,1628963,203084,DEN,NA,1627750,1629008,200794,203914,203999,2020-12-23,3,709,15-7 Average,-7,67,23,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/343/758d1407-3909-7d2d-3f2a-1c45469b3720_960x540.mp4
Harrison Barnes,203084,NA,1626158,1627741,1628368,1628963,203084,DEN,NA,1627750,1629008,200794,203914,203999,2020-12-23,3,604,15-7 Average,-4,33,81,ShortMidRange,FALSE,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/363/308881a3-0a7a-a27f-44c8-d2abe5af09c9_960x540.mp4
Nemanja Bjelica,202357,NA,1628368,1630169,202355,202357,202709,DEN,PJ Dozier,1628408,1628420,1630267,203115,203999,2020-12-23,3,129,15-7 Average,1,81,42,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/477/de83b33e-b4ab-3cc6-6c1a-39fcf0ab663c_960x540.mp4
Nemanja Bjelica,202357,NA,1628368,1630169,202355,202357,202709,DEN,PJ Dozier,1628408,1628420,1630267,203115,203999,2020-12-23,3,125,15-7 Average,1,-23,46,ShortMidRange,NA,TRUE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/480/f318b57b-4226-101d-f81c-bab47f2dddd0_960x540.mp4
Buddy Hield,1627741,Cory Joseph,1627741,1628963,1630169,202709,203084,DEN,NA,1627750,1628392,1628420,1629008,203115,2020-12-23,4,609,22-18 Very Early,3,-228,28,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/536/8695b446-f036-91c4-ec88-f009e0146f49_960x540.mp4
Marvin Bagley III,1628963,NA,1627741,1628963,1630169,202709,203084,DEN,Michael Porter Jr.,1627750,1628392,1628420,1629008,203115,2020-12-23,4,566,15-7 Average,5,-33,41,ShortMidRange,NA,FALSE,0-2 Feet - Very Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/548/85b7e4cc-904e-6b86-dee5-f3429318fae0_960x540.mp4
Marvin Bagley III,1628963,NA,1627741,1628963,1630169,202709,203084,DEN,NA,1627750,1628392,1628420,1629008,203115,2020-12-23,4,562,15-7 Average,5,-19,43,ShortMidRange,NA,TRUE,0-2 Feet - Very Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/551/6bae9426-7dbb-f921-73e3-62c4e0da3234_960x540.mp4
Buddy Hield,1627741,Tyrese Haliburton,1627741,1628963,1630169,202709,203084,DEN,NA,1627750,1628392,1628420,1629008,203115,2020-12-23,4,523,22-18 Very Early,5,176,186,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/562/412bdcd0-d02f-9dce-10a8-35eec18b2176_960x540.mp4
Marvin Bagley III,1628963,NA,1626158,1627741,1628368,1628963,203084,PHX,NA,101108,1626164,1628969,1629028,203109,2020-12-26,3,668,22-18 Very Early,4,-18,25,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000030/365/a91f3156-9ea7-3721-509f-413619ab8c5b_960x540.mp4
