player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
LaMarcus Aldridge,200746,Dejounte Murray,1627749,1629640,1630170,200746,201988,MEM,NA,1626145,1628415,1629001,202685,203937,2020-12-23,2,406,15-7 Average,6,-133,94,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/224/eef6fa94-b00b-f0df-a4e8-0a3b0a4570f3_960x540.mp4
LaMarcus Aldridge,200746,Dejounte Murray,1627749,1629022,1629640,200746,201942,MEM,NA,1628415,1629001,1629630,202685,203937,2020-12-23,2,279,15-7 Average,10,-21,195,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/253/53e1a556-bd47-9091-6b37-cd4b4269a51a_960x540.mp4
Keldon Johnson,1629640,Dejounte Murray,1627749,1629022,1629640,200746,201942,MEM,NA,1628415,1629001,1629630,202685,203937,2020-12-23,2,219,15-7 Average,8,20,10,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/264/9a2c82b1-0697-7f2b-7859-a377bda1d7b8_960x540.mp4
LaMarcus Aldridge,200746,Dejounte Murray,1627749,1629022,1629640,200746,201942,MEM,NA,1628415,1629001,1629630,202685,203937,2020-12-23,2,197,15-7 Average,10,-68,193,LongMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/267/524db8bc-6685-fe02-56ae-5cddbdc4e950_960x540.mp4
LaMarcus Aldridge,200746,NA,1629022,1629640,200746,200752,201942,MEM,NA,1628415,1629001,1629630,1629634,203476,2020-12-23,2,131,15-7 Average,12,-33,72,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/285/d0fc2448-8264-4902-09de-ba9157d464f5_960x540.mp4
Keldon Johnson,1629640,DeMar DeRozan,1629022,1629640,200746,200752,201942,MEM,NA,1628415,1628960,1629630,1629634,203476,2020-12-23,2,28,15-7 Average,12,1,10,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,1 Dribble,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/313/844235c7-cd50-9683-128e-6481116643f7_960x540.mp4
LaMarcus Aldridge,200746,NA,1627749,1629022,1629640,200746,201942,MEM,NA,1628415,1628960,1629630,202685,203937,2020-12-23,3,631,15-7 Average,13,-101,139,LongMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/338/cab39c81-7a50-c68c-ccf3-1c34a36b6d92_960x540.mp4
LaMarcus Aldridge,200746,NA,1627749,1629022,1629640,200746,201942,MEM,NA,1628415,1628960,1629630,202685,203937,2020-12-23,3,419,15-7 Average,10,-2,27,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/390/867baa44-2f8b-537d-c1a8-b9bac40af870_960x540.mp4
Jakob Poeltl,1627751,NA,1627749,1627751,1630170,200752,201988,MEM,NA,1628960,1629001,1629630,1629634,203937,2020-12-23,4,676,15-7 Average,11,9,59,ShortMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/514/7cd57718-bf74-8d24-049b-9b8961a3d80e_960x540.mp4
Jakob Poeltl,1627751,NA,1627749,1627751,1629022,1629640,200752,MEM,Grayson Allen,1626145,1628415,1628960,1629634,203937,2020-12-23,4,565,15-7 Average,9,11,10,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000017/543/59fff5bc-d8c4-14dc-b1c2-f9d9122a8043_960x540.mp4
