player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Khem Birch,203920,NA,1626169,1629018,1630201,1630273,203920,LAC,NA,1627826,1629611,200765,202331,202695,2021-05-11,2,335,18-15 Early,-11,8,26,AtRim,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/251/1e40a103-71ef-0bf4-a990-76205e22b158_960x540.mp4
Khem Birch,203920,NA,1626169,1628449,1629018,1630201,203920,LAC,NA,1627826,1629611,201976,202694,202695,2021-05-11,2,220,18-15 Early,-14,5,184,LongMidRange,NA,FALSE,NA,Touch < 2 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/282/3d0ff1a1-4c58-ff5c-aed5-19cec393946a_960x540.mp4
Malachi Flynn,1630201,NA,1626169,1628449,1629018,1630201,203920,LAC,NA,1627826,201976,202331,202694,202695,2021-05-11,3,657,15-7 Average,-8,-209,137,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/344/d06114cd-04bf-e319-5de3-ec4b29cd212d_960x540.mp4
Chris Boucher,1628449,NA,1626169,1628449,1629018,1630201,203920,LAC,NA,1627826,201976,202331,202694,202695,2021-05-11,3,618,15-7 Average,-10,136,8,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/350/a2c60a26-914a-d2bf-b5ad-138da366e948_960x540.mp4
Khem Birch,203920,Stanley Johnson,1626169,1628449,1629018,1630201,203920,LAC,NA,1627826,201976,202331,202694,202695,2021-05-11,3,555,18-15 Early,-12,9,-7,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/358/62ee51bc-52c4-38e4-4150-44269332c0df_960x540.mp4
Malachi Flynn,1630201,NA,1626169,1628449,1629018,1630201,203920,LAC,NA,1627826,201976,202331,202694,202695,2021-05-11,3,461,15-7 Average,-11,166,198,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/370/1b791724-0a80-1318-cda8-dcc031b14375_960x540.mp4
Chris Boucher,1628449,NA,1628449,1629139,1630201,1630223,203920,LAC,Paul George,1627826,201587,202331,202695,202704,2021-05-11,3,386,15-7 Average,-13,55,63,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/396/21c39602-0b2b-5346-6d31-f1aec89856eb_960x540.mp4
Khem Birch,203920,Jalen Harris,1628449,1629139,1630201,1630223,203920,LAC,NA,1627826,201587,202331,202695,202704,2021-05-11,3,342,18-15 Early,-15,2,26,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/05/11/0022001034/405/3c9737a9-5c04-feeb-edf2-b3fd4b26c872_960x540.mp4
Jalen Harris,1630223,Stanley Johnson,1626169,1629139,1630201,1630223,203920,CHI,NA,1629632,1630172,201152,202696,203897,2021-05-13,1,560,15-7 Average,4,-195,160,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/13/0022001051/29/10645299-a22e-0921-e555-af3f5db08f4a_960x540.mp4
Jalen Harris,1630223,DeAndre' Bembry,1626169,1627761,1630201,1630223,1630273,CHI,NA,1629632,1630172,202066,202696,203897,2021-05-13,1,285,15-7 Average,1,-157,215,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/05/13/0022001051/80/fabf6235-61c1-9cc0-d83b-7b4c2d98ca0a_960x540.mp4
