player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Davis Bertans,202722,NA,1629010,201577,202397,202722,203078,ORL,NA,1629643,1630175,203082,203095,203920,2020-12-26,3,224,15-7 Average,-2,73,260,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/491/7bb21cb4-12a5-954a-f4b5-c15331002d7c_960x540.mp4
Davis Bertans,202722,NA,1629010,201577,202397,202722,203078,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-26,3,166,15-7 Average,-2,-88,302,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/504/5d881d8f-e924-bcd3-baa5-7fbca9c6baf7_960x540.mp4
Davis Bertans,202722,NA,1629010,201577,202397,202722,203078,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-26,3,138,15-7 Average,-4,-30,270,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/508/bbbbbf6d-553e-c861-f3a6-a86606314c35_960x540.mp4
Russell Westbrook,201566,NA,1628972,201566,201577,202397,202722,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-26,4,675,22-18 Very Early,-1,74,153,LongMidRange,FALSE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/558/8ec11617-ff54-b571-b818-79291fcc656e_960x540.mp4
Russell Westbrook,201566,NA,1628972,201566,201577,202397,202722,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-26,4,644,22-18 Very Early,1,154,215,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/562/2f35f000-e371-e11a-0134-defd45a839ed_960x540.mp4
Russell Westbrook,201566,Ish Smith,1628972,201566,201577,202397,202722,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-26,4,623,22-18 Very Early,1,3,17,AtRim,TRUE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/566/abaf2252-7c3a-618e-e38c-9529365c40b1_960x540.mp4
Bradley Beal,203078,NA,1628418,1629067,1630166,202397,203078,ORL,NA,1628365,1628407,202696,203095,203932,2020-12-26,4,258,15-7 Average,-8,-182,202,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/658/abbc8458-c91e-ed3c-6432-49d8e74c5b4d_960x540.mp4
Bradley Beal,203078,NA,1628418,1630166,201566,202722,203078,ORL,NA,1628365,202696,203082,203095,203932,2020-12-26,4,110,15-7 Average,-7,231,59,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/686/ef99642a-e558-45d6-7f63-f636894ebf04_960x540.mp4
Russell Westbrook,201566,NA,1628418,1630166,201566,202722,203078,ORL,NA,1628365,202696,203095,203487,203932,2020-12-26,4,22,22-18 Very Early,-10,136,216,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/716/be632afd-23c3-2c27-c6d2-bb98a2f283ec_960x540.mp4
Thomas Bryant,1628418,NA,1628418,1629067,1630166,203078,203526,ORL,NA,1628365,1628407,202696,203095,203932,2020-12-27,1,388,15-7 Average,10,131,113,LongMidRange,NA,FALSE,NA,NA,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/64/6c1af59f-561a-2616-65f1-bdc48356cf78_960x540.mp4
Thomas Bryant,1628418,NA,1628418,1628972,1630166,202397,203078,ORL,NA,1628365,1629643,202696,203082,203095,2020-12-27,1,229,15-7 Average,11,-20,36,ShortMidRange,NA,FALSE,NA,NA,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/95/babab8ab-0dd4-d65d-e0d4-fc590a401db4_960x540.mp4
Thomas Bryant,1628418,NA,1628418,1628972,1630166,202397,203078,ORL,NA,1628365,1629643,202696,203082,203095,2020-12-27,1,223,15-7 Average,11,0,0,AtRim,NA,TRUE,NA,NA,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/97/a278fc70-69bc-9878-1d7c-0907823cb85f_960x540.mp4
Robin Lopez,201577,Bradley Beal,1628972,1630166,201577,202397,203078,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-27,1,154,15-7 Average,6,-57,27,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/124/d163bd00-e4c3-d7f6-b7ea-76b150cc91a7_960x540.mp4
Robin Lopez,201577,NA,1628972,1630166,201577,202397,203078,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-27,1,124,15-7 Average,8,-53,62,ShortMidRange,FALSE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/131/6bddbd9f-edb2-49a1-85a3-2c9f6247a6e0_960x540.mp4
Robin Lopez,201577,Deni Avdija,1628972,1630166,201577,202397,203078,ORL,NA,1629643,1630175,203082,203487,203920,2020-12-27,1,93,15-7 Average,8,36,59,ShortMidRange,TRUE,FALSE,NA,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/134/68352bea-aee4-7595-2a8d-52f250625351_960x540.mp4
Ish Smith,202397,NA,1628972,1629010,201577,202397,202722,ORL,NA,1630175,203082,203487,203920,203932,2020-12-27,2,696,22-18 Very Early,6,-78,85,ShortMidRange,NA,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/171/33adfc9c-e5d2-cc94-d0c6-ec5b893672fc_960x540.mp4
Ish Smith,202397,NA,1628972,1629010,201577,202397,202722,ORL,NA,1630175,203082,203487,203920,203932,2020-12-27,2,464,22-18 Very Early,4,-82,169,LongMidRange,NA,FALSE,4-6 Feet - Open,Touch 2-6 Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/203/2122955f-5cd5-4b43-1986-d1f4dcadc748_960x540.mp4
