gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0022000247,1,14,48,0.0,0.0,2,1626161,True,479.0,-10,,0,True,1629029,False,AtRim,,,1626161-1628973-1629029-1630182-203501,1630256-200782-201569-202322-202326,False,1610612742,1610612745,OffAtRimMake,494.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/48/4a2b4bb8-c622-416f-5392-c9608687050d_960x540.mp4,Willie Cauley-Stein,2021-01-23,DAL,HOU,Luka Doncic,
0022000247,1,18,57,50.0,200.0,2,1626161,True,409.0,-12,,0,True,1629029,False,LongMidRange,,,1626161-1628973-1629029-1630182-203501,1630256-200782-201569-202322-202326,False,1610612742,1610612745,OffArc3Make,427.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/57/3ecb1751-4180-0677-d9f6-3836c91f45c2_960x540.mp4,Willie Cauley-Stein,2021-01-23,DAL,HOU,Luka Doncic,
0022000247,1,30,101,-6.0,48.0,2,1626246,True,214.0,-16,,0,False,0,True,ShortMidRange,99,100,1626246-1628973-1629029-201949-203504,1628021-1628425-201569-202326-203463,False,1610612742,1610612745,OffFTMiss,236.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/101/c27565fa-411e-9ff8-3365-688421cab033_960x540.mp4,Boban Marjanovic,2021-01-23,DAL,HOU,,
0022000247,1,40,128,-97.0,56.0,2,1626246,True,66.0,-15,,0,True,201949,False,ShortMidRange,,,1626246-1628973-1629029-201949-203504,1628021-1628425-1630222-200782-203463,False,1610612742,1610612745,OffArc3Make,84.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/128/b48f988e-9902-be6e-4a15-d14ce027e6a6_960x540.mp4,Boban Marjanovic,2021-01-23,DAL,HOU,James Johnson,
0022000247,1,42,134,0.0,0.0,2,1626246,True,35.0,-13,,0,False,0,True,AtRim,132,133,1626246-1628973-1629029-201949-203504,1628021-1628425-1630222-200782-203463,False,1610612742,1610612745,OffArc3Miss,43.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/134/2411c755-6890-48d6-942d-15f27d688ec4_960x540.mp4,Boban Marjanovic,2021-01-23,DAL,HOU,,
0022000247,3,7,356,-61.0,165.0,2,203501,True,615.0,-9,,0,True,1629029,False,LongMidRange,,,1626246-1628411-1628973-1629029-203501,1630256-200782-201569-202322-202326,False,1610612742,1610612745,OffShortMidRangeMiss,626.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/356/5a0c9e84-716f-6413-e6e6-7a8163730089_960x540.mp4,Tim Hardaway Jr.,2021-01-23,DAL,HOU,Luka Doncic,
0022000247,3,15,377,0.0,23.0,2,203501,True,500.0,-7,,0,False,0,False,AtRim,,,1626246-1628411-1628973-1629029-203501,1630256-200782-201569-202322-202326,False,1610612742,1610612745,OffAtRimMake,515.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/377/198714a9-b228-9844-2456-042bdfee5fb0_960x540.mp4,Tim Hardaway Jr.,2021-01-23,DAL,HOU,,
0022000247,3,17,380,-20.0,102.0,2,1629029,True,471.0,-5,,0,False,0,False,ShortMidRange,,,1626246-1628411-1628973-1629029-203501,1630256-200782-201569-202322-202326,False,1610612742,1610612745,OffArc3Miss,480.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/380/45fa161c-1548-14a4-9a7c-6d03a19fd647_960x540.mp4,Luka Doncic,2021-01-23,DAL,HOU,,
0022000247,3,23,406,113.0,225.0,3,203501,False,366.0,-5,False,0,,0,False,Arc3,,,1626161-1628411-1629029-203501-203504,1628021-1628425-200782-201569-202326,False,1610612742,1610612745,OffFTMiss,384.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/406/750b3cd9-f869-cacf-eb84-2cc3228b1566_960x540.mp4,Tim Hardaway Jr.,2021-01-23,DAL,HOU,,
0022000247,3,25,411,16.0,256.0,3,203501,False,331.0,-7,False,0,,0,False,Arc3,,,1626161-1628411-1629029-203501-203504,1628021-1628425-200782-201569-202326,False,1610612742,1610612745,OffAtRimMake,343.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/411/94f2c7c5-cdc1-cfb1-6b9d-d67e829d6dd9_960x540.mp4,Tim Hardaway Jr.,2021-01-23,DAL,HOU,,
0022000247,3,27,416,52.0,190.0,2,1629029,True,299.0,-10,,0,False,0,False,LongMidRange,,,1626161-1628411-1629029-203501-203504,1628021-1628425-200782-201569-202326,False,1610612742,1610612745,OffTimeout,315.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/416/c46b4715-4f0a-2782-0504-025e448dfac2_960x540.mp4,Luka Doncic,2021-01-23,DAL,HOU,,
0022000247,4,18,565,-103.0,162.0,2,1630179,False,448.0,-18,False,0,,0,False,LongMidRange,,,1626246-1628411-1628973-1630179-1630182,1628021-200782-201569-202322-202326,False,1610612742,1610612745,OffTimeout,462.0,,15-7 Average,Touch 2-6 Seconds,2 Dribbles,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000247/565/fc215076-3a06-5386-b207-7a5346c221be_960x540.mp4,Tyrell Terry,2021-01-23,DAL,HOU,,
