Rk,Player,Twitter
1,Fabricio Oberto,obricio7
2,Royce White,Highway_30
3,Cristiano Felício,IamFelicio
4,Petr Cornelie,Petr_Cornelie
5,Rodions Kurucs,RODIONS1
6,Wesley Saunders,shyxxm
7,Jarred Vanderbilt,JVando
8,Hassan Whiteside,youngwhiteside
9,Robert Upshaw,UPSHAW50
10,Marcus Paige,marcuspaige5
11,Bruce Brown,BruceBrown11
12,Bismack Biyombo,bismackbiyombo
13,Cliff Alexander,CAlexander
14,Cory Higgins,chiggins11
15,Abdel Nader,AbdelNader2
16,Hamidou Diallo,hamidoudiallo
17,Melvin Ejim,MelvinEjim
18,De'Anthony Melton,DeAnthonyMelton
19,Andray Blatche,drayblatche
20,Terran Petteway,_TP5
21,Tyrone Wallace,TyWallace661
22,Sviatoslav Mykhailiuk,Sviat_10
23,T.J. McConnell,TJMcConnell
24,Marshall Plumlee,marshallplumlee
25,Keita Bates-Diop,KBD_33
26,Scottie Wilbekin,scottiew_5
27,Chimezie Metu,Chimezie_Metu
28,Jordan Williams,Jwilliams20
29,Alize Johnson,AlizeJohnson
30,Darington Hobson,ParkaySmooth
31,Lou Williams,TeamLou23
32,Aaron Harrison,AaronICE2
33,Tony Carr,Tone10Carr
34,Zaza Pachulia,zaza27
35,Christian Wood,Chriswood_5
36,Mindaugas Kuzminskas,MKuzminskas
37,Vince Edwards,VE_12
38,Jeremy Pargo,ImJustPargo
39,Boban Marjanović,BobanMarjanovic
40,Stefan Janković,StefanJ33
41,Jonathon Simmons,ThaRealJsimms
42,Dorian Finney-Smith,doefinney_10
43,Shake Milton,SniperShake
44,Tyler Honeycutt,thoneycutt23
45,Okaro White,owhite10
46,Arnoldas Kulboka,kulboka98
47,Craig Brackins,Cbrackins_33
48,Axel Toupane,toups_33
49,Danuel House,DanuelHouseJr
50,Ray Spalding,RaySpalding_4
51,Terrence Williams,TheRealTWill
52,Shannon Scott,3SScott
53,Nicolás Brussino,nicoobrussino
54,Kevin Hervey,kherv_25
55,Dennis Horner,DHorner31
56,Ryan Arcidiacono,RyArch15
57,Thomas Welsh,tomwelsh40
58,Jarrid Famous,MrFamous_CME
59,Bryn Forbes,BrynjForbes
60,George King,2bkings
61,Lester Hudson,Lester26Hudson
62,Fred VanVleet,FredVanVleet
63,Kostas Antetokounmpo,Kostas_ante13
64,Primož Brezec,Primozbrezec
65,Chris Hunter,biggame_hunter
66,Salah Mejri,50Mejri
67,Matt Costello,MattCostello10
68,Malik Newman,iammaliknewman
69,Kyle Collinsworth,bigrussia5
70,Jaylen Adams,10jadams
71,Egidijus Mockevičius,Egidijus55
72,J.P. Macura,jpmacura
73,Jon Brockman,MrJonBrockman
74,Terrico White,TerricoWhite5
75,Keith Hornsby,KHornsby4
76,Kendrick Perkins,KendrickPerkins
77,Treveon Graham,TreBall21
78,Jameel Warney,Fullcoursemeelz
79,Jared Terrell,TheJaredTerrell
80,Serge Ibaka,sergeibaka
81,Yogi Ferrell,YogiFerrell11
82,Ángel Delgado,AngelDelgado
